== fi
telegram.tokenLabel	Botin tunniste
telegram.tokenPlaceholder	1234567890:ABC...
telegram.tokenInvalidFormat	Virheellinen tunnisteen muoto
telegram.verifyButton	Vahvista ja yhdistä
telegram.verifiedToast	Botti @{{username}} on yhdistetty
telegram.verifyFailedToast	Telegram hylkäsi tämän tunnisteen
telegram.disconnect	Katkaise yhteys
telegram.disconnectedToast	Botin yhteys katkaistiin
telegram.disconnectConfirmTitle	Katkaistaanko botin yhteys?
telegram.disconnectConfirmMessage	Telegramin automaattivastaaja lakkaa toimimasta, kunnes yhdistät botin uudelleen.
telegram.gateTooltip	Yhdistä ensin botti
telegram.statsPending	Näytetään, kun automaattivastaaja alkaa toimia
telegram.instructionTitle	Näin saat tunnisteen
telegram.instructionStep1	Avaa @BotFather Telegramissa
telegram.instructionStep2	Lähetä komento /newbot ja valitse botille nimi ja käyttäjänimi
telegram.instructionStep3	Kopioi saamasi tunniste
telegram.instructionStep4	Liitä se tähän ja valitse "Vahvista ja yhdistä"
instagram.connectButton	Yhdistä Instagram
instagram.connectedToast	Instagram on yhdistetty
instagram.connectErrorToast	Instagramin yhdistäminen ei onnistunut — yritä uudelleen
instagram.expiresUntil	Käyttöoikeus on voimassa {{date}} asti
instagram.disconnect	Katkaise yhteys
instagram.disconnectedToast	Instagramin yhteys katkaistiin
instagram.disconnectConfirmTitle	Katkaistaanko Instagramin yhteys?
instagram.disconnectConfirmMessage	Instagramin automaattivastaaja lakkaa vastaamasta asiakkaille, kunnes yhdistät tilin uudelleen.
instagram.gateTooltip	Yhdistä ensin tili
instagram.statsPending	Näytetään, kun automaattivastaaja alkaa toimia
instagram.instructionTitle	Näin yhdistät
instagram.instructionStep1	Studion tilin on oltava ammattilaistili — Business tai Creator (Instagram-asetukset → Tilin tyyppi)
instagram.instructionStep2	Valitse "Yhdistä Instagram" ja kirjaudu sisään studion tilillä
instagram.instructionStep3	Salli pääsy viesteihin
instagram.instructionStep4	Palaat tänne automaattisesti
whatsapp.numberLabel	WhatsApp Business -numero
whatsapp.connectLink	tai syötä tunniste käsin
whatsapp.gateTooltip	Yhdistä ensin WhatsApp-numero
whatsapp.statsPending	Näytetään, kun automaattivastaaja alkaa toimia
whatsapp.instructionTitle	Näin yhdistät
whatsapp.instructionStep1	Valitse “Yhdistä WhatsApp” — Meta-ikkuna avautuu
whatsapp.instructionStep2	Kirjaudu Facebookiin, valitse yritystili ja numero (tai lisää uusi) ja vahvista se koodilla
whatsapp.instructionStep3	Numero yhdistetään kerran — samaa käytetään asiakasilmoituksiin; palaa tänne ja ota automaattivastaaja käyttöön
whatsapp.connectButton	Yhdistä WhatsApp
whatsapp.connectedToast	WhatsApp-numero on yhdistetty
whatsapp.connectErrorToast	WhatsApp-numeron yhdistäminen ei onnistunut
whatsapp.disconnect	Katkaise yhteys
whatsapp.disconnectedToast	WhatsAppin yhteys katkaistiin
whatsapp.disconnectConfirmTitle	Katkaistaanko WhatsAppin yhteys?
whatsapp.disconnectConfirmMessage	Numero katkaistaan myös studion ilmoituksista ja integraatioista.
history.title	Keskusteluhistoria
history.empty	Aloita ensimmäinen keskustelusi
history.today	Tänään
history.yesterday	Eilen
history.earlier	Aiemmin
history.messagesCount_one	{{count}} viesti
history.messagesCount_other	{{count}} viestiä
history.deleteConfirmTitle	Poistetaanko tämä keskustelu?
history.deleteConfirmMessage	Kaikki tämän keskustelun viestit poistetaan pysyvästi.
actions.newChat	Uusi keskustelu
actions.deleteChat	Poista keskustelu
actions.confirmTitle	Vahvista toiminto
actions.confirm	Vahvista
actions.cancel	Peruuta
actions.cancelled	Toiminto peruutettiin.
actions.done	Valmis {{date}}
actions.effect	Mitä muuttuu
actions.undo	Kumoa
actions.undoTitle	Kumotaanko tämä toiminto?
actions.undoMessage	Palautan tehdyn muutoksen: {{action}}. Tunnit, jotka asiakkaat ovat jo varanneet, säilyvät — vain ihminen voi poistaa ne.
actions.args.lesson_id	Tunti
actions.args.client_id	Asiakas
actions.args.reservation_id	Varaus
actions.args.alternate_with	Vuorotellen henkilön kanssa
actions.args.service_id	Palvelu
actions.args.teacher_id	Ohjaaja
actions.args.hall_id	Sali
actions.args.start_time	Alkaa
actions.args.duration_min	Kesto, min
actions.args.total_spots	Paikat
actions.args.price	Hinta
actions.args.name	Etunimi
actions.args.last_name	Sukunimi
actions.args.phone	Puhelin
actions.args.email	Sähköposti
actions.args.city	Kaupunki
actions.args.birth_date	Syntymäaika
actions.args.source	Lähde
actions.args.frozen	Jäädytetty
actions.args.date_from	Alkaen
actions.args.date_to	Asti
actions.args.weekdays	Viikonpäivät
actions.args.time_from	Alkaen
actions.args.time_to	Asti
actions.args.break_at	Tauko klo
actions.args.break_min	Tauko, min
actions.args.extend_hours	Laajenna ohjaajan työaikaa
actions.args.salary	Palkka
actions.args.access_role	Käyttöoikeus
actions.args.department	Tehtävä
actions.args.password	Työntekijän salasana
actions.args.rate	Palkkio
actions.args.rate_type	Palkkiotapa
actions.args.service_ids	Palvelut
actions.args.schedule	Työvuoro
actions.bool.yes	kyllä
actions.bool.no	ei
settings.title	AI-asetukset
settings.model	Malli
settings.language	Kieli
models.comingSoon	Tulossa pian
models.velora-3.5	Velora AI 3.5
languages.auto	Automaattinen
languages.ru	Venäjä
languages.en	Englanti
languages.uk	Ukraina
languages.cs	Tšekki
languages.de	Saksa
chat.thinking	Velora AI ajattelee
chat.thinkingAnswer	Velora AI pohtii vastausta
chat.readyTitle	Velora AI on valmis auttamaan
chat.thinkingTitle	Velora AI ajattelee...
chat.readySubtitle	Esitä kysymys tai valitse ehdotus
chat.thinkingSubtitle	Pyyntöäsi käsitellään
chat.placeholder	Kirjoita viesti...
chat.drawerPlaceholder	Kysy minulta mitä tahansa...
chat.navbarPlaceholder	Kysy tekoälyltä tai aseta tehtävä...
chat.enterToSend	Lähetä Enterillä
chat.shiftEnterNewline	Uusi rivi Shift+Enterillä
chat.aiDisclaimer	Velora AI voi tehdä virheitä. Tarkista tärkeät tiedot.
chat.continueInChat	Jatka keskustelussa →
chat.emptyTitle	Kuinka voin auttaa?
chat.emptySubtitle	Esitä kysymys studiostasi, asiakkaistasi tai liiketoiminnastasi
chat.charCount_one	{{count}} / 4000 merkki
chat.charCount_other	{{count}} / 4000 merkkiä
chat.suggestions.revenue	Näytä tämän kuun tulotilastot
chat.suggestions.sms	Kirjoita tekstiviestimuistutus tapaamisesta
chat.suggestions.promo	Ideoita kesäkampanjaan
chat.suggestions.retention	Miten voin parantaa asiakaspitoa?
chat.drawerSuggestions.revenueAnalysis	Tuloanalyysi
chat.drawerSuggestions.emailTemplate	Sähköpostimalli
chat.drawerSuggestions.promoIdeas	Kampanjaideoita
chat.drawerSuggestions.clientReport	Asiakasraportti
drawer.historyBack	Keskustelut
drawer.historyLabel	Historia
agents.title	AI-agentit
agents.info.title	Mitä AI-agentit ovat
agents.info.lead	Avustaja, joka vastaa asiakkaillesi studion viestikanavissa, kun olet varattu.
agents.info.b1	Vastaa ympäri vuorokauden — kukaan ei odota ylläpitäjää
agents.info.b2	Tuntee studion aikataulun, palvelut ja hinnat
agents.info.b3	Sinä määrität vastausten sävyn ja pituuden
agents.info.note	Kanava alkaa toimia, kun se yhdistetään asetuksissa
agents.activeCount	{{active}} / {{total}}
agents.stateOn	Vastaa
agents.stateOffline	Ei yhdistetty
agents.configureButton	Määritä agentit
agents.enable	Ota käyttöön
agents.disable	Poista käytöstä
agents.modalTitle	AI-agentin asetukset
agents.modalSubtitle	Automaattivastaukset viestikanavissa
agents.tabPrompt	Järjestelmäkehote
agents.statusDisabled	Poistettu käytöstä
agents.statHandled	Käsitelty
agents.statRating	Arvio
agents.styleTitle	Vastaustyyli
agents.styleAllChannels	koskee kaikkia kanavia
agents.toneLabel	Vastausten sävy
agents.tone.friendly	Ystävällinen
agents.tone.formal	Muodollinen
