== sr
telegram.tokenLabel	Токен бота
telegram.tokenPlaceholder	1234567890:ABC...
telegram.tokenInvalidFormat	Неисправан формат токена
telegram.verifyButton	Потврди и повежи
telegram.verifiedToast	Бот @{{username}} је повезан
telegram.verifyFailedToast	Telegram је одбио овај токен
telegram.disconnect	Прекини везу
telegram.disconnectedToast	Бот је прекинуо везу
telegram.disconnectConfirmTitle	Прекинути везу са ботом?
telegram.disconnectConfirmMessage	Аутоматски одговор на Telegram-у престаће да ради док поново не повежете бота.
telegram.gateTooltip	Прво повежите бота
telegram.statsPending	Појавиће се када аутоматски одговор почне да ради
telegram.instructionTitle	Како добити токен
telegram.instructionStep1	Отворите @BotFather у Telegram-у
telegram.instructionStep2	Пошаљите команду /newbot, па изаберите име и корисничко име за бота
telegram.instructionStep3	Копирајте токен који добијете
telegram.instructionStep4	Налепите га овде и кликните „Потврди и повежи“
instagram.connectButton	Повежи Instagram
instagram.connectedToast	Instagram је повезан
instagram.connectErrorToast	Није могуће повезати Instagram — покушајте поново
instagram.expiresUntil	Приступ важи до {{date}}
instagram.disconnect	Прекини везу
instagram.disconnectedToast	Instagram је прекинуо везу
instagram.disconnectConfirmTitle	Прекинути везу са Instagram-ом?
instagram.disconnectConfirmMessage	Аутоматски одговор на Instagram-у престаће да одговара клијентима док поново не повежете налог.
instagram.gateTooltip	Прво повежите налог
instagram.statsPending	Појавиће се када аутоматски одговор почне да ради
instagram.instructionTitle	Како се повезати
instagram.instructionStep1	Налог студија мора бити професионалан — Business или Creator (Подешавања Instagram-а → Тип налога)
instagram.instructionStep2	Кликните „Повежи Instagram” и пријавите се налогом студија
instagram.instructionStep3	Дозволите приступ порукама
instagram.instructionStep4	Аутоматски ћете се вратити овде
whatsapp.numberLabel	WhatsApp Business број
whatsapp.connectLink	или ручно унесите токен
whatsapp.gateTooltip	Прво повежите WhatsApp број
whatsapp.statsPending	Појавиће се када аутоматски одговор почне да ради
whatsapp.instructionTitle	Како се повезати
whatsapp.instructionStep1	Кликните „Повежи WhatsApp” — отвориће се Meta прозор
whatsapp.instructionStep2	Пријавите се на Facebook, изаберите пословни налог и број (или додајте нови), па га потврдите кодом
whatsapp.instructionStep3	Број се повезује једном — исти се користи за обавештења клијентима; вратите се овде и укључите аутоматски одговор
whatsapp.connectButton	Повежи WhatsApp
whatsapp.connectedToast	WhatsApp број је повезан
whatsapp.connectErrorToast	Није могуће повезати WhatsApp број
whatsapp.disconnect	Прекини везу
whatsapp.disconnectedToast	WhatsApp је прекинуо везу
whatsapp.disconnectConfirmTitle	Прекинути везу са WhatsApp-ом?
whatsapp.disconnectConfirmMessage	Број ће бити прекинут и са обавештењима и интеграцијама студија.
history.title	Историја ћаскања
history.empty	Започните први разговор
history.today	Данас
history.yesterday	Јуче
history.earlier	Раније
history.messagesCount_one	{{count}} порука
history.messagesCount_few	{{count}} поруке
history.messagesCount_other	{{count}} порука
history.deleteConfirmTitle	Обрисати ово ћаскање?
history.deleteConfirmMessage	Све поруке у овом разговору биће трајно обрисане.
actions.newChat	Ново ћаскање
actions.deleteChat	Обриши ћаскање
actions.confirmTitle	Потврдите радњу
actions.confirm	Потврди
actions.cancel	Откажи
actions.cancelled	Радња је отказана.
actions.done	Готово {{date}}
actions.effect	Шта се мења
actions.undo	Опозови
actions.undoTitle	Опозвати ову радњу?
actions.undoMessage	Вратићу оно што је урађено: {{action}}. Часови које су клијенти већ резервисали остаће — само човек може да их уклони.
actions.args.lesson_id	Час
actions.args.client_id	Клијент
actions.args.reservation_id	Резервација
actions.args.alternate_with	Наизменично са
actions.args.service_id	Услуга
actions.args.teacher_id	Тренер
actions.args.hall_id	Сала
actions.args.start_time	Почиње
actions.args.duration_min	Трајање, мин
actions.args.total_spots	Места
actions.args.price	Цена
actions.args.name	Име
actions.args.last_name	Презиме
actions.args.phone	Телефон
actions.args.email	Е-пошта
actions.args.city	Град
actions.args.birth_date	Датум рођења
actions.args.source	Извор
actions.args.frozen	Замрзнуто
actions.args.date_from	Од
actions.args.date_to	До
actions.args.weekdays	Дани у недељи
actions.args.time_from	Од
actions.args.time_to	До
actions.args.break_at	Пауза у
actions.args.break_min	Пауза, мин
actions.args.extend_hours	Прошири радно време тренера
actions.args.salary	Плата
actions.args.access_role	Приступ
actions.args.department	Позиција
actions.args.password	Лозинка запосленог
actions.args.rate	Стопа
actions.args.rate_type	Врста плаћања
actions.args.service_ids	Услуге
actions.args.schedule	Распоред
actions.bool.yes	да
actions.bool.no	не
settings.title	AI подешавања
settings.model	Модел
settings.language	Језик
models.comingSoon	Ускоро
models.velora-3.5	Velora AI 3.5
languages.auto	Аутоматски
languages.ru	Руски
languages.en	Енглески
languages.uk	Украјински
languages.cs	Чешки
languages.de	Немачки
chat.thinking	Velora AI размишља
chat.thinkingAnswer	Velora AI разматра одговор
chat.readyTitle	Velora AI је спреман да помогне
chat.thinkingTitle	Velora AI размишља...
chat.readySubtitle	Поставите питање или изаберите предлог
chat.thinkingSubtitle	Обрађујемо ваш захтев
chat.placeholder	Напишите поруку...
chat.drawerPlaceholder	Питајте ме било шта...
chat.navbarPlaceholder	Питајте AI или задајте задатак...
chat.enterToSend	Enter за слање
chat.shiftEnterNewline	Shift+Enter за нови ред
chat.aiDisclaimer	Velora AI може да погреши. Проверите важне информације.
chat.continueInChat	Настави у ћаскању →
chat.emptyTitle	Како могу да помогнем?
chat.emptySubtitle	Поставите питање о студију, клијентима или послу
chat.charCount_one	{{count}} / 4000 знак
chat.charCount_few	{{count}} / 4000 знака
chat.charCount_other	{{count}} / 4000 знакова
