== bg
legal.terms	Условия за ползване
legal.privacy	Политика за поверителност
tabs.plans	Планове и цени
tabs.invoices	История на плащанията
tabs.method	Начин на плащане
tabsShort.plans	Планове
tabsShort.invoices	История
tabsShort.method	Плащане
paymentsHistory.title	Пълна история на плащанията
paymentsHistory.subtitle	Всички фактури за това студио
paymentsHistory.clearFilter	Изчисти
paymentsHistory.loadMore	Зареди още
planNames.start	Start
planNames.pro	Pro
planNames.business	Business
seats.title	Колко служители има в студиото
seats.hint	от {{amount}} на месец
seats.stepNote	Всяко допълнително място добавя {{amount}} на месец
seats.unlimitedNote	Без ограничение за служители
seats.perSeat	На служител
limits.staff	Служители
limits.ai	Заявки към Velora AI
limits.unlimited	Неограничено
banner.trialEnds	Пробният ви период приключва на {{date}} — изберете план
banner.renews	Абонаментът ви {{plan}} се подновява на {{date}}
banner.expires	Абонаментът ви {{plan}} приключва на {{date}}
banner.choosePlan	Изберете план
banner.dismiss	Затвори
banner.unpaid	Планът ви не е платен. За да продължите, платете в Планове и фактуриране.
banner.suspended	Достъпът е спрян, защото фактурата за плана е просрочена. Платете я в Планове и фактуриране.
paymentReturn.done	Плащането мина успешно — планът {{plan}} е активен.
paymentReturn.processing	Плащането се обработва — абонаментът ви ще се активира след няколко минути.
header.eyebrow	Velora · Фактуриране
header.title	Планове и фактуриране
header.subtitle	Управлявайте абонамента, начините на плащане и историята на плащанията
header.totalSpent	Общо изразходвано
header.monthsWithUs	Месеци с нас
header.saved	Спестено
header.nextCharge	Следващо начисляване
header.currentPlan	ТЕКУЩ ПЛАН
header.noPlanName	Без план
header.noPlan	Няма активен абонамент
header.active	Активен
header.activeUntil	Активен · до {{date}}
header.trialPlanName	Пробен план
header.trial	Пробен период
header.trialUntil	Пробен период · до {{date}}
header.expired	Изтекъл
header.percentRate	{{rate}}% от продажбите
header.modePercent	Процентен план
header.modeFixed	Фиксиран
header.modeCombo	Комбо
header.unpaid	Планът не е платен
header.awaitingPayment	Очаква плащане
mode.title	Модел на плащане
mode.subscription	Фиксиран абонамент
mode.percent	% от продажбите
mode.combo	Комбо фиксирано + %
mode.short.subscription	Фиксиран
mode.short.percent	Процент
mode.short.combo	Комбо
mode.descriptions.subscription	Плащате една сума на месец. Предвидимо и изгодно.
mode.descriptions.percent	Без фиксирана такса: {{rate}}% от всяка продажба, включително в брой.
mode.descriptions.combo	Половината абонамент + {{rate}}% от всяка продажба, включително в брой.
mode.badges.popular	Популярен
mode.badges.flexible	Гъвкав
mode.percentCard.title	Моделът „3% от продажбите“
