== fr
legal.terms	Conditions d’utilisation
legal.privacy	Politique de confidentialité
tabs.plans	Offres et tarifs
tabs.invoices	Historique des paiements
tabs.method	Mode de paiement
tabsShort.plans	Offres
tabsShort.invoices	Historique
tabsShort.method	Paiement
paymentsHistory.title	Historique complet des paiements
paymentsHistory.subtitle	Toutes les factures de ce studio
paymentsHistory.clearFilter	Effacer
paymentsHistory.loadMore	Charger plus
planNames.start	Start
planNames.pro	Pro
planNames.business	Business
seats.title	Combien de collaborateurs dans le studio
seats.hint	à partir de {{amount}} par mois
seats.stepNote	Chaque place supplémentaire ajoute {{amount}} par mois
seats.unlimitedNote	Nombre de collaborateurs illimité
seats.perSeat	Par collaborateur
limits.staff	Collaborateurs
limits.ai	Requêtes Velora AI
limits.unlimited	Illimité
banner.trialEnds	Votre essai se termine le {{date}} — choisissez une offre
banner.renews	Votre abonnement {{plan}} est renouvelé le {{date}}
banner.expires	Votre abonnement {{plan}} se termine le {{date}}
banner.choosePlan	Choisir une offre
banner.dismiss	Fermer
banner.unpaid	Votre offre n’a pas été payée. Pour continuer, payez dans Offres et facturation.
banner.suspended	L’accès est suspendu car une facture de l’offre est en retard. Payez-la dans Offres et facturation.
paymentReturn.done	Paiement effectué — l’offre {{plan}} est active.
paymentReturn.processing	Paiement en cours de traitement — votre abonnement sera activé dans quelques minutes.
header.eyebrow	Velora · Facturation
header.title	Offres et facturation
header.subtitle	Gérez votre abonnement, vos modes de paiement et votre historique des paiements
header.totalSpent	Total dépensé
header.monthsWithUs	Mois avec nous
header.saved	Économisé
header.nextCharge	Prochain prélèvement
header.currentPlan	OFFRE ACTUELLE
header.noPlanName	Aucune offre
header.noPlan	Aucun abonnement actif
header.active	Active
header.activeUntil	Active · jusqu’au {{date}}
header.trialPlanName	Offre d’essai
header.trial	Période d’essai
header.trialUntil	Période d’essai · jusqu’au {{date}}
header.expired	Expirée
header.percentRate	{{rate}}% des ventes
header.modePercent	Offre à pourcentage
header.modeFixed	Fixe
header.modeCombo	Combinée
header.unpaid	Offre non payée
header.awaitingPayment	En attente de paiement
mode.title	Modèle de paiement
mode.subscription	Abonnement fixe
mode.percent	% des ventes
mode.combo	Combinaison fixe + %
mode.short.subscription	Fixe
mode.short.percent	Pourcentage
mode.short.combo	Combinée
mode.descriptions.subscription	Payez un montant chaque mois. Prévisible et rentable.
mode.descriptions.percent	Aucun frais fixe : {{rate}}% de chaque vente, espèces comprises.
mode.descriptions.combo	La moitié de l’abonnement + {{rate}}% de chaque vente, espèces comprises.
mode.badges.popular	Populaire
mode.badges.flexible	Flexible
mode.percentCard.title	Le modèle « 3% des ventes »
mode.percentCard.description	Payez uniquement lorsque vous gagnez : 3% de chaque vente, sans frais fixes d’abonnement. Les paiements en ligne sont répartis instantanément ; les espèces et acomptes s’accumulent et arrivent sur une seule facture mensuelle.
mode.percentCard.noFixed	Aucun frais fixe
mode.percentCard.payForResult	Payez pour les résultats
mode.percentCard.oneClick	Activation en un clic
mode.percentCard.cta	Activer le modèle à 3%
mode.percentCard.ctaShort	Activer 3%
mode.activateSuccess	Modèle de paiement mis à jour
mode.activateError	Impossible de mettre à jour le modèle de paiement
mode.alreadyActive	Ce modèle de paiement est déjà actif — vous pouvez renouveler ou modifier l’offre ci-dessous
mode.confirmSwitchTitle	Changer de modèle de paiement ?
mode.confirmSwitchMessage	Votre abonnement est actif. Le changement prend effet immédiatement et le reste de la période payée EST ENTIÈREMENT PERDU : les jours inutilisés ne sont ni remboursés ni reportés.
mode.termsTitle	Confirmer les conditions de l’offre
mode.termsMessage	Avec cette offre, la plateforme retient {{rate}}% de chaque vente.\n\nPour les paiements en ligne, les frais sont retenus automatiquement au moment du paiement. Pour les espèces, terminaux et recharges d’acomptes, ils ne sont PAS retenus immédiatement — ils s’accumulent et vous recevez une facture séparée une fois par mois.\n\nVous disposez de {{days}} jours pour payer cette facture. Si elle n’est pas réglée à temps, l’accès au CRM et à la mini-application client est suspendu jusqu’au règlement.\n\nLe montant actuel dû est affiché dans Facturation ; vous pouvez payer à tout moment, y compris à l’avance.
mode.termsConfirm	J’accepte les conditions
mode.termsMinimum	La facturation mensuelle minimale est de {{amount}} {{currency}}. Si, sur un mois civil, la plateforme a gagné moins que cela avec votre studio (par exemple, aucune vente via le CRM), la différence vous est facturée. Au-delà du minimum, aucune facture n’est émise. Des frais minimum impayés suspendent l’accès comme une facture de commission impayée.
mode.termsBurn	ATTENTION : il vous reste une période payée. Le changement de modèle de facturation LA FAIT ENTIÈREMENT PERDRE — les jours inutilisés ne sont ni remboursés ni reportés.
mode.termsCombo	Le changement est un ACHAT : juste après confirmation, vous verrez le montant dû. Le reste de votre période payée actuelle est perdu — il n’est ni remboursé ni reporté. Le modèle fixe + % s’active UNIQUEMENT après paiement ; jusque-là votre offre reste inchangée et rien n’est prélevé.
combo.rateBadge	{{rate}}%
combo.summary	Fixe {{fixed}}/mois + {{rate}}% des ventes (espèces facturées mensuellement)
combo.cta	Activer l’offre combinée
combo.ctaShort	Activer le combiné
period.1	1 mois
period.3	3 mois
period.6	6 mois
period.12	1 an
period.24	2 ans
period.title	Période de paiement
period.discountActive	Remise de {{percent}}% active
period.noDiscount	Aucune remise
period.discountLabel	−{{percent}}% de remise
calculator.title	Paramètres de calcul
calculator.monthlyTurnover	Votre chiffre d’affaires mensuel en ligne
calculator.turnoverRangeMin	50 k
calculator.turnoverRangeMax	3 M+
calculator.chooseFeeLabel	Choisissez un taux de commission (il influe sur les fonctionnalités)
calculator.feeOptions.basic	Essentiel
calculator.feeOptions.standard	Standard
calculator.feeOptions.pro	Pro
calculator.feeOptions.max	Max
calculator.chooseFixedLabel	Choisissez la part fixe de base (l’acquisition est toujours à 3%)
calculator.fixedOptions.start	Start
calculator.fixedOptions.optima	Optima
calculator.fixedOptions.business	Business
calculator.economyPercentTitle	ÉCONOMIE DE L’OFFRE
calculator.economyComboTitle	ÉCONOMIE DE L’OFFRE COMBINÉE
calculator.turnover	Chiffre d’affaires du studio
calculator.systemFee	Frais de plateforme
calculator.totalMonthlyPayment	PAIEMENT MENSUEL TOTAL
calculator.onlyPayForResult	Vous ne payez pas de frais fixe, seulement les résultats
calculator.activatePercent	Activer le modèle à {{percent}}%
calculator.baseSubscription	Abonnement de base (fixe)
calculator.acquiringFee	Acquisition / frais
calculator.activateCombo	Activer l’offre combinée
planCards.bestChoice	Meilleur choix
planCards.current	Actuelle
planCards.perMonth	/ mois
planCards.currentPlan	Offre actuelle
planCards.yourPrice	Votre prix
planCards.staffLimit	Jusqu’à {{count}} collaborateurs
planCards.staffUnlimited	Collaborateurs illimités
paymentSchedule.title	Échéancier de paiement
paymentSchedule.total	Total dû
paymentSchedule.morePayments	+ {{count}} paiements supplémentaires de {{amount}}
paymentSchedule.processing	Redirection vers le paiement…
paymentSchedule.payFor	Payer {{count}} mois
paymentSchedule.vatNote	Hors TVA — la taxe est ajoutée au paiement selon votre pays
trust.title	Pourquoi plus de 2 400 entreprises nous font confiance
trust.reviews.0.text	Nous avons quitté Altegio. La différence, c’est comme entre un taxi et un jet privé.
trust.reviews.0.author	Maria K., FORM Pilates
trust.reviews.1.text	Le mieux, c’est de savoir exactement ce que je paie chaque mois. Aucune surprise.
trust.reviews.1.author	Artem N., Barbershop Bros
trust.reviews.2.text	Le support a répondu en 4 minutes. Je n’ai jamais vu cela ailleurs.
trust.reviews.2.author	Elena D., SPA LUNA
upgrade.priceLine	Prix {{price}}/mois
upgrade.discountNote	 {{percent}}% de réduction pour {{period}} mois
upgrade.planLabel	Offre
upgrade.periodLabel	Période
upgrade.periodValue_one	{{count}} mois
