== hu
legal.terms	Szolgáltatási feltételek
legal.privacy	Adatvédelmi irányelvek
tabs.plans	Csomagok és árak
tabs.invoices	Fizetési előzmények
tabs.method	Fizetési mód
tabsShort.plans	Csomagok
tabsShort.invoices	Előzmények
tabsShort.method	Fizetés
paymentsHistory.title	Teljes fizetési előzmény
paymentsHistory.subtitle	A stúdió összes számlája
paymentsHistory.clearFilter	Törlés
paymentsHistory.loadMore	További betöltése
planNames.start	Start
planNames.pro	Pro
planNames.business	Business
seats.title	Hány munkatárs dolgozik a stúdióban
seats.hint	{{amount}}/hótól
seats.stepNote	Minden további hely {{amount}}-val növeli a havi díjat
seats.unlimitedNote	Nincs létszámkorlát
seats.perSeat	Munkatársanként
limits.staff	Munkatársak
limits.ai	Velora AI-kérések
limits.unlimited	Korlátlan
banner.trialEnds	A próbaidőszak {{date}} napján véget ér — válasszon csomagot
banner.renews	A(z) {{plan}} előfizetése {{date}} napján megújul
banner.expires	A(z) {{plan}} előfizetése {{date}} napján lejár
banner.choosePlan	Csomag választása
banner.dismiss	Bezárás
banner.unpaid	A csomag nincs kifizetve. A folytatáshoz fizessen a Csomagok és számlázás résznél.
banner.suspended	A hozzáférés fel van függesztve, mert a csomag számlája lejárt. Fizesse ki a Csomagok és számlázás résznél.
paymentReturn.done	A fizetés sikeres — a(z) {{plan}} csomag aktív.
paymentReturn.processing	A fizetés feldolgozása folyamatban — előfizetése néhány percen belül aktiválódik.
header.eyebrow	Velora · Számlázás
header.title	Csomagok és számlázás
header.subtitle	Kezelje előfizetését, fizetési módjait és fizetési előzményeit
header.totalSpent	Összes költés
header.monthsWithUs	Velünk töltött hónapok
header.saved	Megtakarítás
header.nextCharge	Következő terhelés
header.currentPlan	JELENLEGI CSOMAG
header.noPlanName	Nincs csomag
header.noPlan	Nincs aktív előfizetés
header.active	Aktív
header.activeUntil	Aktív · {{date}} napjáig
header.trialPlanName	Próbacsomag
header.trial	Próbaidőszak
header.trialUntil	Próbaidőszak · {{date}} napjáig
header.expired	Lejárt
header.percentRate	{{rate}}% az értékesítésből
header.modePercent	Százalékos csomag
header.modeFixed	Fix
header.modeCombo	Kombinált
header.unpaid	A csomag nincs kifizetve
header.awaitingPayment	Fizetésre vár
mode.title	Fizetési modell
mode.subscription	Fix előfizetés
mode.percent	% az értékesítésből
mode.combo	Fix + % kombináció
mode.short.subscription	Fix
mode.short.percent	Százalék
mode.short.combo	Kombinált
mode.descriptions.subscription	Havonta egy összeget fizet. Kiszámítható és költséghatékony.
mode.descriptions.percent	Nincs fix díj: minden értékesítés {{rate}}%-a, a készpénzt is beleértve.
mode.descriptions.combo	Fél előfizetés + minden értékesítés {{rate}}%-a, a készpénzt is beleértve.
mode.badges.popular	Népszerű
mode.badges.flexible	Rugalmas
mode.percentCard.title	A „3% az értékesítésből” modell
mode.percentCard.description	Csak akkor fizet, amikor keres: minden értékesítés 3%-át, fix előfizetési díj nélkül. Az online fizetések azonnal feloszlanak; a készpénz és előlegek összegyűlnek, és havonta egy számlán érkeznek.
mode.percentCard.noFixed	Nincs fix díj
mode.percentCard.payForResult	Fizetés az eredményekért
mode.percentCard.oneClick	Egykattintásos aktiválás
mode.percentCard.cta	Aktiválja a 3%-os modellt
mode.percentCard.ctaShort	3% aktiválása
mode.activateSuccess	Fizetési modell frissítve
mode.activateError	A fizetési modell nem frissíthető
mode.alreadyActive	Ez a fizetési modell már aktív — alább megújíthatja vagy módosíthatja a csomagot
mode.confirmSwitchTitle	Fizetési modell váltása?
mode.confirmSwitchMessage	Előfizetése aktív. A modellváltás azonnal életbe lép, és a fizetett időszak hátralévő része TELJES EGÉSZÉBEN ELVÉSZ: a fel nem használt napok nem visszatéríthetők és nem vihetők át.
mode.termsTitle	Csomagfeltételek megerősítése
