== no
legal.terms	Vilkår for bruk
legal.privacy	Personvernerklæring
tabs.plans	Planer og priser
tabs.invoices	Betalingshistorikk
tabs.method	Betalingsmåte
tabsShort.plans	Planer
tabsShort.invoices	Historikk
tabsShort.method	Betaling
paymentsHistory.title	Full betalingshistorikk
paymentsHistory.subtitle	Alle fakturaer for dette studioet
paymentsHistory.clearFilter	Tøm
paymentsHistory.loadMore	Last inn mer
planNames.start	Start
planNames.pro	Pro
planNames.business	Business
seats.title	Hvor mange ansatte har studioet?
seats.hint	fra {{amount}} per måned
seats.stepNote	Hver ekstra plass koster {{amount}} per måned
seats.unlimitedNote	Ubegrenset antall ansatte
seats.perSeat	Per ansatt
limits.staff	Ansatte
limits.ai	Velora AI-forespørsler
limits.unlimited	Ubegrenset
banner.trialEnds	Prøveperioden din slutter {{date}} — velg en plan
banner.renews	{{plan}}-abonnementet ditt fornyes {{date}}
banner.expires	{{plan}}-abonnementet ditt utløper {{date}}
banner.choosePlan	Velg plan
banner.dismiss	Lukk
banner.unpaid	Planen din er ikke betalt. Betal under Planer og fakturering for å fortsette.
banner.suspended	Tilgangen er suspendert fordi planfakturaen er forfalt. Betal den under Planer og fakturering.
paymentReturn.done	Betalingen er gjennomført — {{plan}}-planen er aktiv.
paymentReturn.processing	Betalingen behandles — abonnementet ditt aktiveres om noen minutter.
header.eyebrow	Velora · Fakturering
header.title	Planer og fakturering
header.subtitle	Administrer abonnementet, betalingsmåter og betalingshistorikk
header.totalSpent	Totalt brukt
header.monthsWithUs	Måneder med oss
header.saved	Spart
header.nextCharge	Neste belastning
header.currentPlan	GJELDENDE PLAN
header.noPlanName	Ingen plan
header.noPlan	Ingen aktivt abonnement
header.active	Aktiv
header.activeUntil	Aktiv · til {{date}}
header.trialPlanName	Prøveplan
header.trial	Prøveperiode
header.trialUntil	Prøveperiode · til {{date}}
header.expired	Utløpt
header.percentRate	{{rate}} % av salget
header.modePercent	Prosentplan
header.modeFixed	Fast
header.modeCombo	Kombinert
header.unpaid	Planen er ikke betalt
header.awaitingPayment	Venter på betaling
mode.title	Betalingsmodell
mode.subscription	Fast abonnement
mode.percent	% av salget
mode.combo	Fast + % kombinert
mode.short.subscription	Fast
mode.short.percent	Prosent
mode.short.combo	Kombinert
mode.descriptions.subscription	Betal et fast beløp hver måned. Forutsigbart og lønnsomt.
mode.descriptions.percent	Ingen fast avgift: {{rate}} % av hvert salg, også kontantbetalinger.
mode.descriptions.combo	Halvt abonnement + {{rate}} % av hvert salg, også kontantbetalinger.
mode.badges.popular	Populær
mode.badges.flexible	Fleksibel
mode.percentCard.title	«3 % av salget»-modellen
mode.percentCard.description	Betal bare når du tjener: 3 % av hvert salg, uten fast abonnementsavgift. Nettbetalinger deles straks; kontantbetalinger og innskudd samles og kommer som én faktura hver måned.
mode.percentCard.noFixed	Ingen fast avgift
mode.percentCard.payForResult	Betal for resultatet
mode.percentCard.oneClick	Aktivering med ett klikk
mode.percentCard.cta	Aktiver 3 %-modellen
mode.percentCard.ctaShort	Aktiver 3 %
mode.activateSuccess	Betalingsmodellen er oppdatert
mode.activateError	Kunne ikke oppdatere betalingsmodellen
mode.alreadyActive	Denne betalingsmodellen er allerede aktiv — nedenfor kan du fornye eller bytte plan
mode.confirmSwitchTitle	Bytte betalingsmodell?
mode.confirmSwitchMessage	Abonnementet ditt er aktivt. Byttet trer i kraft umiddelbart, og resten av den betalte perioden GÅR HELT TAPT: ubrukte dager refunderes ikke og overføres ikke.
mode.termsTitle	Bekreft planvilkårene
