== pt
legal.terms	Termos de serviço
legal.privacy	Política de privacidade
tabs.plans	Planos e preços
tabs.invoices	Histórico de pagamentos
tabs.method	Método de pagamento
tabsShort.plans	Planos
tabsShort.invoices	Histórico
tabsShort.method	Pagamento
paymentsHistory.title	Histórico completo de pagamentos
paymentsHistory.subtitle	Todas as faturas deste estúdio
paymentsHistory.clearFilter	Limpar
paymentsHistory.loadMore	Carregar mais
planNames.start	Start
planNames.pro	Pro
planNames.business	Business
seats.title	Quantos membros da equipa tem o estúdio?
seats.hint	a partir de {{amount}} por mês
seats.stepNote	Cada lugar adicional custa {{amount}} por mês
seats.unlimitedNote	Equipa ilimitada
seats.perSeat	Por membro da equipa
limits.staff	Equipa
limits.ai	Pedidos Velora AI
limits.unlimited	Ilimitado
banner.trialEnds	O período experimental termina em {{date}} — escolha um plano
banner.renews	A sua subscrição {{plan}} renova em {{date}}
banner.expires	A sua subscrição {{plan}} expira em {{date}}
banner.choosePlan	Escolher plano
banner.dismiss	Fechar
banner.unpaid	O seu plano não foi pago. Para continuar, pague em Planos e faturação.
banner.suspended	O acesso foi suspenso porque a fatura do plano está vencida. Pague-a em Planos e faturação.
paymentReturn.done	Pagamento concluído — o plano {{plan}} está ativo.
paymentReturn.processing	O pagamento está a ser processado — a sua subscrição será ativada em alguns minutos.
header.eyebrow	Velora · Faturação
header.title	Planos e faturação
header.subtitle	Gira a subscrição, os métodos de pagamento e o histórico de pagamentos
header.totalSpent	Total gasto
header.monthsWithUs	Meses connosco
header.saved	Poupado
header.nextCharge	Próxima cobrança
header.currentPlan	PLANO ATUAL
header.noPlanName	Sem plano
header.noPlan	Sem subscrição ativa
header.active	Ativo
header.activeUntil	Ativo · até {{date}}
header.trialPlanName	Plano experimental
header.trial	Período experimental
header.trialUntil	Período experimental · até {{date}}
header.expired	Expirado
header.percentRate	{{rate}}% das vendas
header.modePercent	Plano percentual
header.modeFixed	Fixo
header.modeCombo	Combinado
header.unpaid	Plano não pago
header.awaitingPayment	A aguardar pagamento
mode.title	Modelo de pagamento
mode.subscription	Subscrição fixa
mode.percent	% das vendas
mode.combo	Combinação de fixo + %
mode.short.subscription	Fixo
mode.short.percent	Percentagem
mode.short.combo	Combinado
mode.descriptions.subscription	Pague um valor fixo todos os meses. Previsível e vantajoso.
mode.descriptions.percent	Sem tarifa fixa: {{rate}}% de cada venda, incluindo dinheiro.
mode.descriptions.combo	Metade da subscrição + {{rate}}% de cada venda, incluindo dinheiro.
mode.badges.popular	Popular
mode.badges.flexible	Flexível
mode.percentCard.title	Modelo «3% das vendas»
mode.percentCard.description	Pague apenas quando ganha: 3% de cada venda, sem mensalidade fixa. Os pagamentos online são divididos de imediato; dinheiro e carregamentos de depósitos acumulam-se e chegam numa fatura mensal.
mode.percentCard.noFixed	Sem tarifa fixa
mode.percentCard.payForResult	Pague pelo resultado
mode.percentCard.oneClick	Ativação com um clique
mode.percentCard.cta	Ativar modelo de 3%
mode.percentCard.ctaShort	Ativar 3%
mode.activateSuccess	O modelo de pagamento foi atualizado
mode.activateError	Não foi possível atualizar o modelo de pagamento
mode.alreadyActive	Este modelo de pagamento já está ativo — abaixo pode renovar ou alterar o plano
mode.confirmSwitchTitle	Alterar o modelo de pagamento?
mode.confirmSwitchMessage	A sua subscrição está ativa. A alteração entra em vigor imediatamente e o restante período pago PERDE-SE POR COMPLETO: os dias não utilizados não são reembolsados nem transitam.
mode.termsTitle	Confirme as condições do plano
