== ro
legal.terms	Termeni de serviciu
legal.privacy	Politica de confidențialitate
tabs.plans	Planuri și prețuri
tabs.invoices	Istoric plăți
tabs.method	Metodă de plată
tabsShort.plans	Planuri
tabsShort.invoices	Istoric
tabsShort.method	Plată
paymentsHistory.title	Istoric complet al plăților
paymentsHistory.subtitle	Toate facturile acestui studio
paymentsHistory.clearFilter	Șterge
paymentsHistory.loadMore	Încarcă mai multe
planNames.start	Start
planNames.pro	Pro
planNames.business	Business
seats.title	Câți membri are echipa studioului?
seats.hint	de la {{amount}} pe lună
seats.stepNote	Fiecare loc suplimentar costă {{amount}} pe lună
seats.unlimitedNote	Echipă nelimitată
seats.perSeat	Per membru al echipei
limits.staff	Echipă
limits.ai	Solicitări Velora AI
limits.unlimited	Nelimitat
banner.trialEnds	Perioada de probă se încheie la {{date}} — alege un plan
banner.renews	Abonamentul {{plan}} se reînnoiește la {{date}}
banner.expires	Abonamentul {{plan}} expiră la {{date}}
banner.choosePlan	Alege un plan
banner.dismiss	Închide
banner.unpaid	Planul tău nu a fost plătit. Pentru a continua, plătește în Planuri și facturare.
banner.suspended	Accesul a fost suspendat deoarece factura planului este restantă. Plătește-o în Planuri și facturare.
paymentReturn.done	Plata a reușit — planul {{plan}} este activ.
paymentReturn.processing	Plata este procesată — abonamentul tău va fi activat în câteva minute.
header.eyebrow	Velora · Facturare
header.title	Planuri și facturare
header.subtitle	Gestionează abonamentul, metodele de plată și istoricul plăților
header.totalSpent	Total cheltuit
header.monthsWithUs	Luni cu noi
header.saved	Economisit
header.nextCharge	Următoarea taxare
header.currentPlan	PLANUL CURENT
header.noPlanName	Fără plan
header.noPlan	Fără abonament activ
header.active	Activ
header.activeUntil	Activ · până la {{date}}
header.trialPlanName	Plan de probă
header.trial	Perioadă de probă
header.trialUntil	Perioadă de probă · până la {{date}}
header.expired	Expirat
header.percentRate	{{rate}}% din vânzări
header.modePercent	Plan procentual
header.modeFixed	Fix
header.modeCombo	Combinat
header.unpaid	Plan neplătit
header.awaitingPayment	În așteptarea plății
mode.title	Model de plată
mode.subscription	Abonament fix
mode.percent	% din vânzări
mode.combo	Combinație fix + %
mode.short.subscription	Fix
mode.short.percent	Procent
mode.short.combo	Combinat
mode.descriptions.subscription	Plătește o sumă fixă în fiecare lună. Previziibil și avantajos.
mode.descriptions.percent	Fără taxă fixă: {{rate}}% din fiecare vânzare, inclusiv numerar.
mode.descriptions.combo	Jumătate de abonament + {{rate}}% din fiecare vânzare, inclusiv numerar.
mode.badges.popular	Popular
mode.badges.flexible	Flexibil
mode.percentCard.title	Modelul „3% din vânzări”
mode.percentCard.description	Plătește doar când câștigi: 3% din fiecare vânzare, fără taxă fixă de abonament. Plățile online se împart imediat; numerarul și reîncărcările depozitelor se acumulează și vin într-o singură factură lunar.
mode.percentCard.noFixed	Fără taxă fixă
mode.percentCard.payForResult	Plătește pentru rezultat
mode.percentCard.oneClick	Activare cu un clic
mode.percentCard.cta	Activează modelul de 3%
mode.percentCard.ctaShort	Activează 3%
mode.activateSuccess	Modelul de plată a fost actualizat
mode.activateError	Nu s-a putut actualiza modelul de plată
mode.alreadyActive	Acest model de plată este deja activ — mai jos poți reînnoi sau schimba planul
mode.confirmSwitchTitle	Schimbi modelul de plată?
mode.confirmSwitchMessage	Abonamentul tău este activ. Schimbarea intră în vigoare imediat, iar restul perioadei plătite SE PIERDE COMPLET: zilele nefolosite nu se rambursează și nu se transferă.
mode.termsTitle	Confirmă condițiile planului
mode.termsMessage	În acest plan, platforma reține {{rate}}% din fiecare vânzare.\n\nPentru plățile online, taxa este reținută automat în momentul plății. Pentru numerar, terminal și reîncărcări de depozite NU este reținută imediat — se acumulează și primești o factură separată o dată pe lună.\n\nAi {{days}} zile pentru a plăti factura. Dacă nu este plătită la timp, accesul la CRM și miniaplicația clienților este suspendat până la plată.\n\nSuma curentă de plată este afișată în Facturare; poți plăti oricând, inclusiv în avans.
mode.termsConfirm	Accept condițiile
mode.termsMinimum	Taxa minimă lunară este {{amount}} {{currency}}. Dacă într-o lună calendaristică platforma a câștigat mai puțin de atât de la studioul tău, se facturează diferența. Dacă câștigi mai mult decât minimul, nu se emite factură. O taxă minimă neplătită suspendă accesul la fel ca o factură de comision neplătită.
