== sq
legal.terms	Kushtet e shërbimit
legal.privacy	Politika e privatësisë
tabs.plans	Planet dhe çmimet
tabs.invoices	Historia e pagesave
tabs.method	Mënyra e pagesës
tabsShort.plans	Planet
tabsShort.invoices	Historia
tabsShort.method	Pagesa
paymentsHistory.title	Historia e plotë e pagesave
paymentsHistory.subtitle	Të gjitha faturat për këtë studio
paymentsHistory.clearFilter	Pastro
paymentsHistory.loadMore	Ngarko më shumë
planNames.start	Start
planNames.pro	Pro
planNames.business	Business
seats.title	Sa anëtarë stafi ka studioja
seats.hint	nga {{amount}} në muaj
seats.stepNote	Çdo vend shtesë kushton {{amount}} në muaj
seats.unlimitedNote	Pa kufi stafi
seats.perSeat	Për anëtar stafi
limits.staff	Stafi
limits.ai	Kërkesat Velora AI
limits.unlimited	Pa kufi
banner.trialEnds	Prova juaj përfundon më {{date}} — zgjidhni një plan
banner.renews	Abonimi juaj {{plan}} rinovohet më {{date}}
banner.expires	Abonimi juaj {{plan}} përfundon më {{date}}
banner.choosePlan	Zgjidhni një plan
banner.dismiss	Mbyll
banner.unpaid	Plani juaj nuk është paguar. Për të vazhduar, paguani te Planet dhe faturimi.
banner.suspended	Qasja është pezulluar sepse fatura e planit ka kaluar afatin. Paguajeni te Planet dhe faturimi.
paymentReturn.done	Pagesa u krye — plani {{plan}} është aktiv.
paymentReturn.processing	Po përpunohet pagesa — abonimi juaj do të aktivizohet pas pak minutash.
header.eyebrow	Velora · Faturimi
header.title	Planet dhe faturimi
header.subtitle	Menaxhoni abonimin, mënyrat e pagesës dhe historinë e pagesave
header.totalSpent	Totali i shpenzuar
header.monthsWithUs	Muaj me ne
header.saved	Kursyer
header.nextCharge	Tarifa e ardhshme
header.currentPlan	PLANI AKTUAL
header.noPlanName	Pa plan
header.noPlan	Pa abonim aktiv
header.active	Aktiv
header.activeUntil	Aktiv · deri më {{date}}
header.trialPlanName	Plan provues
header.trial	Periudha e provës
header.trialUntil	Periudha e provës · deri më {{date}}
header.expired	Skaduar
header.percentRate	{{rate}}% e shitjeve
header.modePercent	Plan me përqindje
header.modeFixed	Fiks
header.modeCombo	Kombinuar
header.unpaid	Plani nuk është paguar
header.awaitingPayment	Në pritje të pagesës
mode.title	Modeli i pagesës
mode.subscription	Abonim fiks
mode.percent	% e shitjeve
mode.combo	Kombinim fiks + %
mode.short.subscription	Fiks
mode.short.percent	Përqindje
mode.short.combo	Kombinuar
mode.descriptions.subscription	Paguani një shumë çdo muaj. E parashikueshme dhe me kosto të leverdishme.
mode.descriptions.percent	Pa tarifë fikse: {{rate}}% e çdo shitjeje, përfshirë paratë në dorë.
mode.descriptions.combo	Gjysma e abonimit + {{rate}}% e çdo shitjeje, përfshirë paratë në dorë.
mode.badges.popular	Popullor
mode.badges.flexible	Fleksibël
mode.percentCard.title	Modeli „3% e shitjeve“
mode.percentCard.description	Paguani vetëm kur fitoni: 3% e çdo shitjeje, pa tarifë fikse abonimi. Pagesat online ndahen menjëherë; paratë në dorë dhe depozitat grumbullohen dhe vijnë si një faturë çdo muaj.
mode.percentCard.noFixed	Pa tarifë fikse
mode.percentCard.payForResult	Paguani për rezultatet
mode.percentCard.oneClick	Aktivizim me një klikim
mode.percentCard.cta	Aktivizo modelin 3%
mode.percentCard.ctaShort	Aktivizo 3%
mode.activateSuccess	Modeli i pagesës u përditësua
mode.activateError	Nuk u përditësua dot modeli i pagesës
mode.alreadyActive	Ky model pagese është tashmë aktiv — më poshtë mund të rinovoni ose ndryshoni planin
mode.confirmSwitchTitle	Të ndryshojmë modelin e pagesës?
mode.confirmSwitchMessage	Abonimi juaj është aktiv. Ndryshimi i modelit hyn në fuqi menjëherë dhe pjesa e mbetur e periudhës së paguar HUMB PLOTËSISHT: ditët e papërdorura nuk rimbursohen dhe nuk kalohen përpara.
mode.termsTitle	Konfirmoni kushtet e planit
mode.termsMessage	Në këtë plan platforma mban {{rate}}% të çdo shitjeje.\n\nPër pagesat online tarifa mbahet automatikisht në çastin e pagesës. Për paratë në dorë, terminal dhe rimbushje depozitash NUK mbahet menjëherë — grumbullohet dhe merrni një faturë të veçantë një herë në muaj.\n\nKeni {{days}} ditë për të paguar faturën. Nëse nuk paguhet në kohë, qasja te CRM-ja dhe mini-aplikacioni i klientëve pezullohet derisa të shlyhet.\n\nShuma aktuale për t’u paguar shfaqet te Faturimi; mund ta paguani në çdo kohë, edhe paraprakisht.
mode.termsConfirm	Pranoj kushtet
mode.termsMinimum	Tarifa minimale mujore është {{amount}} {{currency}}. Nëse gjatë një muaji kalendarik platforma fitoi më pak se kjo shumë nga studioja juaj (për shembull, nuk pati fare shitje përmes CRM-së), faturoheni për diferencën. Nëse fitoni më shumë se minimumi, nuk ka faturë. Një tarifë minimale e papaguar pezullon qasjen njësoj si një faturë komisioni e papaguar.
mode.termsBurn	KUJDES: ju ka mbetur periudhë e paguar. Ndryshimi i modelit të faturimit e HUMB plotësisht — ditët e papërdorura nuk rimbursohen dhe nuk kalohen përpara.
