== sv
legal.terms	Användarvillkor
legal.privacy	Integritetspolicy
tabs.plans	Planer och priser
tabs.invoices	Betalningshistorik
tabs.method	Betalningsmetod
tabsShort.plans	Planer
tabsShort.invoices	Historik
tabsShort.method	Betalning
paymentsHistory.title	Fullständig betalningshistorik
paymentsHistory.subtitle	Alla fakturor för denna studio
paymentsHistory.clearFilter	Rensa
paymentsHistory.loadMore	Ladda fler
planNames.start	Start
planNames.pro	Pro
planNames.business	Business
seats.title	Hur många medarbetare har studion?
seats.hint	från {{amount}} per månad
seats.stepNote	Varje extra plats kostar {{amount}} per månad
seats.unlimitedNote	Obegränsat antal medarbetare
seats.perSeat	Per medarbetare
limits.staff	Personal
limits.ai	Velora AI-förfrågningar
limits.unlimited	Obegränsat
banner.trialEnds	Din provperiod slutar {{date}} — välj en plan
banner.renews	Din {{plan}}-prenumeration förnyas {{date}}
banner.expires	Din {{plan}}-prenumeration löper ut {{date}}
banner.choosePlan	Välj plan
banner.dismiss	Stäng
banner.unpaid	Din plan är inte betald. Betala under Planer och fakturering för att fortsätta.
banner.suspended	Åtkomsten är avstängd eftersom planfakturan är förfallen. Betala den under Planer och fakturering.
paymentReturn.done	Betalningen genomfördes — {{plan}}-planen är aktiv.
paymentReturn.processing	Betalningen behandlas — din prenumeration aktiveras om några minuter.
header.eyebrow	Velora · Fakturering
header.title	Planer och fakturering
header.subtitle	Hantera prenumerationen, betalningsmetoder och betalningshistorik
header.totalSpent	Totalt spenderat
header.monthsWithUs	Månader med oss
header.saved	Sparat
header.nextCharge	Nästa debitering
header.currentPlan	AKTUELL PLAN
header.noPlanName	Ingen plan
header.noPlan	Ingen aktiv prenumeration
header.active	Aktiv
header.activeUntil	Aktiv · till {{date}}
header.trialPlanName	Provplan
header.trial	Provperiod
header.trialUntil	Provperiod · till {{date}}
header.expired	Utgången
header.percentRate	{{rate}} % av försäljningen
header.modePercent	Procentplan
header.modeFixed	Fast
header.modeCombo	Kombinerad
header.unpaid	Planen är obetald
header.awaitingPayment	Inväntar betalning
mode.title	Betalningsmodell
mode.subscription	Fast prenumeration
mode.percent	% av försäljningen
mode.combo	Kombination fast + %
mode.short.subscription	Fast
mode.short.percent	Procent
mode.short.combo	Kombinerad
mode.descriptions.subscription	Betala ett fast belopp varje månad. Förutsägbart och fördelaktigt.
mode.descriptions.percent	Ingen fast avgift: {{rate}} % av varje försäljning, även kontantbetalningar.
mode.descriptions.combo	Halv prenumeration + {{rate}} % av varje försäljning, även kontantbetalningar.
mode.badges.popular	Populär
mode.badges.flexible	Flexibel
mode.percentCard.title	Modellen ”3 % av försäljningen”
mode.percentCard.description	Betala bara när du tjänar: 3 % av varje försäljning, utan fast prenumerationsavgift. Onlinebetalningar delas direkt; kontanter och insättningar samlas och kommer på en faktura varje månad.
mode.percentCard.noFixed	Ingen fast avgift
mode.percentCard.payForResult	Betala för resultat
mode.percentCard.oneClick	Aktivering med ett klick
mode.percentCard.cta	Aktivera 3 %-modellen
mode.percentCard.ctaShort	Aktivera 3 %
mode.activateSuccess	Betalningsmodellen har uppdaterats
mode.activateError	Det gick inte att uppdatera betalningsmodellen
mode.alreadyActive	Denna betalningsmodell är redan aktiv — nedan kan du förnya eller byta plan
mode.confirmSwitchTitle	Byta betalningsmodell?
mode.confirmSwitchMessage	Din prenumeration är aktiv. Bytet träder i kraft omedelbart och resten av den betalda perioden GÅR HELT FÖRLORAD: oanvända dagar återbetalas inte och förs inte över.
mode.termsTitle	Bekräfta planvillkoren
