== tr
legal.terms	Hizmet koşulları
legal.privacy	Gizlilik politikası
tabs.plans	Planlar ve fiyatlar
tabs.invoices	Ödeme geçmişi
tabs.method	Ödeme yöntemi
tabsShort.plans	Planlar
tabsShort.invoices	Geçmiş
tabsShort.method	Ödeme
paymentsHistory.title	Tüm ödeme geçmişi
paymentsHistory.subtitle	Bu stüdyoya ait tüm faturalar
paymentsHistory.clearFilter	Temizle
paymentsHistory.loadMore	Daha fazla yükle
planNames.start	Start
planNames.pro	Pro
planNames.business	Business
seats.title	Stüdyoda kaç ekip üyesi var?
seats.hint	aylık {{amount}} tutarından başlayan fiyatlarla
seats.stepNote	Her ek koltuk aylık {{amount}} tutarındadır
seats.unlimitedNote	Sınırsız ekip
seats.perSeat	Ekip üyesi başına
limits.staff	Ekip
limits.ai	Velora AI istekleri
limits.unlimited	Sınırsız
banner.trialEnds	Deneme süreniz {{date}} tarihinde bitiyor — bir plan seçin
banner.renews	{{plan}} aboneliğiniz {{date}} tarihinde yenilenir
banner.expires	{{plan}} aboneliğiniz {{date}} tarihinde sona erer
banner.choosePlan	Plan seç
banner.dismiss	Kapat
banner.unpaid	Planınız ödenmemiş. Devam etmek için Planlar ve faturalandırma bölümünden ödeme yapın.
banner.suspended	Plan faturası vadesi geçtiği için erişim askıya alındı. Planlar ve faturalandırma bölümünden ödeyin.
paymentReturn.done	Ödeme tamamlandı — {{plan}} planı etkin.
paymentReturn.processing	Ödeme işleniyor — aboneliğiniz birkaç dakika içinde etkinleştirilecek.
header.eyebrow	Velora · Faturalandırma
header.title	Planlar ve faturalandırma
header.subtitle	Aboneliğinizi, ödeme yöntemlerinizi ve ödeme geçmişinizi yönetin
header.totalSpent	Toplam harcama
header.monthsWithUs	Bizimle geçen aylar
header.saved	Tasarruf
header.nextCharge	Sonraki tahsilat
header.currentPlan	GEÇERLİ PLAN
header.noPlanName	Plan yok
header.noPlan	Etkin abonelik yok
header.active	Etkin
header.activeUntil	Etkin · {{date}} tarihine kadar
header.trialPlanName	Deneme planı
header.trial	Deneme süresi
header.trialUntil	Deneme süresi · {{date}} tarihine kadar
header.expired	Süresi doldu
header.percentRate	Satışların %{{rate}}’i
header.modePercent	Yüzde planı
header.modeFixed	Sabit
header.modeCombo	Karma
header.unpaid	Plan ödenmemiş
header.awaitingPayment	Ödeme bekleniyor
mode.title	Ödeme modeli
mode.subscription	Sabit abonelik
mode.percent	Satışların %’si
mode.combo	Sabit + % birleşimi
mode.short.subscription	Sabit
mode.short.percent	Yüzde
mode.short.combo	Karma
mode.descriptions.subscription	Her ay sabit bir tutar ödeyin. Öngörülebilir ve avantajlıdır.
mode.descriptions.percent	Sabit ücret yok: nakit dahil her satışın %{{rate}}’i.
mode.descriptions.combo	Yarım abonelik + nakit dahil her satışın %{{rate}}’i.
mode.badges.popular	Popüler
mode.badges.flexible	Esnek
mode.percentCard.title	“Satışların %3’ü” modeli
mode.percentCard.description	Yalnızca kazandığınızda ödeyin: sabit abonelik ücreti olmadan her satışın %3’ü. Çevrimiçi ödemeler anında bölünür; nakit ve depozito yüklemeleri birikir ve her ay tek fatura olarak gelir.
mode.percentCard.noFixed	Sabit ücret yok
mode.percentCard.payForResult	Sonuç için ödeme yapın
mode.percentCard.oneClick	Tek tıkla etkinleştirme
mode.percentCard.cta	%3 modelini etkinleştir
mode.percentCard.ctaShort	%3’ü etkinleştir
mode.activateSuccess	Ödeme modeli güncellendi
mode.activateError	Ödeme modeli güncellenemedi
mode.alreadyActive	Bu ödeme modeli zaten etkin — aşağıdan planı yenileyebilir veya değiştirebilirsiniz
mode.confirmSwitchTitle	Ödeme modeli değiştirilsin mi?
mode.confirmSwitchMessage	Aboneliğiniz etkin. Değişiklik hemen geçerli olur ve ödenmiş dönemin kalan kısmı TAMAMEN KAYBOLUR: kullanılmayan günler iade edilmez veya aktarılmaz.
mode.termsTitle	Plan koşullarını onaylayın
mode.termsMessage	Bu planda platform her satışın %{{rate}}’ini alır.\n\nÇevrimiçi ödemelerde ücret ödeme anında otomatik olarak kesilir. Nakit, terminal ve depozito yüklemelerinde HEMEN kesilmez — birikir ve ayda bir kez ayrı fatura alırsınız.\n\nFaturayı ödemek için {{days}} gününüz vardır. Zamanında ödenmezse CRM ve müşteri mini uygulamasına erişim ödenene kadar askıya alınır.\n\nGüncel ödenecek tutar Faturalandırma’da gösterilir; istediğiniz zaman, hatta önceden ödeme yapabilirsiniz.
mode.termsConfirm	Koşulları kabul ediyorum
