== da
tabs.studios	Studier
tabs.services	Ydelser
tabs.subscriptions	Medlemskaber
modals.addStudio.steps.about.title	Om studiet
modals.addStudio.steps.about.sub	Navn og kontaktoplysninger
modals.addStudio.steps.about.trust	Dine data er krypteret og deles aldrig med tredjeparter
modals.addStudio.steps.location.title	Placering
modals.addStudio.steps.location.sub	Hvor ligger denne afdeling?
modals.addStudio.steps.location.trust	Adressen bruges i kalenderen og på kort
modals.addStudio.steps.photo.title	Foto
modals.addStudio.steps.photo.sub	Studieforside — valgfri
modals.addStudio.steps.photo.trust	Du kan tilføje det senere i afdelingens indstillinger
modals.addStudio.stepCounter	Trin {{current}} af {{total}}
modals.addStudio.step1.heading	Grundlæggende oplysninger
modals.addStudio.step1.subheading	Hvad hedder studiet, og hvordan kontakter man det?
modals.addStudio.step1.name	Studienavn *
modals.addStudio.step1.namePlaceholder	F.eks. Velora Studio
modals.addStudio.step1.phone	Telefon *
modals.addStudio.step1.email	E-mail *
modals.addStudio.step1.contactHint	Indtast et telefonnummer eller en e-mail — mindst én
modals.addStudio.step1.noContacts	Ingen kontaktoplysninger angivet
modals.addStudio.step1.new	NY
modals.addStudio.step2.heading	Placering
modals.addStudio.step2.subheading	Angiv, hvor denne afdeling ligger
modals.addStudio.step2.country	Land
modals.addStudio.step2.countryPlaceholder	USA
modals.addStudio.step2.city	By *
modals.addStudio.step2.cityPlaceholder	New York
modals.addStudio.step2.address	Adresse *
modals.addStudio.step2.addressPlaceholder	5th Avenue 12, lokale 301
modals.addStudio.step2.noAddress	Ingen adresse angivet
modals.addStudio.step2.groupHint	Felterne „Land” og „By” bruges til at gruppere afdelinger på listen.
modals.addStudio.step3.heading	Studiefoto
modals.addStudio.step3.subheading	Upload et cover — valgfrit, du kan springe det over
modals.addStudio.step3.uploadCta	Klik for at uploade
modals.addStudio.step3.uploadHint	JPG, PNG op til 10 MB
modals.addStudio.step3.replace	Erstat
modals.addStudio.step3.remove	Fjern
modals.addStudio.step3.previewAlt	Forhåndsvisning
modals.addStudio.step3.summary	Oversigt
modals.addStudio.step3.uploadError	Kunne ikke uploade fotoet. Prøv en anden fil, eller fjern det.
modals.addStudio.summaryRows.name	Navn
modals.addStudio.summaryRows.city	By
modals.addStudio.summaryRows.address	Adresse
modals.addStudio.nextPhoto	Næste — foto
modals.addStudio.submit	Opret studie
modals.addStudio.skipPhoto	Spring foto over, og opret
modals.addStudio.illus.contacts	Kontaktoplysninger
modals.addStudio.illus.newBranch	Ny afdeling
modals.addStudio.illus.city	By
modals.addStudio.illus.newBranchStudio	Ny studieafdeling
modals.editBranch.title	Rediger afdeling
modals.editBranch.name	Afdelingsnavn
modals.editBranch.namePlaceholder	Velora Studio
modals.editBranch.phone	Telefon
modals.editBranch.email	E-mail
modals.editBranch.emailPlaceholder	studio@velora.com
modals.editBranch.country	Land
modals.editBranch.countryPlaceholder	USA
modals.editBranch.city	By
modals.editBranch.cityPlaceholder	New York
modals.editBranch.address	Adresse
modals.editBranch.addressPlaceholder	5th Avenue 12
modals.editBranch.photo	Afdelingsfoto
modals.editBranch.contactHint	Indtast et telefonnummer eller en e-mail
modals.editBranch.workingHours	Åbningstider
modals.hall.titleNew	Tilføj {{spaceAcc}}
modals.hall.titleEdit	Rediger {{spaceAcc}}
modals.hall.name	Navn
modals.hall.namePlaceholder	{{space, capitalize}} A
modals.hall.capacity	Kapacitet
modals.hall.area	Areal, m²
modals.hall.hourlyRate	Pris pr. time, {{currency}}
modals.hall.hourlyRatePlaceholder	3000
modals.hall.equipment	Udstyr
modals.hall.equipmentPlaceholder	Tilføj udstyr
modals.hall.color	Farve
modals.hall.isOnline	Online
modals.hall.photo	Foto
modals.hall.subtitle	{{space, capitalize}} i afdelingen: pladser, udstyr, kalenderfarve
modals.hall.previewTitle	Forhåndsvisning
modals.hall.sectionBasic	Grundlæggende
modals.hall.sectionSpace	Rum
modals.hall.sectionLook	Udseende
modals.hall.areaShort	Areal
modals.hall.hourlyRateShort	Pris pr. time
modals.hall.statArea	Areal
modals.hall.statRate	Pris / time
modals.hall.isOnlineHint	Holdene foregår online — ingen fysiske lokaler.
modals.hall.colorHint	Hold her fremhæves med denne farve i kalenderen.
modals.service.titleNew	Ny ydelse
modals.service.titleEdit	Rediger ydelse
modals.service.name	Ydelsesnavn
modals.service.namePlaceholder	Hatha yoga
modals.service.category	Kategori
modals.service.type	Type
modals.service.typeGroup	Hold
modals.service.typeIndividual	Individuel
modals.service.price	Pris, {{currency}}
