== es
tabs.studios	Estudios
tabs.services	Servicios
tabs.subscriptions	Membresías
modals.addStudio.steps.about.title	Acerca del estudio
modals.addStudio.steps.about.sub	Nombre y datos de contacto
modals.addStudio.steps.about.trust	Tus datos se cifran y nunca se comparten con terceros
modals.addStudio.steps.location.title	Ubicación
modals.addStudio.steps.location.sub	¿Dónde está esta sucursal?
modals.addStudio.steps.location.trust	La dirección se usa en el horario y los mapas
modals.addStudio.steps.photo.title	Foto
modals.addStudio.steps.photo.sub	Portada del estudio — opcional
modals.addStudio.steps.photo.trust	Puedes añadirla después en los ajustes de la sucursal
modals.addStudio.stepCounter	Paso {{current}} de {{total}}
modals.addStudio.step1.heading	Información básica
modals.addStudio.step1.subheading	¿Cómo se llama el estudio y cómo se puede contactar?
modals.addStudio.step1.name	Nombre del estudio *
modals.addStudio.step1.namePlaceholder	Ej.: Estudio Velora
modals.addStudio.step1.phone	Teléfono *
modals.addStudio.step1.email	Correo electrónico *
modals.addStudio.step1.contactHint	Introduce un teléfono o correo electrónico — al menos uno
modals.addStudio.step1.noContacts	No se indicaron contactos
modals.addStudio.step1.new	NUEVO
modals.addStudio.step2.heading	Ubicación
modals.addStudio.step2.subheading	Indica dónde está esta sucursal
modals.addStudio.step2.country	País
modals.addStudio.step2.countryPlaceholder	Estados Unidos
modals.addStudio.step2.city	Ciudad *
modals.addStudio.step2.cityPlaceholder	Nueva York
modals.addStudio.step2.address	Dirección *
modals.addStudio.step2.addressPlaceholder	5th Avenue 12, oficina 301
modals.addStudio.step2.noAddress	No se indicó dirección
modals.addStudio.step2.groupHint	Los campos «País» y «Ciudad» se usan para agrupar sucursales en la lista.
modals.addStudio.step3.heading	Foto del estudio
modals.addStudio.step3.subheading	Sube una portada — es opcional, puedes omitirla
modals.addStudio.step3.uploadCta	Haz clic para subir
modals.addStudio.step3.uploadHint	JPG, PNG hasta 10 MB
modals.addStudio.step3.replace	Reemplazar
modals.addStudio.step3.remove	Eliminar
modals.addStudio.step3.previewAlt	Vista previa
