== fi
tabs.studios	Studiot
tabs.services	Palvelut
tabs.subscriptions	Jäsenyydet
modals.addStudio.steps.about.title	Tietoa studiosta
modals.addStudio.steps.about.sub	Nimi ja yhteystiedot
modals.addStudio.steps.about.trust	Tietosi salataan, eikä niitä koskaan jaeta kolmansille osapuolille
modals.addStudio.steps.location.title	Sijainti
modals.addStudio.steps.location.sub	Missä tämä toimipiste sijaitsee?
modals.addStudio.steps.location.trust	Osoitetta käytetään kalenterissa ja kartoissa
modals.addStudio.steps.photo.title	Kuva
modals.addStudio.steps.photo.sub	Studion kansikuva — valinnainen
modals.addStudio.steps.photo.trust	Voit lisätä sen myöhemmin toimipisteen asetuksissa
modals.addStudio.stepCounter	Vaihe {{current}} / {{total}}
modals.addStudio.step1.heading	Perustiedot
modals.addStudio.step1.subheading	Mikä studion nimi on ja miten siihen saa yhteyden?
modals.addStudio.step1.name	Studion nimi *
modals.addStudio.step1.namePlaceholder	Esim. Velora Studio
modals.addStudio.step1.phone	Puhelin *
modals.addStudio.step1.email	Sähköposti *
modals.addStudio.step1.contactHint	Anna puhelinnumero tai sähköposti — vähintään toinen
modals.addStudio.step1.noContacts	Yhteystietoja ei annettu
modals.addStudio.step1.new	UUSI
modals.addStudio.step2.heading	Sijainti
modals.addStudio.step2.subheading	Määritä, missä tämä toimipiste sijaitsee
modals.addStudio.step2.country	Maa
modals.addStudio.step2.countryPlaceholder	Yhdysvallat
modals.addStudio.step2.city	Kaupunki *
modals.addStudio.step2.cityPlaceholder	New York
modals.addStudio.step2.address	Osoite *
modals.addStudio.step2.addressPlaceholder	5th Avenue 12, huoneisto 301
modals.addStudio.step2.noAddress	Osoitetta ei annettu
modals.addStudio.step2.groupHint	Kenttiä ”Maa” ja ”Kaupunki” käytetään toimipisteiden ryhmittelyyn luettelossa.
modals.addStudio.step3.heading	Studion kuva
modals.addStudio.step3.subheading	Lataa kansikuva — se on valinnainen, voit ohittaa sen
modals.addStudio.step3.uploadCta	Lataa napsauttamalla
modals.addStudio.step3.uploadHint	JPG, PNG, enintään 10 Mt
modals.addStudio.step3.replace	Vaihda
modals.addStudio.step3.remove	Poista
modals.addStudio.step3.previewAlt	Esikatselu
modals.addStudio.step3.summary	Yhteenveto
