== pl
tabs.studios	Studia
tabs.services	Usługi
tabs.subscriptions	Karnety
modals.addStudio.steps.about.title	O studiu
modals.addStudio.steps.about.sub	Nazwa i dane kontaktowe
modals.addStudio.steps.about.trust	Twoje dane są szyfrowane i nigdy nie są udostępniane osobom trzecim
modals.addStudio.steps.location.title	Lokalizacja
modals.addStudio.steps.location.sub	Gdzie znajduje się ten oddział?
modals.addStudio.steps.location.trust	Adres jest używany w harmonogramie i na mapach
modals.addStudio.steps.photo.title	Zdjęcie
modals.addStudio.steps.photo.sub	Okładka studia — opcjonalna
modals.addStudio.steps.photo.trust	Możesz ją dodać później w ustawieniach oddziału
modals.addStudio.stepCounter	Krok {{current}} z {{total}}
modals.addStudio.step1.heading	Podstawowe informacje
modals.addStudio.step1.subheading	Jak nazywa się studio i jak się z nim skontaktować?
modals.addStudio.step1.name	Nazwa studia *
modals.addStudio.step1.namePlaceholder	Np. Studio Velora
modals.addStudio.step1.phone	Telefon *
modals.addStudio.step1.email	E-mail *
modals.addStudio.step1.contactHint	Podaj telefon lub e-mail — przynajmniej jedno
modals.addStudio.step1.noContacts	Nie podano kontaktów
modals.addStudio.step1.new	NOWE
modals.addStudio.step2.heading	Lokalizacja
modals.addStudio.step2.subheading	Wskaż, gdzie znajduje się ten oddział
modals.addStudio.step2.country	Kraj
modals.addStudio.step2.countryPlaceholder	Stany Zjednoczone
modals.addStudio.step2.city	Miasto *
modals.addStudio.step2.cityPlaceholder	Nowy Jork
modals.addStudio.step2.address	Adres *
modals.addStudio.step2.addressPlaceholder	5th Avenue 12, lokal 301
modals.addStudio.step2.noAddress	Nie podano adresu
modals.addStudio.step2.groupHint	Pola „Kraj” i „Miasto” służą do grupowania oddziałów na liście.
modals.addStudio.step3.heading	Zdjęcie studia
modals.addStudio.step3.subheading	Prześlij okładkę — jest opcjonalna, możesz ją pominąć
modals.addStudio.step3.uploadCta	Kliknij, aby przesłać
modals.addStudio.step3.uploadHint	JPG, PNG do 10 MB
modals.addStudio.step3.replace	Zamień
modals.addStudio.step3.remove	Usuń
modals.addStudio.step3.previewAlt	Podgląd
modals.addStudio.step3.summary	Podsumowanie
modals.addStudio.step3.uploadError	Nie udało się przesłać zdjęcia. Spróbuj innego pliku albo je usuń.
modals.addStudio.summaryRows.name	Nazwa
modals.addStudio.summaryRows.city	Miasto
modals.addStudio.summaryRows.address	Adres
modals.addStudio.nextPhoto	Dalej — zdjęcie
modals.addStudio.submit	Utwórz studio
modals.addStudio.skipPhoto	Pomiń zdjęcie i utwórz
modals.addStudio.illus.contacts	Kontakty
modals.addStudio.illus.newBranch	Nowy oddział
modals.addStudio.illus.city	Miasto
modals.addStudio.illus.newBranchStudio	Nowy oddział studia
modals.editBranch.title	Edytuj oddział
modals.editBranch.name	Nazwa oddziału
