== pt
tabs.studios	Estúdios
tabs.services	Serviços
tabs.subscriptions	Assinaturas
modals.addStudio.steps.about.title	Sobre o estúdio
modals.addStudio.steps.about.sub	Nome e contactos
modals.addStudio.steps.about.trust	Os seus dados são encriptados e nunca partilhados com terceiros
modals.addStudio.steps.location.title	Localização
modals.addStudio.steps.location.sub	Onde fica esta filial?
modals.addStudio.steps.location.trust	A morada é usada no horário e nos mapas
modals.addStudio.steps.photo.title	Fotografia
modals.addStudio.steps.photo.sub	Capa do estúdio — opcional
modals.addStudio.steps.photo.trust	Pode adicioná-la mais tarde nas definições da filial
modals.addStudio.stepCounter	Passo {{current}} de {{total}}
modals.addStudio.step1.heading	Informações básicas
modals.addStudio.step1.subheading	Como se chama o estúdio e como o contactar?
modals.addStudio.step1.name	Nome do estúdio *
modals.addStudio.step1.namePlaceholder	Ex.: Estúdio Velora
modals.addStudio.step1.phone	Telefone *
modals.addStudio.step1.email	E-mail *
modals.addStudio.step1.contactHint	Introduza um telefone ou e-mail — pelo menos um
modals.addStudio.step1.noContacts	Sem contactos indicados
modals.addStudio.step1.new	NOVO
modals.addStudio.step2.heading	Localização
modals.addStudio.step2.subheading	Indique onde fica esta filial
modals.addStudio.step2.country	País
modals.addStudio.step2.countryPlaceholder	Estados Unidos
modals.addStudio.step2.city	Cidade *
modals.addStudio.step2.cityPlaceholder	Nova Iorque
modals.addStudio.step2.address	Morada *
modals.addStudio.step2.addressPlaceholder	5th Avenue 12, sala 301
modals.addStudio.step2.noAddress	Sem morada indicada
modals.addStudio.step2.groupHint	Os campos «País» e «Cidade» são usados para agrupar filiais na lista.
modals.addStudio.step3.heading	Fotografia do estúdio
modals.addStudio.step3.subheading	Carregue uma capa — é opcional, pode ignorá-la
modals.addStudio.step3.uploadCta	Clique para carregar
modals.addStudio.step3.uploadHint	JPG, PNG até 10 MB
modals.addStudio.step3.replace	Substituir
modals.addStudio.step3.remove	Remover
modals.addStudio.step3.previewAlt	Pré-visualização
modals.addStudio.step3.summary	Resumo
modals.addStudio.step3.uploadError	Não foi possível carregar a fotografia. Tente outro ficheiro ou remova-a.
modals.addStudio.summaryRows.name	Nome
modals.addStudio.summaryRows.city	Cidade
modals.addStudio.summaryRows.address	Morada
modals.addStudio.nextPhoto	Seguinte — fotografia
modals.addStudio.submit	Criar estúdio
modals.addStudio.skipPhoto	Ignorar fotografia e criar
modals.addStudio.illus.contacts	Contactos
modals.addStudio.illus.newBranch	Nova filial
modals.addStudio.illus.city	Cidade
modals.addStudio.illus.newBranchStudio	Nova filial do estúdio
modals.editBranch.title	Editar filial
modals.editBranch.name	Nome da filial
modals.editBranch.namePlaceholder	Estúdio Velora
modals.editBranch.phone	Telefone
modals.editBranch.email	E-mail
modals.editBranch.emailPlaceholder	studio@velora.com
modals.editBranch.country	País
modals.editBranch.countryPlaceholder	Estados Unidos
