== ro
tabs.studios	Studiouri
tabs.services	Servicii
tabs.subscriptions	Abonamente
modals.addStudio.steps.about.title	Despre studio
modals.addStudio.steps.about.sub	Nume și date de contact
modals.addStudio.steps.about.trust	Datele dvs. sunt criptate și nu sunt partajate niciodată cu terți
modals.addStudio.steps.location.title	Locație
modals.addStudio.steps.location.sub	Unde se află această sucursală?
modals.addStudio.steps.location.trust	Adresa este utilizată în program și pe hărți
modals.addStudio.steps.photo.title	Fotografie
modals.addStudio.steps.photo.sub	Coperta studioului — opțională
modals.addStudio.steps.photo.trust	O puteți adăuga mai târziu în setările sucursalei
modals.addStudio.stepCounter	Pasul {{current}} din {{total}}
modals.addStudio.step1.heading	Informații de bază
modals.addStudio.step1.subheading	Cum se numește studioul și cum poate fi contactat?
modals.addStudio.step1.name	Numele studioului *
modals.addStudio.step1.namePlaceholder	De ex. Studio Velora
modals.addStudio.step1.phone	Telefon *
modals.addStudio.step1.email	E-mail *
modals.addStudio.step1.contactHint	Introduceți un telefon sau un e-mail — cel puțin unul
modals.addStudio.step1.noContacts	Nu au fost oferite contacte
modals.addStudio.step1.new	NOU
modals.addStudio.step2.heading	Locație
modals.addStudio.step2.subheading	Specificați unde se află această sucursală
modals.addStudio.step2.country	Țară
modals.addStudio.step2.countryPlaceholder	Statele Unite
modals.addStudio.step2.city	Oraș *
modals.addStudio.step2.cityPlaceholder	New York
modals.addStudio.step2.address	Adresă *
modals.addStudio.step2.addressPlaceholder	5th Avenue 12, apartamentul 301
modals.addStudio.step2.noAddress	Nu a fost oferită adresă
modals.addStudio.step2.groupHint	Câmpurile „Țară” și „Oraș” sunt utilizate pentru gruparea sucursalelor în listă.
modals.addStudio.step3.heading	Fotografia studioului
modals.addStudio.step3.subheading	Încărcați o copertă — este opțională, o puteți omite
modals.addStudio.step3.uploadCta	Faceți clic pentru încărcare
modals.addStudio.step3.uploadHint	JPG, PNG până la 10 MB
modals.addStudio.step3.replace	Înlocuiește
modals.addStudio.step3.remove	Elimină
modals.addStudio.step3.previewAlt	Previzualizare
modals.addStudio.step3.summary	Rezumat
modals.addStudio.step3.uploadError	Fotografia nu a putut fi încărcată. Încercați alt fișier sau eliminați-o.
modals.addStudio.summaryRows.name	Nume
modals.addStudio.summaryRows.city	Oraș
modals.addStudio.summaryRows.address	Adresă
modals.addStudio.nextPhoto	Următorul — fotografie
modals.addStudio.submit	Creează studio
modals.addStudio.skipPhoto	Omite fotografia și creează
modals.addStudio.illus.contacts	Contacte
modals.addStudio.illus.newBranch	Sucursala nouă
modals.addStudio.illus.city	Oraș
modals.addStudio.illus.newBranchStudio	Sucursala nouă a studioului
modals.editBranch.title	Editează sucursala
modals.editBranch.name	Numele sucursalei
modals.editBranch.namePlaceholder	Studio Velora
modals.editBranch.phone	Telefon
modals.editBranch.email	E-mail
modals.editBranch.emailPlaceholder	studio@velora.com
modals.editBranch.country	Țară
modals.editBranch.countryPlaceholder	Statele Unite
modals.editBranch.city	Oraș
modals.editBranch.cityPlaceholder	New York
modals.editBranch.address	Adresă
modals.editBranch.addressPlaceholder	5th Avenue 12
modals.editBranch.photo	Fotografia sucursalei
modals.editBranch.contactHint	Introduceți un telefon sau un e-mail
modals.editBranch.workingHours	Program de lucru
modals.hall.titleNew	Adaugă {{spaceAcc}}
modals.hall.titleEdit	Editează {{spaceAcc}}
modals.hall.name	Nume
modals.hall.namePlaceholder	{{space, capitalize}} A
modals.hall.capacity	Capacitate
modals.hall.area	Suprafață, m²
modals.hall.hourlyRate	Preț pe oră, {{currency}}
modals.hall.hourlyRatePlaceholder	3000
modals.hall.equipment	Echipament
modals.hall.equipmentPlaceholder	Adaugă echipament
modals.hall.color	Culoare
modals.hall.isOnline	Online
modals.hall.photo	Fotografie
modals.hall.subtitle	{{space, capitalize}} în sucursală: locuri, echipament, culoare în program
modals.hall.previewTitle	Previzualizare
modals.hall.sectionBasic	De bază
