== sr
tabs.studios	Студији
tabs.services	Услуге
tabs.subscriptions	Чланарине
modals.addStudio.steps.about.title	О студију
modals.addStudio.steps.about.sub	Назив и контакт подаци
modals.addStudio.steps.about.trust	Ваши подаци су шифровани и никада се не деле са трећим странама
modals.addStudio.steps.location.title	Локација
modals.addStudio.steps.location.sub	Где се налази овај огранак?
modals.addStudio.steps.location.trust	Адреса се користи у распореду и на мапама
modals.addStudio.steps.photo.title	Фотографија
modals.addStudio.steps.photo.sub	Насловна фотографија студија — опционално
modals.addStudio.steps.photo.trust	Можете је додати касније у подешавањима огранка
modals.addStudio.stepCounter	Корак {{current}} од {{total}}
modals.addStudio.step1.heading	Основне информације
modals.addStudio.step1.subheading	Како се студио зове и како се може контактирати?
modals.addStudio.step1.name	Назив студија *
modals.addStudio.step1.namePlaceholder	Нпр. Velora Studio
modals.addStudio.step1.phone	Телефон *
modals.addStudio.step1.email	Имејл *
modals.addStudio.step1.contactHint	Унесите телефон или имејл — бар једно
modals.addStudio.step1.noContacts	Нема наведених контаката
modals.addStudio.step1.new	НОВО
modals.addStudio.step2.heading	Локација
modals.addStudio.step2.subheading	Наведите где се налази овај огранак
modals.addStudio.step2.country	Држава
modals.addStudio.step2.countryPlaceholder	Сједињене Америчке Државе
modals.addStudio.step2.city	Град *
modals.addStudio.step2.cityPlaceholder	Њујорк
modals.addStudio.step2.address	Адреса *
modals.addStudio.step2.addressPlaceholder	5th Avenue 12, канцеларија 301
modals.addStudio.step2.noAddress	Нема наведене адресе
modals.addStudio.step2.groupHint	Поља „Држава” и „Град” служе за груписање огранака у листи.
modals.addStudio.step3.heading	Фотографија студија
modals.addStudio.step3.subheading	Отпремите насловну фотографију — опционална је, можете је прескочити
modals.addStudio.step3.uploadCta	Кликните за отпремање
modals.addStudio.step3.uploadHint	JPG, PNG до 10 MB
modals.addStudio.step3.replace	Замени
modals.addStudio.step3.remove	Уклони
modals.addStudio.step3.previewAlt	Преглед
modals.addStudio.step3.summary	Сажетак
modals.addStudio.step3.uploadError	Фотографија није могла да се отпреми. Покушајте другу датотеку или је уклоните.
modals.addStudio.summaryRows.name	Назив
modals.addStudio.summaryRows.city	Град
modals.addStudio.summaryRows.address	Адреса
modals.addStudio.nextPhoto	Следеће — фотографија
modals.addStudio.submit	Направи студио
modals.addStudio.skipPhoto	Прескочи фотографију и направи
modals.addStudio.illus.contacts	Контакти
modals.addStudio.illus.newBranch	Нови огранак
modals.addStudio.illus.city	Град
modals.addStudio.illus.newBranchStudio	Нови огранак студија
modals.editBranch.title	Измени огранак
modals.editBranch.name	Назив огранка
modals.editBranch.namePlaceholder	Velora Studio
modals.editBranch.phone	Телефон
modals.editBranch.email	Имејл
modals.editBranch.emailPlaceholder	studio@velora.com
modals.editBranch.country	Држава
modals.editBranch.countryPlaceholder	Сједињене Америчке Државе
modals.editBranch.city	Град
modals.editBranch.cityPlaceholder	Њујорк
modals.editBranch.address	Адреса
modals.editBranch.addressPlaceholder	5th Avenue 12
modals.editBranch.photo	Фотографија огранка
modals.editBranch.contactHint	Унесите телефон или имејл
modals.editBranch.workingHours	Радно време
modals.hall.titleNew	Додај {{spaceAcc}}
modals.hall.titleEdit	Измени {{spaceAcc}}
modals.hall.name	Назив
modals.hall.namePlaceholder	{{space, capitalize}} A
modals.hall.capacity	Капацитет
modals.hall.area	Површина, m²
modals.hall.hourlyRate	Цена по сату, {{currency}}
modals.hall.hourlyRatePlaceholder	3000
modals.hall.equipment	Опрема
modals.hall.equipmentPlaceholder	Додај опрему
modals.hall.color	Боја
modals.hall.isOnline	Онлајн
modals.hall.photo	Фотографија
modals.hall.subtitle	{{space, capitalize}} у огранку: места, опрема, боја у распореду
modals.hall.previewTitle	Преглед
modals.hall.sectionBasic	Основно
modals.hall.sectionSpace	Простор
modals.hall.sectionLook	Изглед
modals.hall.areaShort	Површина
modals.hall.hourlyRateShort	Цена по сату
modals.hall.statArea	Површина
modals.hall.statRate	Цена / сат
modals.hall.isOnlineHint	Часови се одржавају онлајн — нема физичког простора.
modals.hall.colorHint	Часови овде су истакнути овом бојом у распореду.
modals.service.titleNew	Нова услуга
modals.service.titleEdit	Измени услугу
modals.service.name	Назив услуге
modals.service.namePlaceholder	Хатха јога
modals.service.category	Категорија
modals.service.type	Тип
modals.service.typeGroup	Групна
modals.service.typeIndividual	Индивидуална
modals.service.price	Цена, {{currency}}
modals.service.pricePlaceholder	1200
modals.service.duration	Трајање, мин
modals.service.durationPlaceholder	60
modals.service.maxClients	Максимално клијената
modals.service.maxClientsPlaceholder	15
modals.service.description	Опис
modals.service.descriptionPlaceholder	Кратак опис услуге
modals.service.color	Боја
modals.service.subtitle	Приказује се у распореду и онлајн резервацији
modals.service.previewTitle	Преглед распореда
modals.service.sectionBasic	Основно
