== fi
categories.all	Kaikki
categories.vip	VIP
categories.active	Aktiiviset
categories.new	Uudet
categories.has_subscription	Jäsenyyden kanssa
categories.inactive	Ei aktiivisia
categories.frozen	Jäädytetyt
categories.birthday	Syntymäpäivä
categoriesInfo.all.text	Studion koko asiakasluettelo ilman tilasuodatusta.
categoriesInfo.vip.text	Onnistuneita maksuja yhteensä 50 000+ tai 30+ käyntiä. VIP-tilan voi myös kiinnittää käsin asiakaskorttiin; käsin tehty kiinnitys pysyy voimassa summista riippumatta.
categoriesInfo.active.text	Vähintään yksi käynti viimeisten 60 päivän aikana. Perustuu päiväkirjaan merkittyihin läsnäoloihin — tila päivittyy itsestään, eikä sitä tarvitse asettaa käsin.
categoriesInfo.new.text	Ensimmäiset 15 päivää rekisteröintipäivästä, lisättiinpä asiakas käsin tai tulipa hän verkkovarauksen kautta. Päivänä 16 asiakas siirtyy automaattisesti Aktiivisiin tai Ei aktiivisiin.
categoriesInfo.has_subscription.text	Voimassa oleva jäsenyys: ei vanhentunut, ei jäädytetty ja tunteja jäljellä. Päivittyy heti oston yhteydessä, jokaisen käytetyn tunnin jälkeen ja vanhentuessaan.
categoriesInfo.inactive.text	Ei käyntejä viimeisten 60 päivän aikana — tai ei koskaan käynyt ja rekisteröinnistä on kulunut yli 15 päivää.
categoriesInfo.frozen.text	Jäädytetty asiakaskortin painikkeella — ainoa käsin asetettava tila. Jäädytyksen purkamisen jälkeen asiakas palaa automaattiseen tilaansa.
categoriesInfo.birthday.text	Ne, joilla on tänään syntymäpäivä — päivä ja kuukausi täsmäävät, vuotta ei huomioida. Luettelo päivittyy automaattisesti joka päivä.
status.active	Aktiivinen
status.vip	VIP
status.new	Uusi
status.inactive	Ei aktiivinen
status.frozen	Jäädytetty
filtersGuide.trigger	Tietoa suodattimista
filtersGuide.title	Asiakassuodattimet
filtersGuide.subtitle	Näin kukin luokka lasketaan. Ota suodatin käyttöön napsauttamalla korttia tai muuta raja-arvoa — tilat lasketaan heti uudelleen.
filtersGuide.close	Sulje
filtersGuide.rule.new_client_days	Uusi ajan
filtersGuide.rule.active_within_days	Käynti viimeisten
filtersGuide.rule.vip_min_spent	Käytetty vähintään
filtersGuide.rule.vip_min_visits	tai käyntiä
filtersGuide.unit.days	päivää
filtersGuide.unit.money	
filtersGuide.unit.visits	käyntiä
toolbar.searchPlaceholder	Hae asiakasta…
toolbar.addClient	Lisää asiakas
table.visits	käyntiä
table.frozenBadge	❄ jäädytetty
table.totalSpent	Käytetty yhteensä
table.subscription	Jäsenyys
table.of	/
table.noSubscription	Ei jäsenyyttä
loadMore	Lataa lisää
loading	Ladataan…
panel.tabs.info	Profiili
panel.tabs.events	Tapahtumat
panel.tabs.notes	Muistiinpanot
panel.tabs.wallet	Ostokset
panel.actions.book	Varaa
panel.actions.bonus	Bonus
panel.editDateHint	Muokkaa napsauttamalla
panel.since	alkaen {{date}}
panel.contacts.title	Yhteystiedot
panel.contacts.phone	Puhelin
panel.contacts.email	Sähköposti
panel.contacts.telegram	Telegram
panel.contacts.birthDate	Syntymäaika
panel.contacts.city	Kaupunki
panel.contacts.copyHint	 · kopioi napsauttamalla
panel.debt	{{amount}} maksamatta tunneista — vastaanota maksu Päiväkirjassa
panel.stats.visits	Käynnit
