== hr
categories.all	Svi
categories.vip	VIP
categories.active	Aktivni
categories.new	Novi
categories.has_subscription	S pretplatom
categories.inactive	Neaktivni
categories.frozen	Zamrznuti
categories.birthday	Rođendan
categoriesInfo.all.text	Cijeli popis klijenata studija, bez primijenjenog filtra statusa.
categoriesInfo.vip.text	Uspješne uplate u ukupnom iznosu od 50 000+ ili 30+ posjeta. VIP se može ručno prikvačiti i na kartici klijenta; ručno prikvačivanje ostaje bez obzira na iznose.
categoriesInfo.active.text	Najmanje jedan posjet u posljednjih 60 dana. Temelji se na prisutnosti označenoj u dnevniku — status se ažurira sam i ne treba ga ručno postavljati.
categoriesInfo.new.text	Prvih 15 dana od datuma registracije, bilo da je klijent dodan ručno ili je došao putem online rezervacije. Šesnaestog dana automatski prelazi u Aktivne ili Neaktivne.
categoriesInfo.has_subscription.text	Ima važeću pretplatu: nije istekla, nije zamrznuta i ima preostalih termina. Ažurira se odmah pri kupnji, nakon svakog iskorištenog termina i pri isteku.
categoriesInfo.inactive.text	Nema posjeta u posljednjih 60 dana — ili nikada nije posjetio i prošlo je više od 15 dana od registracije.
categoriesInfo.frozen.text	Zamrznut putem gumba na kartici klijenta — jedini status koji se postavlja ručno. Nakon odmrzavanja klijent se vraća na automatski status.
categoriesInfo.birthday.text	Oni kojima je danas rođendan — dan i mjesec odgovaraju, godina se zanemaruje. Popis se automatski osvježava svaki dan.
status.active	Aktivan
status.vip	VIP
status.new	Novi
status.inactive	Neaktivan
status.frozen	Zamrznut
filtersGuide.trigger	O filtrima
filtersGuide.title	Filtri klijenata
filtersGuide.subtitle	Kako se izračunava svaka kategorija. Kliknite karticu za primjenu filtra ili promijenite prag — statusi se odmah ponovno izračunavaju.
filtersGuide.close	Zatvori
filtersGuide.rule.new_client_days	Novi tijekom
filtersGuide.rule.active_within_days	Posjet unutar
filtersGuide.rule.vip_min_spent	Potrošeno od
filtersGuide.rule.vip_min_visits	ili posjeta
filtersGuide.unit.days	dana
filtersGuide.unit.money	
filtersGuide.unit.visits	posjeta
toolbar.searchPlaceholder	Pretraži klijenta…
toolbar.addClient	Dodaj klijenta
table.visits	posjeta
table.frozenBadge	❄ zamrznut
table.totalSpent	Ukupno potrošeno
table.subscription	Pretplata
table.of	od
table.noSubscription	Bez pretplate
loadMore	Učitaj više
loading	Učitavanje…
panel.tabs.info	Profil
panel.tabs.events	Događaji
panel.tabs.notes	Bilješke
panel.tabs.wallet	Kupnje
panel.actions.book	Rezerviraj
panel.actions.bonus	Bonus
panel.editDateHint	Kliknite za uređivanje
panel.since	od {{date}}
