== ro
categories.all	Toți
categories.vip	VIP
categories.active	Activi
categories.new	Noi
categories.has_subscription	Cu abonament
categories.inactive	Inactivi
categories.frozen	Înghețați
categories.birthday	Zi de naștere
categoriesInfo.all.text	Lista completă de clienți a studioului, fără filtru de stare aplicat.
categoriesInfo.vip.text	Plăți reușite în valoare totală de 50.000+ sau 30+ vizite. VIP poate fi fixat și manual în fișa clientului; fixarea manuală se păstrează indiferent de sume.
categoriesInfo.active.text	Cel puțin o vizită în ultimele 60 de zile. Se bazează pe prezența marcată în jurnal — starea se actualizează singură, fără a fi setată manual.
categoriesInfo.new.text	Primele 15 zile de la data înregistrării, indiferent dacă clientul a fost adăugat manual sau a venit prin rezervare online. În ziua a 16-a trece automat la Activ sau Inactiv.
categoriesInfo.has_subscription.text	Are un abonament activ: neexpirat, neînghețat și cu ședințe rămase. Se actualizează imediat la cumpărare, după fiecare ședință utilizată și la expirare.
categoriesInfo.inactive.text	Nicio vizită în ultimele 60 de zile — sau nu a vizitat niciodată și au trecut mai mult de 15 zile de la înregistrare.
categoriesInfo.frozen.text	Înghețat cu butonul din fișa clientului — singura stare setată manual. După dezghețare, clientul revine la starea automată.
categoriesInfo.birthday.text	Cei care își serbează astăzi ziua de naștere — ziua și luna corespund, anul este ignorat. Lista se actualizează automat în fiecare zi.
status.active	Activ
status.vip	VIP
status.new	Nou
status.inactive	Inactiv
status.frozen	Înghețat
filtersGuide.trigger	Despre filtre
filtersGuide.title	Filtre de clienți
filtersGuide.subtitle	Cum se calculează fiecare categorie. Faceți clic pe un card pentru a aplica filtrul sau schimbați un prag — stările se recalculează imediat.
filtersGuide.close	Închide
filtersGuide.rule.new_client_days	Nou timp de
filtersGuide.rule.active_within_days	Vizită în ultimele
filtersGuide.rule.vip_min_spent	Cheltuit de la
filtersGuide.rule.vip_min_visits	sau vizite
filtersGuide.unit.days	zile
filtersGuide.unit.money	
filtersGuide.unit.visits	vizite
toolbar.searchPlaceholder	Caută client…
toolbar.addClient	Adaugă client
table.visits	vizite
table.frozenBadge	❄ înghețat
table.totalSpent	Total cheltuit
table.subscription	Abonament
table.of	din
table.noSubscription	Fără abonament
loadMore	Încarcă mai mult
loading	Se încarcă…
panel.tabs.info	Profil
panel.tabs.events	Evenimente
panel.tabs.notes	Note
panel.tabs.wallet	Cumpărături
panel.actions.book	Rezervă
panel.actions.bonus	Bonus
panel.editDateHint	Faceți clic pentru editare
panel.since	din {{date}}
panel.contacts.title	Contacte
panel.contacts.phone	Telefon
panel.contacts.email	E-mail
panel.contacts.telegram	Telegram
panel.contacts.birthDate	Data nașterii
panel.contacts.city	Oraș
panel.contacts.copyHint	 · faceți clic pentru copiere
panel.debt	{{amount}} neachitați pentru ședințe — acceptați plata în Jurnal
panel.stats.visits	Vizite
panel.stats.spent	Cheltuit
panel.stats.subscription	Abonament
panel.loyalty.points	puncte
panel.loyalty.level	nivelul {{tier}}
panel.loyalty.toNext	Până la următorul nivel: {{points}} puncte
panel.loyalty.multiplier	multiplicator de puncte ×{{value}}
panel.loyalty.worth	Valorează {{amount}} la plată
panel.loyalty.toNextLevel	Încă {{amount}} pentru a ajunge la {{level}}
panel.loyalty.pointValue	1 punct = {{amount}}
panel.loyalty.nextPointValue	la {{level}} — {{amount}}
panel.loyalty.noBonus	Acest nivel nu modifică valoarea punctelor
panel.referral.title	Invită un prieten
panel.referral.copy	Copiază
panel.abonement.title	Abonament
panel.abonement.lessons	{{remaining}}/{{total}} ședințe
panel.abonement.noSubscription	Niciun abonament activ
panel.abonement.noSubscriptionWarning	Clientul nu are abonament — oferiți-i unul
panel.abonement.lowWarning	Au rămas puține ședințe — oferiți o reînnoire
panel.abonement.finishedWarning	Nu au mai rămas ședințe — oferiți o reînnoire
panel.abonement.remind	Amintește clientului
