== sr
categories.all	Сви
categories.vip	VIP
categories.active	Активни
categories.new	Нови
categories.has_subscription	С претплатом
categories.inactive	Неактивни
categories.frozen	Замрзнути
categories.birthday	Рођендан
categoriesInfo.all.text	Цео списак клијената студија, без примењеног филтера статуса.
categoriesInfo.vip.text	Успешна плаћања у укупном износу од 50.000+ или 30+ посета. VIP се може ручно закачити и на картици клијента; ручно закачивање остаје без обзира на износе.
categoriesInfo.active.text	Најмање једна посета у последњих 60 дана. Заснива се на присуству означеном у дневнику — статус се сам ажурира и не треба га ручно подешавати.
categoriesInfo.new.text	Првих 15 дана од датума регистрације, без обзира на то да ли је клијент додат ручно или је дошао путем онлајн резервације. Шеснаестог дана аутоматски прелази у Активне или Неактивне.
categoriesInfo.has_subscription.text	Има важећу претплату: није истекла, није замрзнута и има преосталих термина. Ажурира се одмах при куповини, после сваког искоришћеног термина и при истеку.
categoriesInfo.inactive.text	Нема посета у последњих 60 дана — или никада није посетио и прошло је више од 15 дана од регистрације.
categoriesInfo.frozen.text	Замрзнут дугметом на картици клијента — једини статус који се поставља ручно. После одмрзавања клијент се враћа на аутоматски статус.
categoriesInfo.birthday.text	Они којима је данас рођендан — дан и месец се подударају, година се занемарује. Списак се аутоматски освежава сваког дана.
status.active	Активан
status.vip	VIP
status.new	Нов
status.inactive	Неактиван
status.frozen	Замрзнут
filtersGuide.trigger	О филтерима
filtersGuide.title	Филтери клијената
filtersGuide.subtitle	Како се израчунава свака категорија. Кликните на картицу да примените филтер или промените праг — статуси се одмах поново израчунавају.
filtersGuide.close	Затвори
filtersGuide.rule.new_client_days	Нов током
filtersGuide.rule.active_within_days	Посета у оквиру
filtersGuide.rule.vip_min_spent	Потрошено од
filtersGuide.rule.vip_min_visits	или посета
filtersGuide.unit.days	дана
filtersGuide.unit.money	
filtersGuide.unit.visits	посета
toolbar.searchPlaceholder	Претражи клијента…
toolbar.addClient	Додај клијента
table.visits	посета
table.frozenBadge	❄ замрзнут
table.totalSpent	Укупно потрошено
table.subscription	Претплата
table.of	од
table.noSubscription	Без претплате
loadMore	Учитај још
loading	Учитавање…
panel.tabs.info	Профил
panel.tabs.events	Догађаји
panel.tabs.notes	Белешке
panel.tabs.wallet	Куповине
panel.actions.book	Резервиши
panel.actions.bonus	Бонус
panel.editDateHint	Кликните за уређивање
panel.since	од {{date}}
panel.contacts.title	Контакти
panel.contacts.phone	Телефон
panel.contacts.email	Имејл
panel.contacts.telegram	Telegram
panel.contacts.birthDate	Датум рођења
panel.contacts.city	Град
panel.contacts.copyHint	 · кликните за копирање
panel.debt	{{amount}} неплаћено за термине — прихватите уплату у Дневнику
panel.stats.visits	Посете
panel.stats.spent	Потрошено
panel.stats.subscription	Претплата
panel.loyalty.points	поени
panel.loyalty.level	ниво {{tier}}
panel.loyalty.toNext	До следећег нивоа: {{points}} поена
panel.loyalty.multiplier	множилац поена ×{{value}}
panel.loyalty.worth	Вреди {{amount}} при наплати
panel.loyalty.toNextLevel	Још {{amount}} до {{level}}
panel.loyalty.pointValue	1 поен = {{amount}}
panel.loyalty.nextPointValue	на {{level}} — {{amount}}
panel.loyalty.noBonus	Овај ниво не мења вредност поена
panel.referral.title	Позови пријатеља
panel.referral.copy	Копирај
panel.abonement.title	Претплата
panel.abonement.lessons	{{remaining}}/{{total}} термина
panel.abonement.noSubscription	Нема активне претплате
panel.abonement.noSubscriptionWarning	Клијент нема претплату — понудите му је
panel.abonement.lowWarning	Остало је мало термина — понудите обнову
panel.abonement.finishedWarning	Нема преосталих термина — понудите обнову
panel.abonement.remind	Подсети клијента
panel.abonement.reminderSent	Подсетник је послат клијенту
panel.products.single	појединачно
panel.products.pending	на чекању
panel.products.frozen	замрзнуто
panel.products.until	Важи до {{date}}
panel.products.startsOnFirstVisit	Рок почиње првим термином
panel.wallet.buy	Купи
panel.wallet.active	Активни
panel.wallet.archived	Архивирани
panel.wallet.singles	Појединачне посете
panel.wallet.subscriptions	Претплате
panel.wallet.noSingles	Још нема појединачних посета
panel.wallet.emptyActive	Нема активних производа
panel.wallet.emptyArchived	Нема архивираних производа
panel.wallet.emptyCatalog	Овај студио још нема пакете претплате
panel.wallet.lessons	{{remaining}}/{{total}} термина
panel.wallet.lessonsCount_one	{{count}} термин
panel.wallet.lessonsCount_few	{{count}} термина
panel.wallet.lessonsCount_other	{{count}} термина
panel.wallet.perVisit	По појединачној посети
panel.wallet.until	до {{date}}
panel.wallet.frozenBadge	Замрзнуто
panel.wallet.loadFailed	Учитавање новчаника није успело
panel.wallet.back	← Назад
panel.wallet.catalogTitle	Каталог
panel.wallet.showAll	Сви
panel.wallet.posTitle	Наплата
panel.wallet.promoLabel	Промотивни код
panel.wallet.promoPlaceholder	Унесите промотивни код
panel.wallet.promoInvalid	Промотивни код није важећи
panel.wallet.useBonuses_one	Искористи бонусе ({{count}})
panel.wallet.useBonuses_few	Искористи бонусе ({{count}})
panel.wallet.useBonuses_other	Искористи бонусе ({{count}})
panel.wallet.useDeposit	Плати из депозита ({{amount}})
panel.wallet.certLabel	Код сертификата
panel.wallet.certPlaceholder	Унесите код сертификата
panel.wallet.certApplied	Сертификат
panel.wallet.depositApplied	Депозит
panel.wallet.base	Основна цена
panel.wallet.discount	Попуст
panel.wallet.bonuses	Бонуси
panel.wallet.bonusesSpent_one	Бонуси ({{count}} поен)
