== sq
banner.title	Privatësia juaj, zgjedhja juaj
banner.text	Velora ruan vetëm atë që i nevojitet për të funksionuar në shfletuesin tuaj: hyrjen, gjuhën dhe cilësimet e ndërfaqes. Me lejen tuaj do të aktivizojmë edhe hyrjen me Google — Google më pas vendos cookie-t e veta. Nuk përdorim analitikë apo reklama.
banner.policy	Politika e cookie-ve
actions.accept	Prano të gjitha
actions.reject	Refuzo të gjitha
actions.save	Ruaj zgjedhjen
actions.settings	Cilësimet
settings.title	Cilësimet e cookie-ve
settings.subtitle	Zbatohen për këtë shfletues. Mund t'i ndryshoni në çdo kohë.
settings.alwaysOn	Gjithmonë aktive
settings.necessary.title	Rreptësisht të nevojshme
settings.necessary.text	Ju mbajnë të identifikuar, kujtojnë gjuhën, temën dhe zgjedhjen tuaj këtu, si dhe mbrojnë pagesat dhe shërbimin nga keqpërdorimi. Velora nuk mund të funksionojë pa to.
settings.functional.title	Hyrje me Google
settings.functional.text	Ngarkon shërbimin e hyrjes së Google që të përdorni llogarinë tuaj Google. Google mund të vendosë cookie-t e veta dhe të mësojë se keni hapur faqen e hyrjes.
settings.none	Pa cookie për analitikë, reklama ose gjurmim — nuk i përdorim.
settings.decided	Zgjedhja juaj më {{date}}
settings.policy	Lista e plotë në Politikën e cookie-ve
google.button	Vazhdo me Google
google.notice	Klikimi aktivizon hyrjen me Google: shërbimi i Google ngarkohet dhe mund të vendosë cookie.
google.policy	Detaje
profile.button	Cilësimet e cookie-ve
== bg
banner.title	Вашата поверителност, вашият избор
banner.text	Velora съхранява само необходимото, за да работи в браузъра ви: входа, езика и настройките на интерфейса. С ваше разрешение ще включим и входа с Google — след това Google задава собствени бисквитки. Не използваме анализи или реклама.
banner.policy	Политика за бисквитките
actions.accept	Приемам всички
actions.reject	Отхвърлям всички
actions.save	Запазване на избора
actions.settings	Настройки
settings.title	Настройки на бисквитките
settings.subtitle	Важи за този браузър. Можете да го промените по всяко време.
settings.alwaysOn	Винаги включени
settings.necessary.title	Строго необходими
settings.necessary.text	Поддържат ви вписани, запомнят езика, темата и избора ви тук и защитават плащанията и услугата от злоупотреба. Velora не може да работи без тях.
settings.functional.title	Вход с Google
settings.functional.text	Зарежда услугата за вход на Google, за да използвате профила си в Google. Google може да зададе собствени бисквитки и да разбере, че сте отворили страницата за вход.
settings.none	Без бисквитки за анализи, реклама или проследяване — не ги използваме.
settings.decided	Вашият избор от {{date}}
