language	ai	billing	booking	catalog	clients	common	cookies	dashboard	finances	join	journal	landing	loyalty	menu	notifications	onboarding	profile	reports	settings	staff	present	verified
en	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	20	20
ru	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	20	20
sq	missing	missing	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	missing	valid	missing	valid	valid	missing	missing	valid	12	12
bg	missing	missing	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	missing	valid	missing	valid	valid	missing	missing	valid	12	12
hr	missing	missing	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	missing	valid	missing	valid	valid	missing	missing	valid	12	12
cs	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	20	20
da	missing	missing	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	missing	valid	missing	valid	valid	missing	missing	valid	12	12
fi	missing	missing	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	missing	valid	missing	valid	valid	missing	missing	valid	12	12
fr	missing	missing	valid	valid	valid	valid	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	valid	missing	missing	valid	14	14
de	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	20	20
el	missing	missing	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	missing	valid	missing	valid	valid	missing	missing	valid	12	12
hu	missing	missing	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	missing	valid	missing	valid	valid	missing	missing	valid	12	12
it	missing	missing	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	valid	missing	missing	valid	13	13
no	missing	missing	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	missing	valid	missing	valid	valid	missing	missing	valid	12	12
pl	missing	missing	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	missing	valid	missing	valid	valid	missing	missing	valid	12	12
pt	missing	missing	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	valid	missing	missing	valid	13	13
ro	missing	missing	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	missing	valid	missing	valid	valid	missing	missing	valid	12	12
sr	missing	missing	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	missing	valid	missing	valid	valid	missing	missing	valid	12	12
es	missing	missing	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	valid	missing	missing	valid	13	13
sv	missing	missing	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	missing	valid	missing	valid	valid	missing	missing	valid	12	12
tr	missing	missing	valid	valid	missing	valid	valid	valid	missing	valid	valid	valid	missing	valid	missing	valid	valid	missing	missing	valid	12	12
uk	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	valid	20	20
