== bg
tabs.accounts	Сметки
tabs.operations	Операции
tabs.salaries	Заплати
tabs.counterparties	Контрагенти
tabs.documents	Документи
tabs.onlinePayments	Онлайн плащания
tabs.paymentMethods	Начини на плащане
tabs.reports	Отчети
tabs.goals	Цели
common.save	Запази
common.cancel	Отказ
common.create	Създай
common.edit	Редактирай
common.delete	Изтрий
common.loading	Зареждане…
common.all	Всички
common.confirm	Потвърди
common.monthsShort.0	Яну
common.monthsShort.1	Фев
common.monthsShort.2	Мар
common.monthsShort.3	Апр
common.monthsShort.4	Май
common.monthsShort.5	Юни
common.monthsShort.6	Юли
common.monthsShort.7	Авг
common.monthsShort.8	Сеп
common.monthsShort.9	Окт
common.monthsShort.10	Ное
common.monthsShort.11	Дек
common.weekdaysShort.0	Пон
common.weekdaysShort.1	Вто
common.weekdaysShort.2	Сря
common.weekdaysShort.3	Чет
common.weekdaysShort.4	Пет
common.weekdaysShort.5	Съб
common.weekdaysShort.6	Нед
info.accounts	Сметките са касите на студиото, банковите сметки и онлайн приемането на плащания. Тук виждате всеки баланс и общия капитал.
info.operations	Операциите са всички приходи и разходи на студиото. Създаването на операция веднага променя баланса на свързаната сметка.
info.salaries	Заплатите се изчисляват според ставката на служителя (фиксирана, почасова или процентна) за избрания период.
info.counterparties	Контрагентите са организации и физически лица, с които студиото се разплаща: доставчици, наемодатели, партньори.
info.documents	Документите са договори, актове и фактури, свързани с контрагенти, или вътрешни документи.
info.onlinePayments	Онлайн плащания — свързване на Stripe за картови плащания. Сметката се създава за вашето студио, така че парите отиват директно при вас, без да минават през Velora.
info.paymentMethods	Начините на плащане показват как плащат клиентите в студиото и статистика за всеки от тях.
info.reports	Отчетите показват тенденциите на приходите, разходите и печалбата за избрания период.
info.goals	Финансовите цели са планът за спестявания на студиото с автоматично или ръчно проследяване на напредъка.
accounts.loading	Зареждане на сметки…
accounts.totalCapital	Общ капитал на студиото
accounts.donutTotal	{{symbol}} общо
accounts.todayChange	днес
accounts.system	СИСТЕМА
accounts.today	днес
accounts.editTitle	Редактиране на сметка
accounts.namePlaceholder	Име
accounts.balancePlaceholder	Баланс, {{symbol}}
accounts.types.cash	В брой
accounts.types.bank	Карта
accounts.types.online	Онлайн
accounts.typesShort.cash	В брой
accounts.typesShort.bank	Карта
accounts.typesShort.online	Онлайн
accounts.history	История
accounts.historyTitle	История: {{name}}
accounts.income30d	Приходи (30 д.)
accounts.expense30d	Разходи (30 д.)
accounts.samplePayment	Плащане за услуга
accounts.sampleTime	Днес, 14:32
accounts.openAllOperations	Отвори всички операции
accounts.newSavingsTitle	Нова спестовна сметка
accounts.createSavings	Създай спестовна сметка
accounts.deleteConfirmTitle	Да се изтрие ли тази сметка?
accounts.deleteConfirmText	Всички нейни средства ще бъдат изключени от общата статистика. Това действие не може да бъде отменено.
accounts.toasts.loadFailed	Сметките не можаха да се заредят
accounts.toasts.deleted	Сметката е изтрита
accounts.toasts.deleteFailed	Сметката не можа да се изтрие
accounts.toasts.saved	Настройките са запазени
accounts.toasts.saveFailed	Сметката не можа да се запази
accounts.toasts.created	Спестовната сметка е създадена
accounts.toasts.createFailed	Сметката не можа да се създаде
operations.income	Приход
operations.expense	Разход
operations.balance	Баланс
operations.searchPlaceholder	Търсене по заглавие и категория…
operations.close	Затвори
operations.operation	Операция
operations.export	Експортирай
operations.newOperationTitle	Нова операция
operations.titleLabel	Заглавие
operations.titlePlaceholder	Напр. Плащане за абонамент
operations.amountLabel	Сума, {{symbol}}
operations.dateLabel	Дата
operations.categoryLabel	Категория
operations.categoryPlaceholder	Категория
operations.accountLabel	Сметка
operations.noAccount	Без сметка
operations.methodLabel	Начин на плащане
operations.noMethod	Не е посочено
operations.counterpartyLabel	Контрагент
operations.noCounterparty	Без контрагент
operations.newCounterparty	+ Нов контрагент
operations.clientLabel	Клиент
operations.clientHint	Точките за лоялност и нивото ще бъдат начислени на клиента
operations.clientSearchPlaceholder	Започнете да въвеждате име…
operations.noClient	Без клиент
operations.editTitle	Редактиране на операция
operations.saving	Запазване…
operations.loading	Зареждане на операции…
operations.emptyTitle	Няма намерени операции
operations.emptyBody	Променете филтрите или създайте първата операция
operations.pending	Изчаква се
operations.detailAccount	Получаваща сметка
operations.detailCategory	Категория
operations.detailMethod	Начин на плащане
operations.detailCounterparty	Контрагент
operations.receipt	Касова бележка
operations.loadMore	Зареди още ({{count}})
operations.toasts.loadFailed	Операциите не можаха да се заредят
operations.toasts.loadMoreFailed	Не можаха да се заредят още операции
operations.toasts.deleted	Операцията е изтрита
operations.toasts.deleteFailed	Операцията не можа да се изтрие
operations.toasts.enterAmount	Въведете сума
operations.toasts.created	Операцията е създадена
operations.toasts.createFailed	Операцията не можа да се създаде
operations.toasts.updated	Операцията е актуализирана
operations.toasts.updateFailed	Операцията не можа да се запази
operations.toasts.exportFailed	Операциите не можаха да се експортират
operations.toasts.receiptDownloaded	Касовата бележка е изтеглена
operations.categoryPresets.in.0.value	Абонементы
operations.categoryPresets.in.0.label	Абонаменти
operations.categoryPresets.in.1.value	Услуги
operations.categoryPresets.in.1.label	Услуги
operations.categoryPresets.in.2.value	Сертификаты
operations.categoryPresets.in.2.label	Подаръчни сертификати
operations.categoryPresets.in.3.value	Депозит
operations.categoryPresets.in.3.label	Депозит
operations.categoryPresets.in.4.value	Прочее
operations.categoryPresets.in.4.label	Друго
operations.categoryPresets.out.0.value	Возвраты
