== el
tabs.accounts	Λογαριασμοί
tabs.operations	Συναλλαγές
tabs.salaries	Μισθοδοσία
tabs.counterparties	Αντισυμβαλλόμενοι
tabs.documents	Έγγραφα
tabs.onlinePayments	Ηλεκτρονικές πληρωμές
tabs.paymentMethods	Τρόποι πληρωμής
tabs.reports	Αναφορές
tabs.goals	Στόχοι
common.save	Αποθήκευση
common.cancel	Ακύρωση
common.create	Δημιουργία
common.edit	Επεξεργασία
common.delete	Διαγραφή
common.loading	Φόρτωση…
common.all	Όλα
common.confirm	Επιβεβαίωση
common.monthsShort.0	Ιαν
common.monthsShort.1	Φεβ
common.monthsShort.2	Μαρ
common.monthsShort.3	Απρ
common.monthsShort.4	Μάι
common.monthsShort.5	Ιουν
common.monthsShort.6	Ιουλ
common.monthsShort.7	Αυγ
common.monthsShort.8	Σεπ
common.monthsShort.9	Οκτ
common.monthsShort.10	Νοε
common.monthsShort.11	Δεκ
common.weekdaysShort.0	Δευ
common.weekdaysShort.1	Τρι
common.weekdaysShort.2	Τετ
common.weekdaysShort.3	Πεμ
common.weekdaysShort.4	Παρ
common.weekdaysShort.5	Σαβ
common.weekdaysShort.6	Κυρ
info.accounts	Οι λογαριασμοί είναι τα ταμεία, οι τραπεζικοί λογαριασμοί και η διαδικτυακή αποδοχή πληρωμών του στούντιο. Εδώ βλέπετε κάθε υπόλοιπο και το συνολικό κεφάλαιο.
info.operations	Οι συναλλαγές είναι όλα τα έσοδα και έξοδα του στούντιο. Η δημιουργία συναλλαγής μεταβάλλει αμέσως το υπόλοιπο του συνδεδεμένου λογαριασμού.
info.salaries	Οι μισθοί υπολογίζονται από την αμοιβή του μέλους της ομάδας (σταθερή, ωριαία ή ποσοστιαία) για την επιλεγμένη περίοδο.
info.counterparties	Οι αντισυμβαλλόμενοι είναι οργανισμοί και άτομα με τα οποία το στούντιο κάνει διακανονισμούς: προμηθευτές, εκμισθωτές, συνεργάτες.
info.documents	Τα έγγραφα είναι συμβάσεις, πράξεις και τιμολόγια συνδεδεμένα με αντισυμβαλλομένους ή εσωτερικά έγγραφα.
info.onlinePayments	Ηλεκτρονικές πληρωμές — συνδέστε το Stripe για πληρωμές με κάρτα. Ο λογαριασμός δημιουργείται για το στούντιό σας, ώστε τα χρήματα να πηγαίνουν απευθείας σε εσάς, χωρίς να περνούν από τη Velora.
info.paymentMethods	Οι τρόποι πληρωμής δείχνουν πώς πληρώνουν οι πελάτες στο στούντιο και στατιστικά για κάθε τρόπο.
info.reports	Οι αναφορές δείχνουν τάσεις εσόδων, εξόδων και κέρδους στην επιλεγμένη περίοδο.
info.goals	Οι οικονομικοί στόχοι είναι το πλάνο αποταμίευσης του στούντιο με αυτόματη ή χειροκίνητη παρακολούθηση προόδου.
accounts.loading	Φόρτωση λογαριασμών…
accounts.totalCapital	Συνολικό κεφάλαιο στούντιο
accounts.donutTotal	{{symbol}} σύνολο
accounts.todayChange	σήμερα
accounts.system	ΣΥΣΤΗΜΑ
accounts.today	σήμερα
accounts.editTitle	Επεξεργασία λογαριασμού
accounts.namePlaceholder	Όνομα
accounts.balancePlaceholder	Υπόλοιπο, {{symbol}}
accounts.types.cash	Μετρητά
accounts.types.bank	Κάρτα
accounts.types.online	Διαδικτυακά
accounts.typesShort.cash	Μετρητά
accounts.typesShort.bank	Κάρτα
accounts.typesShort.online	Διαδικτυακά
accounts.history	Ιστορικό
accounts.historyTitle	Ιστορικό: {{name}}
accounts.income30d	Έσοδα (30 ημ.)
accounts.expense30d	Έξοδα (30 ημ.)
accounts.samplePayment	Πληρωμή υπηρεσίας
accounts.sampleTime	Σήμερα, 14:32
accounts.openAllOperations	Άνοιγμα όλων των συναλλαγών
accounts.newSavingsTitle	Νέος λογαριασμός αποταμίευσης
accounts.createSavings	Δημιουργία λογαριασμού αποταμίευσης
accounts.deleteConfirmTitle	Διαγραφή αυτού του λογαριασμού;
accounts.deleteConfirmText	Όλα τα κεφάλαιά του θα εξαιρεθούν από τα συνολικά στατιστικά. Η ενέργεια δεν αναιρείται.
accounts.toasts.loadFailed	Αποτυχία φόρτωσης λογαριασμών
accounts.toasts.deleted	Ο λογαριασμός διαγράφηκε
accounts.toasts.deleteFailed	Αποτυχία διαγραφής λογαριασμού
