== es
tabs.accounts	Cuentas
tabs.operations	Operaciones
tabs.salaries	Nómina
tabs.counterparties	Contrapartes
tabs.documents	Documentos
tabs.onlinePayments	Pagos en línea
tabs.paymentMethods	Métodos de pago
tabs.reports	Informes
tabs.goals	Objetivos
common.save	Guardar
common.cancel	Cancelar
common.create	Crear
common.edit	Editar
common.delete	Eliminar
common.loading	Cargando…
common.all	Todos
common.confirm	Confirmar
common.monthsShort.0	ene.
common.monthsShort.1	feb.
common.monthsShort.2	mar.
common.monthsShort.3	abr.
common.monthsShort.4	may.
common.monthsShort.5	jun.
common.monthsShort.6	jul.
common.monthsShort.7	ag.
common.monthsShort.8	sept.
common.monthsShort.9	oct.
common.monthsShort.10	nov.
common.monthsShort.11	dic.
common.weekdaysShort.0	lun.
common.weekdaysShort.1	mar.
common.weekdaysShort.2	mié.
common.weekdaysShort.3	jue.
common.weekdaysShort.4	vie.
common.weekdaysShort.5	sáb.
common.weekdaysShort.6	dom.
info.accounts	Las cuentas son las cajas, cuentas bancarias y cobros en línea del estudio. Aquí puedes ver cada saldo y el capital total.
info.operations	Las operaciones son todos los ingresos y gastos del estudio. Al crear una operación, el saldo de la cuenta vinculada se actualiza de inmediato.
info.salaries	Las nóminas se calculan según la tarifa del miembro del equipo (fija, por hora o porcentual) para el periodo seleccionado.
info.counterparties	Las contrapartes son organizaciones y personas con las que el estudio liquida operaciones: proveedores, arrendadores y socios.
info.documents	Los documentos son contratos, actas y facturas vinculados a contrapartes, o documentos internos.
info.onlinePayments	Pagos en línea: conecta Stripe para recibir pagos con tarjeta. La cuenta se crea para tu estudio, por lo que el dinero llega directamente a ti sin pasar por Velora.
info.paymentMethods	Los métodos de pago muestran cómo pagan los clientes en el estudio y las estadísticas de cada método.
info.reports	Los informes muestran las tendencias de ingresos, gastos y beneficios durante el periodo seleccionado.
info.goals	Los objetivos financieros son el plan de ahorro del estudio, con seguimiento automático o manual del progreso.
accounts.loading	Cargando cuentas…
accounts.totalCapital	Capital total del estudio
accounts.donutTotal	Total {{symbol}}
accounts.todayChange	hoy
accounts.system	SISTEMA
accounts.today	hoy
accounts.editTitle	Editar cuenta
accounts.namePlaceholder	Nombre
accounts.balancePlaceholder	Saldo, {{symbol}}
accounts.types.cash	Efectivo
accounts.types.bank	Tarjeta
accounts.types.online	En línea
accounts.typesShort.cash	Efectivo
accounts.typesShort.bank	Tarjeta
accounts.typesShort.online	En línea
accounts.history	Historial
accounts.historyTitle	Historial: {{name}}
accounts.income30d	Ingresos (30 d)
accounts.expense30d	Gastos (30 d)
accounts.samplePayment	Pago de servicio
accounts.sampleTime	Hoy, 14:32
accounts.openAllOperations	Abrir todas las operaciones
accounts.newSavingsTitle	Nueva cuenta de ahorro
accounts.createSavings	Crear cuenta de ahorro
accounts.deleteConfirmTitle	¿Eliminar esta cuenta?
accounts.deleteConfirmText	Todos sus fondos quedarán excluidos de las estadísticas generales. Esta acción no se puede deshacer.
accounts.toasts.loadFailed	No se pudieron cargar las cuentas
accounts.toasts.deleted	Cuenta eliminada
accounts.toasts.deleteFailed	No se pudo eliminar la cuenta
accounts.toasts.saved	Ajustes guardados
accounts.toasts.saveFailed	No se pudo guardar la cuenta
accounts.toasts.created	Cuenta de ahorro creada
accounts.toasts.createFailed	No se pudo crear la cuenta
operations.income	Ingreso
operations.expense	Gasto
operations.balance	Saldo
operations.searchPlaceholder	Buscar por título y categoría…
operations.close	Cerrar
operations.operation	Operación
operations.export	Exportar
operations.newOperationTitle	Nueva operación
operations.titleLabel	Título
operations.titlePlaceholder	Por ejemplo, pago de suscripción
operations.amountLabel	Importe, {{symbol}}
operations.dateLabel	Fecha
operations.categoryLabel	Categoría
operations.categoryPlaceholder	Categoría
operations.accountLabel	Cuenta
operations.noAccount	Sin cuenta
operations.methodLabel	Método de pago
operations.noMethod	Sin especificar
operations.counterpartyLabel	Contraparte
operations.noCounterparty	Sin contraparte
operations.newCounterparty	+ Nueva contraparte
operations.clientLabel	Cliente
operations.clientHint	Los puntos y el nivel de fidelidad se asignarán al cliente
operations.clientSearchPlaceholder	Empieza a escribir un nombre…
operations.noClient	Sin cliente
operations.editTitle	Editar operación
operations.saving	Guardando…
operations.loading	Cargando operaciones…
