== fr
tabs.accounts	Comptes
tabs.operations	Opérations
tabs.salaries	Paie
tabs.counterparties	Parties prenantes
tabs.documents	Documents
tabs.onlinePayments	Paiements en ligne
tabs.paymentMethods	Modes de paiement
tabs.reports	Rapports
tabs.goals	Objectifs
common.save	Enregistrer
common.cancel	Annuler
common.create	Créer
common.edit	Modifier
common.delete	Supprimer
common.loading	Chargement…
common.all	Tous
common.confirm	Confirmer
common.monthsShort.0	Janv.
common.monthsShort.1	Févr.
common.monthsShort.2	Mars
common.monthsShort.3	Avr.
common.monthsShort.4	Mai
common.monthsShort.5	Juin
common.monthsShort.6	Juil.
common.monthsShort.7	Août
common.monthsShort.8	Sept.
common.monthsShort.9	Oct.
common.monthsShort.10	Nov.
common.monthsShort.11	Déc.
common.weekdaysShort.0	Lun.
common.weekdaysShort.1	Mar.
common.weekdaysShort.2	Mer.
common.weekdaysShort.3	Jeu.
common.weekdaysShort.4	Ven.
common.weekdaysShort.5	Sam.
common.weekdaysShort.6	Dim.
info.accounts	Les comptes sont les caisses, comptes bancaires et moyens d'encaissement en ligne du studio. Vous voyez ici chaque solde et le capital total.
info.operations	Les opérations regroupent tous les revenus et dépenses du studio. Créer une opération modifie immédiatement le solde du compte associé.
info.salaries	Les salaires sont calculés à partir du taux du membre de l'équipe (fixe, horaire ou pourcentage) pour la période choisie.
info.counterparties	Les parties prenantes sont les organisations et personnes avec lesquelles le studio règle ses comptes : fournisseurs, bailleurs, partenaires.
info.documents	Les documents sont des contrats, actes et factures liés à des parties prenantes, ou des documents internes.
info.onlinePayments	Paiements en ligne — connectez Stripe pour les paiements par carte. Le compte est créé pour votre studio : l'argent vous est versé directement, sans passer par Velora.
info.paymentMethods	Les modes de paiement indiquent comment les clients paient au studio et les statistiques de chaque mode.
info.reports	Les rapports présentent les tendances des revenus, dépenses et bénéfices sur la période sélectionnée.
info.goals	Les objectifs financiers constituent le plan d'épargne du studio, avec suivi automatique ou manuel de la progression.
accounts.loading	Chargement des comptes…
accounts.totalCapital	Capital total du studio
accounts.donutTotal	{{symbol}} au total
accounts.todayChange	aujourd'hui
accounts.system	SYSTÈME
accounts.today	aujourd'hui
accounts.editTitle	Modifier le compte
accounts.namePlaceholder	Nom
accounts.balancePlaceholder	Solde, {{symbol}}
accounts.types.cash	Espèces
accounts.types.bank	Carte
accounts.types.online	En ligne
accounts.typesShort.cash	Espèces
accounts.typesShort.bank	Carte
accounts.typesShort.online	En ligne
accounts.history	Historique
accounts.historyTitle	Historique : {{name}}
accounts.income30d	Revenus (30 j)
accounts.expense30d	Dépenses (30 j)
accounts.samplePayment	Paiement de service
accounts.sampleTime	Aujourd'hui, 14:32
accounts.openAllOperations	Ouvrir toutes les opérations
accounts.newSavingsTitle	Nouveau compte d'épargne
accounts.createSavings	Créer un compte d'épargne
accounts.deleteConfirmTitle	Supprimer ce compte ?
accounts.deleteConfirmText	Tous ses fonds seront exclus des statistiques globales. Cette action est irréversible.
accounts.toasts.loadFailed	Impossible de charger les comptes
accounts.toasts.deleted	Compte supprimé
accounts.toasts.deleteFailed	Impossible de supprimer le compte
accounts.toasts.saved	Paramètres enregistrés
accounts.toasts.saveFailed	Impossible d'enregistrer le compte
accounts.toasts.created	Compte d'épargne créé
accounts.toasts.createFailed	Impossible de créer le compte
operations.income	Revenu
operations.expense	Dépense
operations.balance	Solde
operations.searchPlaceholder	Rechercher par titre et catégorie…
operations.close	Fermer
operations.operation	Opération
operations.export	Exporter
operations.newOperationTitle	Nouvelle opération
operations.titleLabel	Titre
operations.titlePlaceholder	Ex. paiement d'abonnement
operations.amountLabel	Montant, {{symbol}}
operations.dateLabel	Date
operations.categoryLabel	Catégorie
operations.categoryPlaceholder	Catégorie
operations.accountLabel	Compte
operations.noAccount	Aucun compte
operations.methodLabel	Mode de paiement
operations.noMethod	Non précisé
operations.counterpartyLabel	Partie prenante
operations.noCounterparty	Aucune partie prenante
operations.newCounterparty	+ Nouvelle partie prenante
operations.clientLabel	Client
operations.clientHint	Les points de fidélité et le niveau seront crédités au client
operations.clientSearchPlaceholder	Commencez à saisir un nom…
operations.noClient	Aucun client
operations.editTitle	Modifier l'opération
operations.saving	Enregistrement…
operations.loading	Chargement des opérations…
operations.emptyTitle	Aucune opération trouvée
operations.emptyBody	Modifiez les filtres ou créez la première opération
operations.pending	En attente
operations.detailAccount	Compte destinataire
operations.detailCategory	Catégorie
operations.detailMethod	Mode de paiement
operations.detailCounterparty	Partie prenante
operations.receipt	Reçu
operations.loadMore	Charger plus ({{count}})
operations.toasts.loadFailed	Impossible de charger les opérations
operations.toasts.loadMoreFailed	Impossible de charger plus d'opérations
operations.toasts.deleted	Opération supprimée
operations.toasts.deleteFailed	Impossible de supprimer l'opération
operations.toasts.enterAmount	Saisissez un montant
operations.toasts.created	Opération créée
operations.toasts.createFailed	Impossible de créer l'opération
