== hu
tabs.accounts	Számlák
tabs.operations	Műveletek
tabs.salaries	Bérszámfejtés
tabs.counterparties	Partnerek
tabs.documents	Dokumentumok
tabs.onlinePayments	Online fizetések
tabs.paymentMethods	Fizetési módok
tabs.reports	Jelentések
tabs.goals	Célok
common.save	Mentés
common.cancel	Mégse
common.create	Létrehozás
common.edit	Szerkesztés
common.delete	Törlés
common.loading	Betöltés…
common.all	Összes
common.confirm	Megerősítés
common.monthsShort.0	Jan
common.monthsShort.1	Febr
common.monthsShort.2	Márc
common.monthsShort.3	Ápr
common.monthsShort.4	Máj
common.monthsShort.5	Jún
common.monthsShort.6	Júl
common.monthsShort.7	Aug
common.monthsShort.8	Szept
common.monthsShort.9	Okt
common.monthsShort.10	Nov
common.monthsShort.11	Dec
common.weekdaysShort.0	H
common.weekdaysShort.1	K
common.weekdaysShort.2	Sze
common.weekdaysShort.3	Cs
common.weekdaysShort.4	P
common.weekdaysShort.5	Szo
common.weekdaysShort.6	V
info.accounts	A számlák a stúdió pénztárai, bankszámlái és online fizetési fogadása. Itt látja az egyes egyenlegeket és a teljes tőkét.
info.operations	A műveletek a stúdió összes bevételét és kiadását jelentik. Egy művelet létrehozása azonnal módosítja a kapcsolt számla egyenlegét.
info.salaries	A bérek a munkatárs díjazása (fix, óradíjas vagy százalékos) alapján számítódnak a kiválasztott időszakra.
info.counterparties	A partnerek olyan szervezetek és magánszemélyek, akikkel a stúdió elszámol: beszállítók, bérbeadók, üzleti partnerek.
info.documents	A dokumentumok a partnerekhez kapcsolódó szerződések, bizonylatok és számlák, vagy belső dokumentumok.
info.onlinePayments	Online fizetések — csatlakoztassa a Stripe-ot kártyás fizetésekhez. A fiók a stúdiójához jön létre, így a pénz közvetlenül Önhöz érkezik, nem a Velorán keresztül.
info.paymentMethods	A fizetési módok megmutatják, hogyan fizetnek az ügyfelek a stúdióban, és az egyes módok statisztikáit.
info.reports	A jelentések a bevételek, kiadások és nyereség trendjeit mutatják a kiválasztott időszakban.
info.goals	A pénzügyi célok a stúdió megtakarítási terve automatikus vagy manuális haladáskövetéssel.
accounts.loading	Számlák betöltése…
accounts.totalCapital	Stúdió teljes tőkéje
accounts.donutTotal	{{symbol}} összesen
accounts.todayChange	ma
accounts.system	RENDSZER
accounts.today	ma
accounts.editTitle	Számla szerkesztése
accounts.namePlaceholder	Név
accounts.balancePlaceholder	Egyenleg, {{symbol}}
accounts.types.cash	Készpénz
accounts.types.bank	Kártya
accounts.types.online	Online
accounts.typesShort.cash	Készpénz
accounts.typesShort.bank	Kártya
accounts.typesShort.online	Online
accounts.history	Előzmények
accounts.historyTitle	Előzmények: {{name}}
accounts.income30d	Bevétel (30 n.)
accounts.expense30d	Kiadás (30 n.)
accounts.samplePayment	Szolgáltatási díj
accounts.sampleTime	Ma, 14:32
accounts.openAllOperations	Összes művelet megnyitása
accounts.newSavingsTitle	Új megtakarítási számla
accounts.createSavings	Megtakarítási számla létrehozása
accounts.deleteConfirmTitle	Törli ezt a számlát?
accounts.deleteConfirmText	Minden rajta lévő összeg kikerül az általános statisztikából. Ez a művelet nem vonható vissza.
accounts.toasts.loadFailed	A számlák betöltése sikertelen
