== no
tabs.accounts	Kontoer
tabs.operations	Transaksjoner
tabs.salaries	Lønn
tabs.counterparties	Motparter
tabs.documents	Dokumenter
tabs.onlinePayments	Nettbetalinger
tabs.paymentMethods	Betalingsmåter
tabs.reports	Rapporter
tabs.goals	Mål
common.save	Lagre
common.cancel	Avbryt
common.create	Opprett
common.edit	Rediger
common.delete	Slett
common.loading	Laster…
common.all	Alle
common.confirm	Bekreft
common.monthsShort.0	Jan
common.monthsShort.1	Feb
common.monthsShort.2	Mar
common.monthsShort.3	Apr
common.monthsShort.4	Mai
common.monthsShort.5	Jun
common.monthsShort.6	Jul
common.monthsShort.7	Aug
common.monthsShort.8	Sep
common.monthsShort.9	Okt
common.monthsShort.10	Nov
common.monthsShort.11	Des
common.weekdaysShort.0	Man
common.weekdaysShort.1	Tir
common.weekdaysShort.2	Ons
common.weekdaysShort.3	Tor
common.weekdaysShort.4	Fre
common.weekdaysShort.5	Lør
common.weekdaysShort.6	Søn
info.accounts	Kontoer er studioets kasser, bankkontoer og nettinnløsning. Her ser du hver saldo og den samlede kapitalen.
info.operations	Transaksjoner er alle studioets inntekter og utgifter. Når du oppretter en transaksjon, flyttes saldoen på den tilknyttede kontoen umiddelbart.
info.salaries	Lønn beregnes fra den ansattes sats (fast, time- eller prosentbasert) for den valgte perioden.
info.counterparties	Motparter er organisasjoner og enkeltpersoner studioet gjør opp med: leverandører, utleiere og partnere.
info.documents	Dokumenter er kontrakter, akter og fakturaer knyttet til motparter, eller interne dokumenter.
info.onlinePayments	Nettbetalinger — koble til Stripe for kortbetalinger. Kontoen opprettes for studioet ditt, slik at pengene går direkte til deg uten å gå via Velora.
info.paymentMethods	Betalingsmåter viser hvordan kunder betaler i studioet og statistikk for hver metode.
info.reports	Rapporter viser trender for inntekt, utgift og fortjeneste i den valgte perioden.
info.goals	Økonomiske mål er studioets spareplan med automatisk eller manuell oppfølging av fremdrift.
accounts.loading	Laster kontoer…
accounts.totalCapital	Studioets samlede kapital
accounts.donutTotal	{{symbol}} totalt
accounts.todayChange	i dag
accounts.system	SYSTEM
accounts.today	i dag
accounts.editTitle	Rediger konto
accounts.namePlaceholder	Navn
accounts.balancePlaceholder	Saldo, {{symbol}}
accounts.types.cash	Kontanter
accounts.types.bank	Kort
accounts.types.online	På nett
accounts.typesShort.cash	Kontanter
accounts.typesShort.bank	Kort
accounts.typesShort.online	På nett
accounts.history	Historikk
accounts.historyTitle	Historikk: {{name}}
accounts.income30d	Inntekt (30 d)
accounts.expense30d	Utgifter (30 d)
accounts.samplePayment	Betaling for tjeneste
accounts.sampleTime	I dag, 14:32
accounts.openAllOperations	Åpne alle transaksjoner
accounts.newSavingsTitle	Ny sparekonto
accounts.createSavings	Opprett sparekonto
accounts.deleteConfirmTitle	Slette denne kontoen?
accounts.deleteConfirmText	Alle midlene på den blir utelatt fra den samlede statistikken. Handlingen kan ikke angres.
accounts.toasts.loadFailed	Kunne ikke laste kontoer
accounts.toasts.deleted	Konto slettet
accounts.toasts.deleteFailed	Kunne ikke slette konto
accounts.toasts.saved	Innstillingene er lagret
accounts.toasts.saveFailed	Kunne ikke lagre konto
accounts.toasts.created	Sparekonto opprettet
accounts.toasts.createFailed	Kunne ikke opprette konto
operations.income	Inntekt
operations.expense	Utgift
operations.balance	Saldo
operations.searchPlaceholder	Søk etter tittel og kategori…
operations.close	Lukk
operations.operation	Transaksjon
operations.export	Eksporter
operations.newOperationTitle	Ny transaksjon
operations.titleLabel	Tittel
operations.titlePlaceholder	F.eks. abonnementsbetaling
operations.amountLabel	Beløp, {{symbol}}
operations.dateLabel	Dato
operations.categoryLabel	Kategori
operations.categoryPlaceholder	Kategori
operations.accountLabel	Konto
operations.noAccount	Ingen konto
operations.methodLabel	Betalingsmåte
operations.noMethod	Ikke angitt
operations.counterpartyLabel	Motpart
operations.noCounterparty	Ingen motpart
operations.newCounterparty	+ Ny motpart
operations.clientLabel	Kunde
operations.clientHint	Lojalitetspoeng og nivå blir kreditert kunden
operations.clientSearchPlaceholder	Begynn å skrive et navn…
operations.noClient	Ingen kunde
operations.editTitle	Rediger transaksjon
operations.saving	Lagrer…
operations.loading	Laster transaksjoner…
operations.emptyTitle	Ingen transaksjoner funnet
operations.emptyBody	Endre filtrene eller opprett den første transaksjonen
operations.pending	Avventer
operations.detailAccount	Mottakende konto
operations.detailCategory	Kategori
operations.detailMethod	Betalingsmåte
operations.detailCounterparty	Motpart
operations.receipt	Kvittering
operations.loadMore	Last inn mer ({{count}})
operations.toasts.loadFailed	Kunne ikke laste transaksjoner
operations.toasts.loadMoreFailed	Kunne ikke laste flere transaksjoner
operations.toasts.deleted	Transaksjonen er slettet
operations.toasts.deleteFailed	Kunne ikke slette transaksjonen
operations.toasts.enterAmount	Oppgi et beløp
operations.toasts.created	Transaksjonen er opprettet
operations.toasts.createFailed	Kunne ikke opprette transaksjonen
operations.toasts.updated	Transaksjonen er oppdatert
operations.toasts.updateFailed	Kunne ikke lagre transaksjonen
operations.toasts.exportFailed	Kunne ikke eksportere transaksjoner
operations.toasts.receiptDownloaded	Kvittering lastet ned
operations.categoryPresets.in.0.value	Medlemskap
operations.categoryPresets.in.0.label	Medlemskap
operations.categoryPresets.in.1.value	Tjenester
operations.categoryPresets.in.1.label	Tjenester
operations.categoryPresets.in.2.value	Gavekort
operations.categoryPresets.in.2.label	Gavekort
operations.categoryPresets.in.3.value	Innskudd
operations.categoryPresets.in.3.label	Innskudd
operations.categoryPresets.in.4.value	Annet
operations.categoryPresets.in.4.label	Annet
operations.categoryPresets.out.0.value	Refusjoner
