== sr
tabs.accounts	Рачуни
tabs.operations	Операције
tabs.salaries	Зараде
tabs.counterparties	Уговорне стране
tabs.documents	Документи
tabs.onlinePayments	Онлајн плаћања
tabs.paymentMethods	Начини плаћања
tabs.reports	Извештаји
tabs.goals	Циљеви
common.save	Сачувај
common.cancel	Откажи
common.create	Креирај
common.edit	Измени
common.delete	Обриши
common.loading	Учитавање…
common.all	Све
common.confirm	Потврди
common.monthsShort.0	јан
common.monthsShort.1	феб
common.monthsShort.2	мар
common.monthsShort.3	апр
common.monthsShort.4	мај
common.monthsShort.5	јун
common.monthsShort.6	јул
common.monthsShort.7	авг
common.monthsShort.8	сеп
common.monthsShort.9	окт
common.monthsShort.10	нов
common.monthsShort.11	дец
common.weekdaysShort.0	пон
common.weekdaysShort.1	уто
common.weekdaysShort.2	сре
common.weekdaysShort.3	чет
common.weekdaysShort.4	пет
common.weekdaysShort.5	суб
common.weekdaysShort.6	нед
info.accounts	Рачуни су касе студија, банковни рачуни и онлајн наплата. Овде видите свако стање и укупан капитал.
info.operations	Операције су сви приходи и расходи студија. Креирање операције одмах мења стање повезаног рачуна.
info.salaries	Зараде се израчунавају по тарифи члана тима (фиксној, сатној или процентуалној) за изабрани период.
info.counterparties	Уговорне стране су организације и појединци са којима студио послује: добављачи, закуподавци, партнери.
info.documents	Документи су уговори, акти и фактуре повезани са уговорним странама, као и интерни документи.
info.onlinePayments	Онлајн плаћања — повежите Stripe за плаћања картицом. Рачун се отвара за ваш студио, па новац иде директно вама, без Velora-е као посредника.
info.paymentMethods	Начини плаћања показују како клијенти плаћају у студију и статистику за сваки начин.
info.reports	Извештаји показују кретања прихода, расхода и профита у изабраном периоду.
info.goals	Финансијски циљеви су план штедње студија са аутоматским или ручним праћењем напретка.
accounts.loading	Учитавање рачуна…
accounts.totalCapital	Укупан капитал студија
accounts.donutTotal	Укупно {{symbol}}
accounts.todayChange	данас
accounts.system	СИСТЕМ
accounts.today	данас
accounts.editTitle	Измени рачун
accounts.namePlaceholder	Назив
accounts.balancePlaceholder	Стање, {{symbol}}
accounts.types.cash	Готовина
accounts.types.bank	Картица
accounts.types.online	Онлајн
accounts.typesShort.cash	Готовина
accounts.typesShort.bank	Картица
accounts.typesShort.online	Онлајн
accounts.history	Историја
accounts.historyTitle	Историја: {{name}}
accounts.income30d	Приход (30 д.)
