== sv
tabs.accounts	Konton
tabs.operations	Transaktioner
tabs.salaries	Löner
tabs.counterparties	Motparter
tabs.documents	Dokument
tabs.onlinePayments	Onlinebetalningar
tabs.paymentMethods	Betalningsmetoder
tabs.reports	Rapporter
tabs.goals	Mål
common.save	Spara
common.cancel	Avbryt
common.create	Skapa
common.edit	Redigera
common.delete	Radera
common.loading	Laddar…
common.all	Alla
common.confirm	Bekräfta
common.monthsShort.0	jan
common.monthsShort.1	feb
common.monthsShort.2	mar
common.monthsShort.3	apr
common.monthsShort.4	maj
common.monthsShort.5	jun
common.monthsShort.6	jul
common.monthsShort.7	aug
common.monthsShort.8	sep
common.monthsShort.9	okt
common.monthsShort.10	nov
common.monthsShort.11	dec
common.weekdaysShort.0	mån
common.weekdaysShort.1	tis
common.weekdaysShort.2	ons
common.weekdaysShort.3	tors
common.weekdaysShort.4	fre
common.weekdaysShort.5	lör
common.weekdaysShort.6	sön
info.accounts	Konton är studions kassor, bankkonton och onlineinlösen. Här ser du varje saldo och det totala kapitalet.
info.operations	Transaktioner är studions alla intäkter och utgifter. När du skapar en transaktion ändras saldot på det kopplade kontot direkt.
info.salaries	Löner beräknas utifrån teammedlemmens ersättning (fast, per timme eller procent) för den valda perioden.
info.counterparties	Motparter är organisationer och personer som studion gör upp med: leverantörer, hyresvärdar och partners.
info.documents	Dokument är avtal, handlingar och fakturor som är kopplade till motparter, eller interna dokument.
info.onlinePayments	Onlinebetalningar — anslut Stripe för kortbetalningar. Kontot skapas för din studio, så pengarna går direkt till dig utan att passera Velora.
info.paymentMethods	Betalningsmetoder visar hur kunder betalar i studion och statistik för varje metod.
info.reports	Rapporter visar trender för intäkter, utgifter och vinst under den valda perioden.
info.goals	Finansiella mål är studions sparplan med automatisk eller manuell uppföljning av framstegen.
accounts.loading	Laddar konton…
accounts.totalCapital	Studions totala kapital
accounts.donutTotal	Totalt {{symbol}}
accounts.todayChange	idag
accounts.system	SYSTEM
accounts.today	idag
accounts.editTitle	Redigera konto
accounts.namePlaceholder	Namn
accounts.balancePlaceholder	Saldo, {{symbol}}
accounts.types.cash	Kontanter
accounts.types.bank	Kort
accounts.types.online	Online
accounts.typesShort.cash	Kontanter
accounts.typesShort.bank	Kort
accounts.typesShort.online	Online
accounts.history	Historik
accounts.historyTitle	Historik: {{name}}
accounts.income30d	Intäkter (30 d)
accounts.expense30d	Utgifter (30 d)
accounts.samplePayment	Betalning för tjänst
accounts.sampleTime	Idag, 14:32
accounts.openAllOperations	Öppna alla transaktioner
accounts.newSavingsTitle	Nytt sparkonto
accounts.createSavings	Skapa sparkonto
accounts.deleteConfirmTitle	Radera detta konto?
accounts.deleteConfirmText	Alla dess medel tas bort från den övergripande statistiken. Åtgärden kan inte ångras.
accounts.toasts.loadFailed	Det gick inte att läsa in konton
accounts.toasts.deleted	Kontot har raderats
accounts.toasts.deleteFailed	Det gick inte att radera kontot
accounts.toasts.saved	Inställningarna har sparats
accounts.toasts.saveFailed	Det gick inte att spara kontot
accounts.toasts.created	Sparkontot har skapats
accounts.toasts.createFailed	Det gick inte att skapa kontot
operations.income	Intäkt
operations.expense	Utgift
operations.balance	Saldo
operations.searchPlaceholder	Sök efter titel och kategori…
operations.close	Stäng
operations.operation	Transaktion
operations.export	Exportera
operations.newOperationTitle	Ny transaktion
operations.titleLabel	Titel
operations.titlePlaceholder	Till exempel, prenumerationsbetalning
operations.amountLabel	Belopp, {{symbol}}
operations.dateLabel	Datum
operations.categoryLabel	Kategori
operations.categoryPlaceholder	Kategori
operations.accountLabel	Konto
operations.noAccount	Inget konto
operations.methodLabel	Betalningsmetod
operations.noMethod	Ej angivet
operations.counterpartyLabel	Motpart
operations.noCounterparty	Ingen motpart
