== bg
nav.product	Продукт
nav.modules	Модули
nav.pricing	Цени
nav.faq	Често задавани въпроси
nav.login	Вход
nav.startShort	Започнете
nav.startFull	Започнете безплатно
nav.language	Език
hero.badge	Новият CRM стандарт за 2026 г.
hero.title	CRM, който ще\n*обичате* да използвате
hero.lead	Премиум B2B CRM за йога и пилатес студиа. Резервации, клиенти, екип и финанси на едно място. Без излишни кликове и объркване.
hero.cta	Опитайте безплатно 30 дни
hero.perks.0	30 дни безплатно
hero.perks.1	Без карта
hero.perks.2	Отказ с един клик
marquee.0	График
marquee.1	Клиенти
marquee.2	Абонаменти
marquee.3	Онлайн резервации
marquee.4	Финанси
marquee.5	Заплати
marquee.6	Известия
marquee.7	Лоялност
marquee.8	Отчети
marquee.9	Velora AI
marquee.10	Клиентско приложение
marquee.11	Роли и достъп
stats.items.0.value	30 дни
stats.items.0.label	Безплатно, без карта
stats.items.1.value	16
stats.items.1.label	модула във всеки план
stats.items.2.value	4
stats.items.2.label	канала за онлайн резервации
stats.items.3.value	от 15 €
stats.items.3.label	на месец за студио
stats.trust.0	Данните ви остават ваши
stats.trust.1	Ролите важат и на сървъра
stats.trust.2	CSV експорт по всяко време
stats.trust.3	Изтриване при поискване
compare.label	разликата
compare.title	Премахнахме това,\nкоето ви пречи
compare.lead	Velora се роди от собствения ни опит: управлявахме студиа и всеки ден се сблъсквахме със същата пречка — CRM, в който трябват девет клика, за да запишете клиент. Ето какво се промени.
compare.usual	Обичайният начин
compare.velora	Във Velora
compare.pairs.0.bad	За да запишете клиент, напускате графика за друг екран и после се връщате
compare.pairs.0.good	Резервациите и новите клиенти се създават директно в графика
compare.pairs.1.bad	Отчетите се експортират в Excel и се сверяват на ръка
compare.pairs.1.good	Отчети на живо по треньор и услуга с експорт за всеки период
compare.pairs.2.bad	Известията са отделна услуга, за която плащате допълнително
compare.pairs.2.good	Telegram, имейл и WhatsApp са вградени с матрица събитие × канал
compare.pairs.3.bad	Треньорът може да вижда графика и клиентската база на всички останали
compare.pairs.3.good	Ролите ограничават достъпа и в интерфейса, и на сървъра
compare.pairs.4.bad	Асистент? В най-добрия случай — търсене на клиент
compare.pairs.4.good	Velora AI отговаря на въпроси за вашия бизнес — и на въпросите на клиентите ви в Telegram и Instagram
showcase.label	всичко на едно място
showcase.title	Една платформа вместо\nдесетки услуги
showcase.lead	Резервации, клиенти, пари, комуникация и AI в един интерфейс. Няма нито един излишен модул: всеки екран решава реален проблем на собственика.
showcase.blocks.journal.title	Вашият график
showcase.blocks.journal.lead	Дневна мрежа, където треньорите са колони, а часовете са редове. Всичко, което прави администраторът, се случва тук.
showcase.blocks.journal.points.0	Плъзнете час към друго време — или към друг треньор
showcase.blocks.journal.points.1	Създавайте нови часове и клиенти, без да напускате графика
showcase.blocks.journal.points.2	Обобщението за деня е до вас: заетост на залите и приходи
showcase.blocks.booking.title	Вашите онлайн резервации
showcase.blocks.booking.lead	Четири канала, в които клиентите се записват сами, по всяко време и без администратор.
showcase.blocks.booking.points.0	Уеб уиджет, Telegram, WhatsApp и Instagram — всеки се настройва отделно
showcase.blocks.booking.points.1	Правила: колко часа преди началото се затваря записването и до кога клиентът може да отмени
showcase.blocks.booking.points.2	Брандиране на клиентското приложение с преглед на живо — цвят и език според марката ви
showcase.blocks.finance.title	Вашите финанси
showcase.blocks.finance.lead	Сметки, транзакции, заплати и документи на едно място, без експорт в електронни таблици.
showcase.blocks.finance.points.0	Каса, банкова сметка и картови плащания със салда и дневни движения
showcase.blocks.finance.points.1	Абонаменти, подаръчни карти и възстановявания, свързани с клиент и сметка
showcase.blocks.finance.points.2	Заплати на треньорите, изчислени по вашите правила
showcase.blocks.notify.title	Вашите известия
showcase.blocks.notify.lead	Три канала за доставка и матрица, в която решавате какво къде се изпраща.
showcase.blocks.notify.points.0	Telegram, имейл и WhatsApp — всеки свързан със собствения ключ на студиото
showcase.blocks.notify.points.1	Отделен набор от събития за клиент, треньор, администратор и собственик
showcase.blocks.notify.points.2	Напомняния 24 и 2 часа преди това, „остават 1–2 занятия“, рождени дни и молби за отзив
showcase.blocks.ai.title	Вашият AI слой
showcase.blocks.ai.lead	Асистентът познава контекста на бизнеса и е на всяка страница — агентите отговарят сами на клиентите.
