== da
nav.product	Produkt
nav.modules	Moduler
nav.pricing	Priser
nav.faq	FAQ
nav.login	Log ind
nav.startShort	Start
nav.startFull	Start gratis
nav.language	Sprog
hero.badge	Den nye CRM-standard i 2026
hero.title	Et CRM, du vil\n*elske* at bruge
hero.lead	Et premium B2B-CRM til yoga- og pilatesstudier. Bookinger, kunder, team og økonomi ét sted. Ingen ekstra klik, intet besvær.
hero.cta	Prøv gratis i 30 dage
hero.perks.0	30 dage gratis
hero.perks.1	Intet betalingskort
hero.perks.2	Annuller med ét klik
marquee.0	Kalender
marquee.1	Kunder
marquee.2	Medlemskaber
marquee.3	Onlinebooking
marquee.4	Økonomi
marquee.5	Løn
marquee.6	Notifikationer
marquee.7	Loyalitet
marquee.8	Rapporter
marquee.9	Velora AI
marquee.10	Kundeapp
marquee.11	Roller og adgang
stats.items.0.value	30 dage
stats.items.0.label	Gratis, intet kort nødvendigt
stats.items.1.value	16
stats.items.1.label	Moduler i alle planer
stats.items.2.value	4
stats.items.2.label	Onlinebookingkanaler
stats.items.3.value	fra 15 €
stats.items.3.label	Pr. måned, pr. studie
stats.trust.0	Dine data forbliver dine
stats.trust.1	Roller håndhæves på serveren
stats.trust.2	CSV-eksport når som helst
stats.trust.3	Sletning efter anmodning
compare.label	forskellen
compare.title	Vi fjernede det,\nder stod i vejen
compare.lead	Velora udsprang af vores egne erfaringer: Vi drev studier og ramte hver dag den samme mur — et CRM, hvor én kundebooking kostede ni klik. Her er, hvad der ændrede sig.
compare.usual	Den sædvanlige måde
compare.velora	I Velora
compare.pairs.0.bad	For at booke en kunde forlader du kalenderen, åbner en anden skærm og går tilbage igen
compare.pairs.0.good	Bookinger og nye kunder oprettes direkte i kalenderen
compare.pairs.1.bad	Rapporter eksporteres til Excel og afstemmes manuelt
compare.pairs.1.good	Live-rapporter pr. træner og tjeneste med eksport for enhver periode
compare.pairs.2.bad	Notifikationer er en separat tjeneste, du betaler for særskilt
compare.pairs.2.good	Telegram, e-mail og WhatsApp er indbygget med en hændelse × kanal-matrix
compare.pairs.3.bad	En træner kan se alle andres kalender og kundegrundlag
compare.pairs.3.good	Roller begrænser adgangen både i brugerfladen og på serveren
compare.pairs.4.bad	En assistent? Højst en kundesøgning
compare.pairs.4.good	Velora AI besvarer spørgsmål om din virksomhed — og svarer dine kunder på Telegram og Instagram
showcase.label	alt i ét
showcase.title	Én platform i stedet\nfor et dusin tjenester
