== hr
nav.product	Proizvod
nav.modules	Moduli
nav.pricing	Cijene
nav.faq	Česta pitanja
nav.login	Prijavite se
nav.startShort	Počnite
nav.startFull	Počnite besplatno
nav.language	Jezik
hero.badge	Novi CRM standard za 2026.
hero.title	CRM koji ćete\\n*voljeti* koristiti
hero.lead	Premium B2B CRM za studije joge i pilatesa. Rezervacije, klijenti, tim i financije na jednom mjestu. Bez dodatnih klikova i zbrke.
hero.cta	Isprobajte besplatno 30 dana
hero.perks.0	30 dana besplatno
hero.perks.1	Kartica nije potrebna
hero.perks.2	Otkažite jednim klikom
marquee.0	Raspored
marquee.1	Klijenti
marquee.2	Članarine
marquee.3	Online rezervacije
marquee.4	Financije
marquee.5	Plaće
marquee.6	Obavijesti
marquee.7	Lojalnost
marquee.8	Izvještaji
marquee.9	Velora AI
marquee.10	Aplikacija za klijente
marquee.11	Uloge i pristup
stats.items.0.value	30 dana
stats.items.0.label	Besplatno, bez kartice
stats.items.1.value	16
stats.items.1.label	modula u svakom planu
stats.items.2.value	4
stats.items.2.label	kanala za online rezervacije
stats.items.3.value	od 15 €
stats.items.3.label	mjesečno po studiju
stats.trust.0	Vaši podaci ostaju vaši
stats.trust.1	Uloge se primjenjuju i na poslužitelju
stats.trust.2	CSV izvoz u svakom trenutku
stats.trust.3	Brisanje na zahtjev
compare.label	razlika
compare.title	Uklonili smo ono\\nšto vam stoji na putu
compare.lead	Velora je nastala iz vlastitog iskustva: vodili smo studije i svaki dan nailazili na isti zid — CRM u kojem je potrebno devet klikova za rezervaciju klijenta. Evo što se promijenilo.
compare.usual	Uobičajeni način
compare.velora	U Velori
compare.pairs.0.bad	Da biste rezervirali klijenta, napuštate raspored, odlazite u drugi prikaz i zatim se vraćate
compare.pairs.0.good	Rezervacije i novi klijenti stvaraju se izravno u rasporedu
compare.pairs.1.bad	Izvještaji se izvoze u Excel i ručno usklađuju
compare.pairs.1.good	Izvještaji uživo po treneru i usluzi, s izvozom za bilo koje razdoblje
compare.pairs.2.bad	Obavijesti su zasebna usluga koju posebno plaćate
compare.pairs.2.good	Telegram, e-pošta i WhatsApp ugrađeni su s matricom događaj × kanal
compare.pairs.3.bad	Trener može vidjeti raspored i bazu klijenata svih ostalih
compare.pairs.3.good	Uloge ograničavaju pristup i u sučelju i na poslužitelju
compare.pairs.4.bad	Asistent? U najboljem slučaju pretraga klijenta
compare.pairs.4.good	Velora AI odgovara na pitanja o vašem poslovanju — i na pitanja vaših klijenata u Telegramu i Instagramu
showcase.label	sve na jednom mjestu
showcase.title	Jedna platforma umjesto\\ndesetaka usluga
showcase.lead	Rezervacije, klijenti, novac, komunikacija i AI u jednom sučelju. Nijedan suvišan modul: svaki prikaz rješava stvaran problem vlasnika.
showcase.blocks.journal.title	Vaš raspored
showcase.blocks.journal.lead	Dnevna mreža u kojoj su treneri stupci, a sati redovi. Ovdje se događa sve što administrator radi.
showcase.blocks.journal.points.0	Povucite sat na drugo vrijeme — ili drugom treneru
showcase.blocks.journal.points.1	Stvarajte nove satove i klijente bez napuštanja rasporeda
showcase.blocks.journal.points.2	Sažetak dana je uz vas: popunjenost dvorana i prihodi
showcase.blocks.booking.title	Vaše online rezervacije
showcase.blocks.booking.lead	Četiri kanala na kojima klijenti sami rezerviraju, u svako doba i bez administratora.
showcase.blocks.booking.points.0	Web widget, Telegram, WhatsApp i Instagram — svaki se podešava zasebno
showcase.blocks.booking.points.1	Pravila: koliko sati prije početka se zatvara rezervacija i do kada klijent može otkazati
showcase.blocks.booking.points.2	Brendiranje aplikacije za klijente s pregledom uživo — boja i jezik prema vašem brendu
showcase.blocks.finance.title	Vaše financije
showcase.blocks.finance.lead	Računi, transakcije, plaće i dokumenti na jednom mjestu, bez izvoza u proračunske tablice.
showcase.blocks.finance.points.0	Blagajna, bankovni račun i kartična naplata sa stanjima i dnevnim promjenama
showcase.blocks.finance.points.1	Članarine, poklon-kartice i povrati povezani s klijentom i računom
showcase.blocks.finance.points.2	Plaće trenera izračunate prema vašim pravilima
showcase.blocks.notify.title	Vaše obavijesti
showcase.blocks.notify.lead	Tri kanala dostave i matrica u kojoj odlučujete što se šalje i kamo.
showcase.blocks.notify.points.0	Telegram, e-pošta i WhatsApp — svaki povezan vlastitim ključem studija
showcase.blocks.notify.points.1	Zaseban skup događaja za klijenta, trenera, administratora i vlasnika
showcase.blocks.notify.points.2	Podsjetnici 24 i 2 sata prije, „ostala su 1–2 sata“, rođendani i zahtjevi za recenziju
