== ro
nav.product	Produs
nav.modules	Module
nav.pricing	Prețuri
nav.faq	Întrebări frecvente
nav.login	Conectare
nav.startShort	Începeți
nav.startFull	Începeți gratuit
nav.language	Limbă
hero.badge	Noul standard CRM al anului 2026
hero.title	Un CRM pe care\\n*veți iubi* să-l folosiți
hero.lead	CRM B2B premium pentru studiouri de yoga și pilates. Programări, clienți, echipă și finanțe într-un singur loc. Fără clicuri în plus, fără confuzie.
hero.cta	Încercați gratuit 30 de zile
hero.perks.0	30 de zile gratuite
hero.perks.1	Fără card
hero.perks.2	Anulați cu un clic
marquee.0	Program
marquee.1	Clienți
marquee.2	Abonamente
marquee.3	Programări online
marquee.4	Finanțe
marquee.5	Salarii
marquee.6	Notificări
marquee.7	Fidelizare
marquee.8	Rapoarte
marquee.9	Velora AI
marquee.10	Aplicație client
marquee.11	Roluri și acces
stats.items.0.value	30 de zile
stats.items.0.label	Gratuit, fără card
stats.items.1.value	16
stats.items.1.label	module în fiecare plan
stats.items.2.value	4
stats.items.2.label	canale de programări online
stats.items.3.value	de la 15 €
stats.items.3.label	pe lună, per studio
stats.trust.0	Datele rămân ale dvs.
stats.trust.1	Rolurile sunt aplicate și pe server
stats.trust.2	Export CSV oricând
stats.trust.3	Ștergere la cerere
compare.label	diferența
compare.title	Am eliminat ce\\nvă stătea în cale
compare.lead	Velora s-a născut din propria noastră experiență: administram studiouri și ne loveam zilnic de același zid — un CRM în care sunt necesare nouă clicuri pentru a programa un client. Iată ce s-a schimbat.
compare.usual	Modul obișnuit
compare.velora	În Velora
compare.pairs.0.bad	Pentru a programa un client, părăsiți programul pentru alt ecran și apoi reveniți
compare.pairs.0.good	Programările și clienții noi sunt creați direct în program
compare.pairs.1.bad	Rapoartele sunt exportate în Excel și reconciliate manual
compare.pairs.1.good	Rapoarte live după antrenor și serviciu, cu export pentru orice perioadă
compare.pairs.2.bad	Notificările sunt un serviciu separat, pentru care plătiți separat
compare.pairs.2.good	Telegram, email și WhatsApp sunt integrate printr-o matrice eveniment × canal
compare.pairs.3.bad	Un antrenor poate vedea programul și baza de clienți a tuturor celorlalți
compare.pairs.3.good	Rolurile limitează accesul atât în interfață, cât și pe server
compare.pairs.4.bad	Un asistent? În cel mai bun caz, căutare de clienți
compare.pairs.4.good	Velora AI răspunde la întrebări despre afacerea dvs. — și la întrebările clienților în Telegram și Instagram
showcase.label	toate într-un singur loc
showcase.title	O platformă în locul\\nunui zeci de servicii
showcase.lead	Programări, clienți, bani, comunicare și AI într-o singură interfață. Niciun modul inutil: fiecare ecran rezolvă o problemă reală a proprietarului.
showcase.blocks.journal.title	Programul dvs.
showcase.blocks.journal.lead	O grilă zilnică în care antrenorii sunt coloane, iar orele sunt rânduri. Aici se întâmplă tot ce face administratorul.
showcase.blocks.journal.points.0	Trageți un curs la altă oră — sau la alt antrenor
showcase.blocks.journal.points.1	Creați cursuri și clienți noi fără să părăsiți programul
showcase.blocks.journal.points.2	Rezumatul zilei este alături: ocuparea sălilor și veniturile
showcase.blocks.booking.title	Programările dvs. online
showcase.blocks.booking.lead	Patru canale în care clienții se programează singuri, non-stop și fără administrator.
showcase.blocks.booking.points.0	Widget web, Telegram, WhatsApp și Instagram — fiecare se configurează separat
showcase.blocks.booking.points.1	Reguli: cu câte ore înainte de start se închide programarea și până când poate clientul să anuleze
showcase.blocks.booking.points.2	Identitatea aplicației client cu previzualizare live — culoare și limbă potrivite brandului dvs.
showcase.blocks.finance.title	Finanțele dvs.
showcase.blocks.finance.lead	Conturi, tranzacții, salarii și documente într-un singur loc, fără export în foi de calcul.
showcase.blocks.finance.points.0	Casă, cont bancar și încasări cu cardul, cu solduri și mișcări zilnice
showcase.blocks.finance.points.1	Abonamente, carduri cadou și rambursări legate de un client și un cont
showcase.blocks.finance.points.2	Salarii pentru antrenori calculate după regulile dvs.
showcase.blocks.notify.title	Notificările dvs.
showcase.blocks.notify.lead	Trei canale de livrare și o matrice în care decideți ce se trimite și unde.
showcase.blocks.notify.points.0	Telegram, email și WhatsApp — fiecare conectat cu propria cheie a studioului
showcase.blocks.notify.points.1	Un set separat de evenimente pentru client, antrenor, administrator și proprietar
showcase.blocks.notify.points.2	Mementouri cu 24 și 2 ore înainte, „au rămas 1–2 cursuri”, zile de naștere și cereri de recenzie
showcase.blocks.ai.title	Stratul dvs. AI
showcase.blocks.ai.lead	Asistentul cunoaște contextul afacerii și este pe fiecare pagină — agenții răspund singuri clienților.
showcase.blocks.ai.points.0	Întrebați despre studio din bara de sus, fără a deschide altă secțiune
showcase.blocks.ai.points.1	Agenți AI în Telegram și Instagram: tonul comunicării și modul „doar în afara programului”
showcase.blocks.ai.points.2	Statistici: câte conversații au fost gestionate și cum au fost evaluate
ctaStrip.title	Încercați fără migrare de date și fără plată în avans
ctaStrip.button	Începeți gratuit
ctaStrip.note	30 de zile gratuite • Fără card • Ajutor la început
modules.label	module
modules.title	16 module,\\ndeja incluse
modules.lead	Nu o colecție de substituenți „în curând” — tot ce este listat funcționează și este inclus în plan. Rolurile stabilesc cine vede fiecare secțiune.
modules.items.dashboard.title	Prezentare generală
