== sr
nav.product	Производ
nav.modules	Модули
nav.pricing	Цене
nav.faq	Честа питања
nav.login	Пријавите се
nav.startShort	Почните
nav.startFull	Почните бесплатно
nav.language	Језик
hero.badge	Нови CRM стандард за 2026.
hero.title	CRM који ћете\\n*волети* да користите
hero.lead	Премијум B2B CRM за јога и пилатес студије. Резервације, клијенти, тим и финансије на једном месту. Без сувишних кликова и забуне.
hero.cta	Испробајте бесплатно 30 дана
hero.perks.0	30 дана бесплатно
hero.perks.1	Картица није потребна
hero.perks.2	Откажите једним кликом
marquee.0	Распоред
marquee.1	Клијенти
marquee.2	Чланарине
marquee.3	Онлајн резервације
marquee.4	Финансије
marquee.5	Зараде
marquee.6	Обавештења
marquee.7	Лојалност
marquee.8	Извештаји
marquee.9	Velora AI
marquee.10	Апликација за клијенте
marquee.11	Улоге и приступ
stats.items.0.value	30 дана
stats.items.0.label	Бесплатно, без картице
stats.items.1.value	16
stats.items.1.label	модула у сваком плану
stats.items.2.value	4
stats.items.2.label	канала за онлајн резервације
stats.items.3.value	од 15 €
stats.items.3.label	месечно по студију
stats.trust.0	Ваши подаци остају ваши
stats.trust.1	Улоге важе и на серверу
stats.trust.2	CSV извоз кад год желите
stats.trust.3	Брисање на захтев
compare.label	разлика
compare.title	Уклонили смо оно\\nшто вам смета
compare.lead	Velora је настала из нашег сопственог искуства: водили смо студије и сваког дана наилазили на исти зид — CRM у коме је потребно девет кликова да закажете клијента. Ево шта се променило.
compare.usual	Уобичајени начин
compare.velora	У Velora-и
compare.pairs.0.bad	Да бисте заказали клијента, напуштате распоред, отварате други приказ и затим се враћате
compare.pairs.0.good	Резервације и нови клијенти настају директно у распореду
compare.pairs.1.bad	Извештаји се извозе у Excel и ручно упоређују
compare.pairs.1.good	Извештаји уживо по тренеру и услузи, са извозом за било који период
compare.pairs.2.bad	Обавештења су засебна услуга коју додатно плаћате
compare.pairs.2.good	Telegram, е-пошта и WhatsApp су уграђени уз матрицу догађај × канал
compare.pairs.3.bad	Тренер види распоред и базу клијената свих осталих
compare.pairs.3.good	Улоге ограничавају приступ и у интерфејсу и на серверу
compare.pairs.4.bad	Асистент? У најбољем случају, претрага клијента
compare.pairs.4.good	Velora AI одговара на питања о вашем послу — и на питања ваших клијената у Telegram-у и Instagram-у
showcase.label	све на једном месту
showcase.title	Једна платформа уместо\\nдесетина услуга
showcase.lead	Резервације, клијенти, новац, комуникација и AI у једном интерфејсу. Ниједан модул није сувишан: сваки приказ решава стварни проблем власника.
showcase.blocks.journal.title	Ваш распоред
