== da
header.allConfigured	Alle programmer er sat op
header.allConfiguredSub	Dit loyalitetssystem kører for fuld kraft
header.setup	Opsæt loyalitetsprogrammer
header.setupSub	{{count}} af {{total}} programmer er sat op · Hvert program styrker fastholdelsen af kunder
header.start	Kom i gang
programs.loyalty.title	Loyalitetskort
programs.loyalty.desc	Niveaudelt pointoptjeningssystem
programs.loyalty.statLabel	kunder
programs.discounts.title	Rabatter og cashback
programs.discounts.desc	Personlige tilbud til kunder
programs.discounts.statLabel	aktive
programs.certificates.title	Gavekort
programs.certificates.desc	Gavekort og personlige certifikater
programs.certificates.statLabel	solgt
programs.referral.title	Henvisninger
programs.referral.desc	Programmet „Tag en ven med”
programs.referral.statLabel	henvisninger
programs.promocodes.title	Rabatkoder
programs.promocodes.desc	Rabatkoder med en brugsgrænse
programs.promocodes.statLabel	aktive
programs.deposit.title	Indestående
programs.deposit.desc	Kundens kontantbalance hos studiet
programs.deposit.statLabel	med saldo
card.active	Aktiv
card.disable	Deaktivér
card.notConfigured	Ikke konfigureret
card.configure	Konfigurér
drawer.subtitle	Programindstillinger
drawer.saving	Gemmer…
drawer.save	Gem og aktivér
drawer.cancel	Annullér
drawer.close	Luk
config.mainParams	Hovedparametre
config.programName	Programnavn
config.pointsRate	Pointkurs ({{currency}} pr. 1 point)
config.levels	Niveauer
config.pointValue	1 point =
config.pointValueHint	Point optjenes med samme kurs på hvert niveau, men de har ikke samme værdi. Giv Gold 1 og Diamond 2, så et point optjent af kunden giver dobbelt så stort afslag ved kassen. Det er det, et niveau giver: Jo mere man har brugt i studiet, jo mere er pointene værd.
config.expiry	Udløbsperiode
config.expiryTooltip	Hvor længe en kunde kan bruge optjente point
config.expiryOptions.3m	3 mdr.
config.expiryOptions.6m	6 mdr.
config.expiryOptions.1y	1 år
config.expiryOptions.never	Uden udløb
config.newLevelName	Nyt niveau
config.addLevel	+ Niveau
config.levelFrom	fra
config.levelTo	til
config.deleteLevelTitle	Slet dette niveau?
config.deleteLevelMessage	Kunder på niveauet „{{name}}” flyttes til det tilstødende niveau efter deres samlede forbrug.
config.discountType	Rabattype
config.discountTypes.percentage	Procent (%)
config.discountTypes.fixed	Fast ({{currency}})
config.discountTypes.cashback	Cashback
config.cashbackPercent	Cashback-procent
config.discountSize	Rabatbeløb
config.minPurchase	Mindste købsbeløb
config.noLimit	Ingen grænse
config.conditions	Anvendelsesbetingelser
config.appliesToAll	Anvend på alle tjenester
config.stackable	Kombinér med andre rabatter
config.visibleInCabinet	Vis kunden i kundens konto
config.certType	Certifikattype
config.certTypes.named	Personligt
config.certTypes.gift	Gave
config.certTypes.service	Til en tjeneste
config.denominations	Beløb
config.addDenom	+ Tilføj
config.service	Tjeneste
config.noServices	Der er endnu ingen tjenester i kataloget — tilføj dem under „Katalog”
config.params	Parametre
config.expiryDays	Udløbsperiode (dage)
config.certIssue	Udsted certifikat
config.certCustomAmount	Valgfrit beløb
config.certRecipientName	Modtagerens navn
config.certRecipientPlaceholder	Valgfrit
config.certLinkClient	Knyt til en kunde
config.certClientSearchPlaceholder	Begynd at skrive et navn…
config.certAccount	Indestående-konto
config.certAccountNone	Registrer ikke i regnskabet
config.certIssueButton	Udsted
config.certIssuedTitle	Certifikat udstedt
config.certCopyCode	Kopiér kode
config.certCopied	Kopieret
config.certIssueAnother	Udsted endnu et
config.certIssued	Udstedte certifikater
config.certEmpty	Der er endnu ikke udstedt certifikater
config.certStatus.active	Aktiv
config.certStatus.used	Indløst
config.certStatus.expired	Udløbet
config.certRedeem	Indløs
config.certRedeemTitle	Indløse dette certifikat?
config.certRedeemMessage	Certifikat {{code}} markeres som indløst. Det kan ikke fortrydes.
config.referrerBonusTitle	Henvisningsbonus
config.referrerBonus	Bonus til henviseren ({{currency}})
config.newClientDiscount	Rabat til ny kunde (%)
config.triggerCondition	Optjeningsbetingelse
config.triggerConditions.first_visit	Efter første besøg
config.triggerConditions.first_payment	Efter første betaling
config.triggerConditions.registration	Straks ved registrering
config.bonusAccrual	Bonusoptjening
config.bonusTypes.points	Point
config.bonusTypes.deposit	Til indestående
config.bonusTypes.discount	Som rabat
config.promoCreate	Opret rabatkode
config.promoCodePlaceholder	SOMMER25
config.promoValidUntil	Gyldig til
config.promoUsageLimit	Brugsgrænse
config.promoAdd	+ Tilføj rabatkode
config.promoList	Rabatkoder
config.promoEmpty	Der er endnu ingen rabatkoder
config.promoUntil	til
config.promoStatus.active	Aktiv
config.promoStatus.expired	Udløbet
config.promoStatus.exhausted	Grænsen er nået
config.promoStatus.disabled	Deaktiveret
config.depositTotal	Samlet saldo
config.depositTotalSub	på tværs af kunders indeståender
config.depositTopClients	Topkunder efter saldo
config.depositEmpty	Ingen har et indestående endnu
config.depositHint	Indbetalinger og udbetalinger sker på kundens profil. Henvisningsprogrammet kan udbetale bonusser til indeståendet i stedet for som point.
validation.required	Dette felt er påkrævet
validation.minOne	Skal være mindst 1
validation.minZero	Må ikke være negativt
validation.positive	Skal være større end 0
validation.range0to100	0 til 100
toasts.saved	Programmet er aktiveret
toasts.saveFailed	Kunne ikke gemme
toasts.toggleFailed	Kunne ikke opdatere programmet
