== hr
header.allConfigured	Svi su programi postavljeni
header.allConfiguredSub	Vaš sustav lojalnosti radi punom snagom
header.setup	Postavite programe lojalnosti
header.setupSub	{{count}} od {{total}} programa postavljeno · Svaki program povećava zadržavanje klijenata
header.start	Započnite
programs.loyalty.title	Kartice lojalnosti
programs.loyalty.desc	Sustav skupljanja bodova po razinama
programs.loyalty.statLabel	klijenata
programs.discounts.title	Popusti i povrat novca
programs.discounts.desc	Personalizirane ponude za klijente
programs.discounts.statLabel	aktivno
programs.certificates.title	Poklon-bonovi
programs.certificates.desc	Poklon i personalizirani bonovi
programs.certificates.statLabel	prodano
programs.referral.title	Preporuke
programs.referral.desc	Program „Dovedite prijatelja”
programs.referral.statLabel	preporuka
programs.promocodes.title	Promokodovi
programs.promocodes.desc	Kodovi za popust s ograničenjem upotrebe
programs.promocodes.statLabel	aktivno
programs.deposit.title	Depozit
programs.deposit.desc	Novčani saldo klijenta u studiju
programs.deposit.statLabel	sa saldom
card.active	Aktivno
card.disable	Onemogući
card.notConfigured	Nije postavljeno
card.configure	Postavi
drawer.subtitle	Postavke programa
drawer.saving	Spremanje…
drawer.save	Spremi i aktiviraj
drawer.cancel	Odustani
drawer.close	Zatvori
config.mainParams	Glavni parametri
config.programName	Naziv programa
config.pointsRate	Stopa bodova ({{currency}} za 1 bod)
config.levels	Razine
config.pointValue	1 bod =
config.pointValueHint	Bodovi se dobivaju po istoj stopi na svakoj razini, ali nemaju istu vrijednost. Goldu dajte 1, a Diamondu 2; tada će bod koji je klijent zaradio pri naplati smanjiti cijenu dvostruko više. To donosi razina: što je netko više potrošio u studiju, to njegovi bodovi više vrijede.
config.expiry	Razdoblje valjanosti
config.expiryTooltip	Koliko dugo klijent može trošiti prikupljene bodove
config.expiryOptions.3m	3 mj.
config.expiryOptions.6m	6 mj.
config.expiryOptions.1y	1 g.
config.expiryOptions.never	Bez isteka
config.newLevelName	Nova razina
config.addLevel	+ Razina
config.levelFrom	od
config.levelTo	do
config.deleteLevelTitle	Izbrisati ovu razinu?
config.deleteLevelMessage	Klijenti na razini „{{name}}” prijeći će na susjednu razinu prema ukupnoj potrošnji.
config.discountType	Vrsta popusta
config.discountTypes.percentage	Postotak (%)
config.discountTypes.fixed	Fiksno ({{currency}})
config.discountTypes.cashback	Povrat novca
config.cashbackPercent	Postotak povrata novca
config.discountSize	Iznos popusta
config.minPurchase	Minimalni iznos kupnje
config.noLimit	Bez ograničenja
config.conditions	Uvjeti primjene
config.appliesToAll	Primijeni na sve usluge
config.stackable	Kombiniraj s drugim popustima
config.visibleInCabinet	Prikaži klijentu u njegovom računu
config.certType	Vrsta bona
config.certTypes.named	Personaliziran
config.certTypes.gift	Poklon
config.certTypes.service	Za uslugu
config.denominations	Nominale
config.addDenom	+ Dodaj
config.service	Usluga
config.noServices	Još nema usluga u katalogu — dodajte ih u „Katalog”
config.params	Parametri
config.expiryDays	Razdoblje valjanosti (dani)
config.certIssue	Izdaj bon
config.certCustomAmount	Prilagođeni iznos
config.certRecipientName	Ime primatelja
config.certRecipientPlaceholder	Neobavezno
config.certLinkClient	Poveži s klijentom
config.certClientSearchPlaceholder	Počnite upisivati ime…
config.certAccount	Depozitni račun
config.certAccountNone	Ne evidentiraj u knjizi
