== el
loading	Φόρτωση…
chModal.eyebrow	Κανάλι ειδοποιήσεων
chModal.connected	Συνδέθηκε
chModal.notConnected	Δεν συνδέθηκε
chModal.setup	Ρύθμιση σύνδεσης
chModal.details	Στοιχεία σύνδεσης
chModal.ready	Το κανάλι λειτουργεί
chModal.readyHint	Οι ειδοποιήσεις για ενεργοποιημένα συμβάντα στέλνονται αυτόματα.
chModal.bot	Bot
chModal.token	Διακριτικό
chModal.phone	Αριθμός
chModal.account	Λογαριασμός
chModal.sender	Αποστολέας
channels.title	Κανάλια αποστολής
channels.connect	Σύνδεση
channels.connected	Συνδέθηκε
channels.openSettings	Ρυθμίσεις {{channel}}
channels.waLockedHint	Το κανάλι ξεκλειδώνει όταν η Meta έχει τον τρόπο πληρωμής σας, επιβεβαιωμένη επιχείρηση και εγκεκριμένα πρότυπα
channels.waBlocker.payment	Δεν υπάρχει τρόπος πληρωμής — οι υπενθυμίσεις δεν παραδίδονται. Ρυθμίστε
channels.waBlocker.verification	Η επιχείρηση δεν έχει επιβεβαιωθεί στη Meta — όριο 250/ημέρα. Πώς διορθώνεται
channels.waBlocker.templates	Τα πρότυπα είναι ακόμη υπό έλεγχο στη Meta — δεν θα σταλεί τίποτα. Λεπτομέρειες
roles.client	Πελάτης
roles.trainer	Προπονητής
roles.admin	Διαχειριστής
roles.owner	Ιδιοκτήτης
roles.activeCount_one	{{count}} ενεργό
roles.activeCount_other	{{count}} ενεργά
matrix.saving	Αποθήκευση…
matrix.allSaved	Όλες οι αλλαγές αποθηκεύτηκαν
matrix.notSaved	Δεν αποθηκεύτηκε
matrix.activateAll	Ενεργοποίηση όλων
matrix.deactivateAll	Εκκαθάριση όλων των πλαισίων
matrix.activeCount_one	Ενεργοί κανόνες: {{count}} από {{total}}
matrix.activeCount_other	Ενεργοί κανόνες: {{count}} από {{total}}
matrix.scenariosFor	Σενάρια για: {{role}}
matrix.configureFor_one	Ρύθμιση καναλιών για {{count}} ενεργοποιητή συστήματος
matrix.configureFor_other	Ρύθμιση καναλιών για {{count}} ενεργοποιητές συστήματος
matrix.eventColumn	Συμβάν συστήματος
matrix.noActiveChannels	Δεν υπάρχουν ενεργά κανάλια
matrix.noActiveChannelsHint	Ενεργοποιήστε τουλάχιστον ένα κανάλι αποστολής στο αριστερό πλαίσιο
matrix.adviceLabel	Συμβουλή:
matrix.advice	Ρυθμίστε χωριστά για κάθε ρόλο τι αποστέλλεται και πού — η Velora θα το χειριστεί αυτόματα.
matrix.tiers.critical	Απαιτείται · δεν απενεργοποιείται
matrix.tiers.operational	Λειτουργικό
matrix.tiers.optional	Προαιρετικό
matrix.lock.critical	Απαιτούμενη ειδοποίηση — δεν απενεργοποιείται
matrix.lock.lastChannel	Τελευταίο κανάλι αποστολής — δεν απενεργοποιείται
matrix.channelDisconnected	Το κανάλι δεν είναι συνδεδεμένο
events.c1.title	Η κράτηση επιβεβαιώθηκε
events.c1.desc	Μετά από επιτυχημένη κράτηση μαθήματος
events.c2.title	Υπενθύμιση μαθήματος
events.c2.desc	24 ώρες και 2 ώρες πριν
events.c3.title	Το μάθημα ακυρώθηκε
events.c3.desc	Όταν ακυρώνει ο προπονητής ή το στούντιο
events.c4.title	Επιτυχής πληρωμή
events.c4.desc	Απόδειξη μετά από επιτυχή χρέωση
events.c5.title	Λίγα μαθήματα απομένουν
events.c5.desc	Όταν απομένουν 1–2 επισκέψεις στο πακέτο
events.c6.title	Το πακέτο λήγει
events.c6.desc	3 ημέρες πριν από τη λήξη
events.c7.title	Γενέθλια
events.c7.desc	Ευχές με ειδική προσφορά
events.c8.title	Αίτημα αξιολόγησης
events.c8.desc	Μετά τη συμμετοχή σε μάθημα
events.c9.title	Επιστροφή χρημάτων
events.c9.desc	Κατά την ακύρωση και επεξεργασία επιστροφής
events.c10.title	Το μάθημα δεν έχει πληρωθεί
events.c10.desc	Ο πελάτης παρευρέθηκε αλλά δεν έχει πληρώσει
events.c11.title	Το μάθημα μεταφέρθηκε
events.c11.desc	Άλλαξε ώρα, αίθουσα ή προπονητής
events.c12.title	Προστέθηκε μπόνους
events.c12.desc	Πόντοι ή μπόνους προστέθηκαν στον πελάτη
events.c13.title	Καφές μετά το μάθημα
events.c13.desc	Ποιος από την ομάδα πάει για καφέ
events.t1.title	Νέα κράτηση με προπονητή
events.t1.desc	Πελάτης έκλεισε προσωπική συνεδρία
events.t2.title	Ο πελάτης ακύρωσε την κράτηση
events.t2.desc	Ο πελάτης ακύρωσε λιγότερο από 2 ώρες πριν
events.t3.title	Υπενθύμιση μαθήματος
events.t3.desc	1 ώρα πριν την έναρξη
events.t4.title	Λίστα ομάδας
events.t4.desc	30 λεπτά πριν από ομαδικό μάθημα
events.t5.title	Αλλαγή προγράμματος
events.t5.desc	Ο διαχειριστής άλλαξε ώρα ή τοποθεσία
events.t6.title	Δεδουλευμένος μισθός
events.t6.desc	Εβδομαδιαίος υπολογισμός πληρωμής
events.t7.title	Νέα αξιολόγηση προπονητή
events.t7.desc	Ο πελάτης άφησε βαθμολογία μετά το μάθημα
events.t8.title	Γενέθλια πελάτη
events.t8.desc	Υπενθύμιση για προσωπικές ευχές
events.t9.title	Το μάθημα ακυρώθηκε
events.t9.desc	Το στούντιο ή ο διαχειριστής ακύρωσε το μάθημά σας
events.a1.title	Νέα διαδικτυακή κράτηση
events.a1.desc	Ο πελάτης έκλεισε μέσω ιστότοπου ή γραφικού στοιχείου
events.a2.title	Ακύρωση τελευταίας στιγμής
events.a2.desc	Λιγότερο από 1 ώρα πριν το μάθημα
events.a3.title	Νέος πελάτης στο σύστημα
events.a3.desc	Εγγραφή νέου χρήστη
events.a4.title	Λήψη πληρωμής
events.a4.desc	Κάθε επιτυχής χρέωση
events.a6.title	Τα πακέτα εξαντλούνται
events.a6.desc	Ομάδα πελατών με ≤1 μάθημα που απομένει
events.a7.title	Σύγκρουση προγράμματος
events.a7.desc	Επικαλυπτόμενα μαθήματα στο ημερολόγιο
events.a8.title	Ημερήσια αναφορά
events.a8.desc	Σύνοψη τέλους ημέρας
events.a9.title	Απόπειρα σύνδεσης
events.a9.desc	Σύνδεση από νέα συσκευή
events.a10.title	Επιστροφή χρημάτων
events.a10.desc	Ο διαχειριστής εξέδωσε επιστροφή
events.o1.title	Ημερήσια σύνοψη
events.o1.desc	Έσοδα, κρατήσεις, προσέλευση της ημέρας
events.o2.title	Εβδομαδιαία αναφορά
events.o2.desc	Δείκτες: ανάπτυξη πελατών, LTV, μετατροπή
events.o3.title	Μεγάλη πληρωμή
events.o3.desc	Χρέωση πάνω από το καθορισμένο όριο
events.o4.title	Ανωμαλία δεδομένων
events.o4.desc	Απότομη πτώση σε κρατήσεις ή έσοδα
events.o5.title	Νέο μέλος προσωπικού
