== hr
loading	Učitavanje…
chModal.eyebrow	Kanal obavijesti
chModal.connected	Povezan
chModal.notConnected	Nije povezan
chModal.setup	Postavljanje veze
chModal.details	Pojedinosti veze
chModal.ready	Kanal radi
chModal.readyHint	Obavijesti za uključene događaje šalju se automatski.
chModal.bot	Bot
chModal.token	Token
chModal.phone	Broj
chModal.account	Račun
chModal.sender	Pošiljatelj
channels.title	Kanali isporuke
channels.connect	Poveži
channels.connected	Povezan
channels.openSettings	Postavke kanala {{channel}}
channels.waLockedHint	Kanal se otključava kada Meta ima vaš način plaćanja, potvrđenu tvrtku i odobrene predloške
channels.waBlocker.payment	Nema načina plaćanja — podsjetnici se ne isporučuju. Postavite
channels.waBlocker.verification	Tvrtka nije potvrđena putem Mete — ograničenje 250/dan. Kako riješiti
channels.waBlocker.templates	Predlošci su još na pregledu kod Mete — ništa neće biti poslano. Pojedinosti
roles.client	Klijent
roles.trainer	Trener
roles.admin	Administrator
roles.owner	Vlasnik
roles.activeCount_one	{{count}} aktivan
roles.activeCount_few	{{count}} aktivna
roles.activeCount_other	{{count}} aktivnih
matrix.saving	Spremanje…
matrix.allSaved	Sve promjene su spremljene
matrix.notSaved	Nije spremljeno
matrix.activateAll	Aktiviraj sve
matrix.deactivateAll	Očisti sve potvrdne okvire
matrix.activeCount_one	Aktivni okidači: {{count}} od {{total}}
matrix.activeCount_few	Aktivni okidači: {{count}} od {{total}}
matrix.activeCount_other	Aktivni okidači: {{count}} od {{total}}
matrix.scenariosFor	Scenariji za: {{role}}
matrix.configureFor_one	Postavite kanale za {{count}} sistemski okidač
matrix.configureFor_few	Postavite kanale za {{count}} sistemska okidača
matrix.configureFor_other	Postavite kanale za {{count}} sistemskih okidača
matrix.eventColumn	Sistemski događaj
matrix.noActiveChannels	Nema aktivnih kanala
matrix.noActiveChannelsHint	Uključite barem jedan kanal isporuke u lijevom panelu
matrix.adviceLabel	Savjet:
matrix.advice	Za svaku ulogu zasebno postavite što se šalje i kamo — Velora će to obraditi automatski.
matrix.tiers.critical	Obavezno · ne može se isključiti
matrix.tiers.operational	Operativno
matrix.tiers.optional	Neobavezno
matrix.lock.critical	Obavezna obavijest — ne može se isključiti
matrix.lock.lastChannel	Posljednji kanal isporuke — ne može se isključiti
matrix.channelDisconnected	Kanal nije povezan
events.c1.title	Rezervacija potvrđena
events.c1.desc	Nakon uspješne rezervacije termina
events.c2.title	Podsjetnik za termin
events.c2.desc	24 sata i 2 sata prije
events.c3.title	Termin otkazan
events.c3.desc	Kada trener ili studio otkažu
events.c4.title	Uspješno plaćanje
events.c4.desc	Potvrda nakon uspješne naplate
events.c5.title	Malo termina preostalo
events.c5.desc	Kada je u paketu ostalo 1–2 posjeta
events.c6.title	Paket istječe
events.c6.desc	3 dana prije isteka
events.c7.title	Rođendan
events.c7.desc	Čestitka s posebnom ponudom
events.c8.title	Zahtjev za recenziju
events.c8.desc	Nakon prisustvovanja terminu
events.c9.title	Povrat novca
events.c9.desc	Pri otkazivanju i obradi povrata
events.c10.title	Termin još nije plaćen
events.c10.desc	Klijent je prisustvovao, ali nije platio
events.c11.title	Termin je pomaknut
events.c11.desc	Promijenjeno je vrijeme, dvorana ili trener
events.c12.title	Bonus je dodijeljen
events.c12.desc	Klijentu su dodani bodovi ili bonus
events.c13.title	Kava nakon termina
events.c13.desc	Tko iz grupe ide na kavu
events.t1.title	Nova rezervacija kod trenera
events.t1.desc	Klijent je rezervirao osobni termin
events.t2.title	Klijent je otkazao rezervaciju
events.t2.desc	Klijent je otkazao manje od 2 sata prije
events.t3.title	Podsjetnik za termin
events.t3.desc	1 sat prije početka
events.t4.title	Popis grupe
events.t4.desc	30 min. prije grupnog termina
events.t5.title	Promjena rasporeda
events.t5.desc	Administrator je promijenio termin ili lokaciju
events.t6.title	Obračunata plaća
events.t6.desc	Tjedni izračun isplate
events.t7.title	Nova recenzija trenera
events.t7.desc	Klijent je ostavio ocjenu nakon termina
events.t8.title	Rođendan klijenta
events.t8.desc	Podsjetnik da osobno čestitate
events.t9.title	Termin otkazan
events.t9.desc	Studio ili administrator otkazao je vaš termin
events.a1.title	Nova online rezervacija
events.a1.desc	Klijent je rezervirao preko stranice ili widgeta
events.a2.title	Otkazivanje u zadnji čas
events.a2.desc	Manje od 1 sata prije termina
events.a3.title	Novi klijent u sustavu
events.a3.desc	Registracija novog korisnika
events.a4.title	Primljena uplata
events.a4.desc	Svaka uspješna naplata
events.a6.title	Paketi pri kraju
events.a6.desc	Skupina klijenata s ≤1 preostalim terminom
events.a7.title	Sukob u rasporedu
events.a7.desc	Termini koji se preklapaju u dnevniku
events.a8.title	Dnevni izvještaj
events.a8.desc	Sažetak na kraju dana
events.a9.title	Pokušaj prijave
events.a9.desc	Prijava s novog uređaja
events.a10.title	Povrat novca
events.a10.desc	Administrator je izdao povrat
events.o1.title	Dnevni sažetak
events.o1.desc	Prihod, rezervacije, prisustvo za taj dan
events.o2.title	Tjedni izvještaj
