== hu
loading	Betöltés…
chModal.eyebrow	Értesítési csatorna
chModal.connected	Kapcsolódva
chModal.notConnected	Nincs kapcsolódva
chModal.setup	Kapcsolat beállítása
chModal.details	Kapcsolat részletei
chModal.ready	A csatorna működik
chModal.readyHint	Az engedélyezett események értesítései automatikusan elküldésre kerülnek.
chModal.bot	Bot
chModal.token	Token
chModal.phone	Szám
chModal.account	Fiók
chModal.sender	Feladó
channels.title	Kézbesítési csatornák
channels.connect	Csatlakoztatás
channels.connected	Kapcsolódva
channels.openSettings	{{channel}} beállításai
channels.waLockedHint	A csatorna akkor nyílik meg, amikor a Meta rendelkezik a fizetési móddal, hitelesített vállalkozással és jóváhagyott sablonokkal
channels.waBlocker.payment	Nincs fizetési mód — az emlékeztetők nem érkeznek meg. Állítsa be
channels.waBlocker.verification	A vállalkozás nincs hitelesítve a Metánál — napi 250-es korlát. Javítási útmutató
channels.waBlocker.templates	A sablonok még Meta-felülvizsgálat alatt állnak — semmi nem lesz elküldve. Részletek
roles.client	Ügyfél
roles.trainer	Edző
roles.admin	Rendszergazda
roles.owner	Tulajdonos
roles.activeCount_one	{{count}} aktív
roles.activeCount_other	{{count}} aktív
matrix.saving	Mentés…
matrix.allSaved	Minden módosítás mentve
matrix.notSaved	Nincs mentve
matrix.activateAll	Összes aktiválása
matrix.deactivateAll	Minden jelölőnégyzet törlése
matrix.activeCount_one	Aktív eseményindító: {{count}} / {{total}}
matrix.activeCount_other	Aktív eseményindító: {{count}} / {{total}}
matrix.scenariosFor	Forgatókönyvek ehhez: {{role}}
matrix.configureFor_one	Csatornák beállítása {{count}} rendszerindítóhoz
matrix.configureFor_other	Csatornák beállítása {{count}} rendszerindítóhoz
matrix.eventColumn	Rendszeresemény
matrix.noActiveChannels	Nincsenek aktív csatornák
matrix.noActiveChannelsHint	Kapcsoljon be legalább egy kézbesítési csatornát a bal oldali panelen
matrix.adviceLabel	Tipp:
matrix.advice	Állítsa be szerepenként külön, mi hová kerül elküldésre — a Velora automatikusan kezeli.
matrix.tiers.critical	Kötelező · nem kapcsolható ki
matrix.tiers.operational	Működési
matrix.tiers.optional	Opcionális
matrix.lock.critical	Kötelező értesítés — nem kapcsolható ki
matrix.lock.lastChannel	Utolsó kézbesítési csatorna — nem kapcsolható ki
matrix.channelDisconnected	A csatorna nincs csatlakoztatva
events.c1.title	Foglalás megerősítve
events.c1.desc	Sikeres foglalás után
events.c2.title	Óraemlékeztető
events.c2.desc	24 órával és 2 órával előtte
events.c3.title	Az óra elmarad
events.c3.desc	Amikor az edző vagy a stúdió lemondja
events.c4.title	Sikeres fizetés
