== pl
loading	Ładowanie…
chModal.eyebrow	Kanał powiadomień
chModal.connected	Połączono
chModal.notConnected	Nie połączono
chModal.setup	Konfiguracja połączenia
chModal.details	Szczegóły połączenia
chModal.ready	Kanał działa
chModal.readyHint	Powiadomienia o włączonych zdarzeniach są wysyłane automatycznie.
chModal.bot	Bot
chModal.token	Token
chModal.phone	Numer
chModal.account	Konto
chModal.sender	Nadawca
channels.title	Kanały dostawy
channels.connect	Połącz
channels.connected	Połączono
channels.openSettings	Ustawienia {{channel}}
channels.waLockedHint	Kanał odblokuje się, gdy Meta będzie mieć Twoją metodę płatności, zweryfikowaną firmę i zatwierdzone szablony
channels.waBlocker.payment	Brak metody płatności — przypomnienia nie są dostarczane. Skonfiguruj
channels.waBlocker.verification	Firma nie jest zweryfikowana w Meta — limit 250/dzień. Jak to naprawić
channels.waBlocker.templates	Szablony są nadal sprawdzane przez Meta — nic nie zostanie wysłane. Szczegóły
roles.client	Klient
roles.trainer	Trener
roles.admin	Administrator
roles.owner	Właściciel
roles.activeCount_one	{{count}} aktywny
roles.activeCount_few	{{count}} aktywne
roles.activeCount_many	{{count}} aktywnych
matrix.saving	Zapisywanie…
matrix.allSaved	Wszystkie zmiany zapisane
matrix.notSaved	Nie zapisano
matrix.activateAll	Włącz wszystkie
matrix.deactivateAll	Wyczyść wszystkie pola wyboru
matrix.activeCount_one	Aktywne wyzwalacze: {{count}} z {{total}}
matrix.activeCount_few	Aktywne wyzwalacze: {{count}} z {{total}}
matrix.activeCount_many	Aktywne wyzwalacze: {{count}} z {{total}}
matrix.scenariosFor	Scenariusze dla: {{role}}
matrix.configureFor_one	Skonfiguruj kanały dla {{count}} wyzwalacza systemowego
matrix.configureFor_few	Skonfiguruj kanały dla {{count}} wyzwalaczy systemowych
matrix.configureFor_many	Skonfiguruj kanały dla {{count}} wyzwalaczy systemowych
matrix.eventColumn	Zdarzenie systemowe
matrix.noActiveChannels	Brak aktywnych kanałów
matrix.noActiveChannelsHint	Włącz co najmniej jeden kanał dostawy w panelu po lewej
matrix.adviceLabel	Wskazówka:
matrix.advice	Dla każdej roli osobno ustaw, co jest wysyłane i gdzie — Velora zajmie się tym automatycznie.
matrix.tiers.critical	Wymagane · nie można wyłączyć
matrix.tiers.operational	Operacyjne
matrix.tiers.optional	Opcjonalne
matrix.lock.critical	Wymagane powiadomienie — nie można wyłączyć
matrix.lock.lastChannel	Ostatni kanał dostawy — nie można wyłączyć
matrix.channelDisconnected	Kanał nie jest połączony
events.c1.title	Rezerwacja potwierdzona
events.c1.desc	Po udanej rezerwacji zajęć
events.c2.title	Przypomnienie o zajęciach
events.c2.desc	24 godziny i 2 godziny przed
events.c3.title	Zajęcia odwołane
events.c3.desc	Gdy trener lub studio odwołuje
events.c4.title	Płatność udana
events.c4.desc	Potwierdzenie po udanym obciążeniu
events.c5.title	Mało zajęć pozostało
events.c5.desc	Gdy w pakiecie zostały 1–2 wizyty
events.c6.title	Pakiet wygasa
events.c6.desc	3 dni przed datą wygaśnięcia
events.c7.title	Urodziny
events.c7.desc	Życzenia ze specjalną ofertą
events.c8.title	Prośba o opinię
events.c8.desc	Po udziale w zajęciach
events.c9.title	Zwrot środków
events.c9.desc	Przy anulowaniu i przetwarzaniu zwrotu
events.c10.title	Zajęcia jeszcze nieopłacone
events.c10.desc	Klient uczestniczył, ale nie zapłacił
events.c11.title	Zajęcia przeniesione
events.c11.desc	Zmieniono czas, salę lub trenera
events.c12.title	Bonus naliczony
events.c12.desc	Punkty lub bonus dodano klientowi
events.c13.title	Kawa po zajęciach
events.c13.desc	Kto z grupy idzie na kawę
events.t1.title	Nowa rezerwacja u trenera
events.t1.desc	Klient zarezerwował indywidualną sesję
events.t2.title	Klient anulował rezerwację
events.t2.desc	Klient anulował mniej niż 2 godziny przed
events.t3.title	Przypomnienie o zajęciach
events.t3.desc	1 godzinę przed rozpoczęciem
events.t4.title	Lista grupy
events.t4.desc	30 min przed zajęciami grupowymi
events.t5.title	Zmiana harmonogramu
events.t5.desc	Administrator zmienił termin lub lokalizację
events.t6.title	Wynagrodzenie naliczone
events.t6.desc	Tygodniowe wyliczenie wypłaty
events.t7.title	Nowa opinia o trenerze
events.t7.desc	Klient wystawił ocenę po zajęciach
events.t8.title	Urodziny klienta
events.t8.desc	Przypomnienie o osobistych życzeniach
events.t9.title	Zajęcia odwołane
events.t9.desc	Studio lub administrator odwołał Twoje zajęcia
events.a1.title	Nowa rezerwacja online
events.a1.desc	Klient zarezerwował przez stronę lub widżet
events.a2.title	Anulowanie w ostatniej chwili
events.a2.desc	Mniej niż 1 godzinę przed zajęciami
events.a3.title	Nowy klient w systemie
events.a3.desc	Rejestracja nowego użytkownika
events.a4.title	Płatność otrzymana
events.a4.desc	Każde udane obciążenie
events.a6.title	Pakiety się kończą
events.a6.desc	Grupa klientów z ≤1 zajęciami pozostałymi
events.a7.title	Konflikt w harmonogramie
events.a7.desc	Nakładające się zajęcia w dzienniku
events.a8.title	Raport dzienny
events.a8.desc	Podsumowanie na koniec dnia
events.a9.title	Próba logowania
events.a9.desc	Logowanie z nowego urządzenia
events.a10.title	Zwrot środków
events.a10.desc	Administrator dokonał zwrotu
events.o1.title	Podsumowanie dnia
events.o1.desc	Przychód, rezerwacje, frekwencja w danym dniu
events.o2.title	Raport tygodniowy
events.o2.desc	Wskaźniki: wzrost klientów, LTV, konwersja
