== ro
loading	Se încarcă…
chModal.eyebrow	Canal de notificări
chModal.connected	Conectat
chModal.notConnected	Neconectat
chModal.setup	Configurare conexiune
chModal.details	Detalii conexiune
chModal.ready	Canalul funcționează
chModal.readyHint	Notificările pentru evenimentele activate sunt trimise automat.
chModal.bot	Bot
chModal.token	Token
chModal.phone	Număr
chModal.account	Cont
chModal.sender	Expeditor
channels.title	Canale de livrare
channels.connect	Conectează
channels.connected	Conectat
channels.openSettings	Setări {{channel}}
channels.waLockedHint	Canalul se deblochează când Meta are metoda de plată, o afacere verificată și șabloane aprobate
channels.waBlocker.payment	Nu există metodă de plată — mementourile nu sunt livrate. Configurează
channels.waBlocker.verification	Afacerea nu este verificată cu Meta — limită 250/zi. Cum rezolvi
channels.waBlocker.templates	Șabloanele sunt încă în verificare la Meta — nu se va trimite nimic. Detalii
roles.client	Client
roles.trainer	Antrenor
roles.admin	Administrator
roles.owner	Proprietar
roles.activeCount_one	{{count}} activ
roles.activeCount_few	{{count}} active
roles.activeCount_other	{{count}} active
matrix.saving	Se salvează…
matrix.allSaved	Toate modificările au fost salvate
matrix.notSaved	Nesalvat
matrix.activateAll	Activează toate
matrix.deactivateAll	Șterge toate casetele bifate
matrix.activeCount_one	Declanșatoare active: {{count}} din {{total}}
matrix.activeCount_few	Declanșatoare active: {{count}} din {{total}}
matrix.activeCount_other	Declanșatoare active: {{count}} din {{total}}
matrix.scenariosFor	Scenarii pentru: {{role}}
matrix.configureFor_one	Configurează canale pentru {{count}} declanșator de sistem
matrix.configureFor_few	Configurează canale pentru {{count}} declanșatoare de sistem
matrix.configureFor_other	Configurează canale pentru {{count}} de declanșatoare de sistem
matrix.eventColumn	Eveniment de sistem
matrix.noActiveChannels	Nu există canale active
matrix.noActiveChannelsHint	Activează cel puțin un canal de livrare în panoul din stânga
matrix.adviceLabel	Sfat:
matrix.advice	Configurează separat pentru fiecare rol ce se trimite și unde — Velora se ocupă automat.
matrix.tiers.critical	Obligatoriu · nu poate fi dezactivat
matrix.tiers.operational	Operațional
matrix.tiers.optional	Opțional
matrix.lock.critical	Notificare obligatorie — nu poate fi dezactivată
matrix.lock.lastChannel	Ultimul canal de livrare — nu poate fi dezactivat
matrix.channelDisconnected	Canalul nu este conectat
events.c1.title	Rezervare confirmată
events.c1.desc	La rezervarea reușită a unei clase
events.c2.title	Memento pentru clasă
events.c2.desc	Cu 24 de ore și 2 ore înainte
events.c3.title	Clasa a fost anulată
events.c3.desc	Când antrenorul sau studioul anulează
events.c4.title	Plată reușită
events.c4.desc	Chitanță după o taxare reușită
events.c5.title	Puține clase rămase
events.c5.desc	Când mai rămân 1–2 vizite în pachet
events.c6.title	Pachetul expiră
events.c6.desc	Cu 3 zile înainte de expirare
events.c7.title	Zi de naștere
events.c7.desc	Felicitare cu ofertă specială
events.c8.title	Cerere de recenzie
events.c8.desc	După participarea la o clasă
events.c9.title	Rambursare
events.c9.desc	La anulare și procesarea rambursării
events.c10.title	Clasa nu este încă plătită
events.c10.desc	Clientul a participat dar nu a plătit
events.c11.title	Clasa a fost reprogramată
events.c11.desc	Ora, sala sau antrenorul s-a schimbat
events.c12.title	Bonus acordat
events.c12.desc	Puncte sau bonus adăugat clientului
events.c13.title	Cafea după clasă
