== sr
loading	Учитавање…
chModal.eyebrow	Канал обавештења
chModal.connected	Повезан
chModal.notConnected	Није повезан
chModal.setup	Подешавање везе
chModal.details	Детаљи везе
chModal.ready	Канал ради
chModal.readyHint	Обавештења за укључене догађаје шаљу се аутоматски.
chModal.bot	Бот
chModal.token	Токен
chModal.phone	Број
chModal.account	Налог
chModal.sender	Пошиљалац
channels.title	Канали испоруке
channels.connect	Повежи
channels.connected	Повезан
channels.openSettings	Подешавања за {{channel}}
channels.waLockedHint	Канал се откључава када Meta има ваш начин плаћања, потврђену фирму и одобрене шаблоне
channels.waBlocker.payment	Нема начина плаћања — подсетници се не испоручују. Подесите
channels.waBlocker.verification	Фирма није потврђена у Meta — ограничење 250/дан. Како поправити
channels.waBlocker.templates	Шаблони су још на прегледу у Meta — ништа неће бити послато. Детаљи
roles.client	Клијент
roles.trainer	Тренер
roles.admin	Администратор
roles.owner	Власник
roles.activeCount_one	{{count}} активан
roles.activeCount_few	{{count}} активна
roles.activeCount_other	{{count}} активних
matrix.saving	Чување…
matrix.allSaved	Све промене су сачуване
matrix.notSaved	Није сачувано
matrix.activateAll	Активирај све
matrix.deactivateAll	Очисти сва поља за потврду
matrix.activeCount_one	Активни окидачи: {{count}} од {{total}}
matrix.activeCount_few	Активни окидачи: {{count}} од {{total}}
matrix.activeCount_other	Активни окидачи: {{count}} од {{total}}
matrix.scenariosFor	Сценарији за: {{role}}
matrix.configureFor_one	Подеси канале за {{count}} системски окидач
matrix.configureFor_few	Подеси канале за {{count}} системска окидача
matrix.configureFor_other	Подеси канале за {{count}} системских окидача
matrix.eventColumn	Системски догађај
matrix.noActiveChannels	Нема активних канала
matrix.noActiveChannelsHint	Укључите бар један канал испоруке у левом панелу
matrix.adviceLabel	Савет:
matrix.advice	Подесите засебно за сваку улогу шта се шаље и где — Velora ће то аутоматски обрадити.
matrix.tiers.critical	Обавезно · не може се искључити
matrix.tiers.operational	Оперативно
matrix.tiers.optional	Опционо
matrix.lock.critical	Обавезно обавештење — не може се искључити
matrix.lock.lastChannel	Последњи канал испоруке — не може се искључити
matrix.channelDisconnected	Канал није повезан
events.c1.title	Резервација потврђена
events.c1.desc	После успешне резервације термина
events.c2.title	Подсетник за термин
events.c2.desc	24 сата и 2 сата раније
events.c3.title	Термин отказан
events.c3.desc	Када тренер или студио откажу
events.c4.title	Успешно плаћање
events.c4.desc	Рачун после успешне наплате
events.c5.title	Мало термина преостало
events.c5.desc	Када је у пакету остало 1–2 посете
events.c6.title	Пакет истиче
events.c6.desc	3 дана пре истека
events.c7.title	Рођендан
events.c7.desc	Честитка с посебном понудом
events.c8.title	Захтев за оцену
events.c8.desc	После присуствовања термину
events.c9.title	Повраћај новца
events.c9.desc	При отказивању и обради повраћаја
events.c10.title	Термин још није плаћен
events.c10.desc	Клијент је присуствовао, али није платио
events.c11.title	Термин је померен
events.c11.desc	Време, сала или тренер су промењени
events.c12.title	Бонус је додељен
events.c12.desc	Клијенту су додати поени или бонус
events.c13.title	Кафа после термина
events.c13.desc	Ко из групе иде на кафу
events.t1.title	Нова резервација код тренера
events.t1.desc	Клијент је резервисао лични термин
events.t2.title	Клијент је отказао резервацију
events.t2.desc	Клијент је отказао мање од 2 ч. раније
events.t3.title	Подсетник за термин
events.t3.desc	1 сат пре почетка
events.t4.title	Списак групе
events.t4.desc	30 мин. пре групног термина
events.t5.title	Промена распореда
events.t5.desc	Администратор је променио термин или локацију
events.t6.title	Зарада обрачуната
events.t6.desc	Недељни обрачун исплате
events.t7.title	Нова оцена тренера
events.t7.desc	Клијент је оставио оцену после термина
events.t8.title	Рођендан клијента
events.t8.desc	Подсетник да лично честитате
events.t9.title	Термин отказан
events.t9.desc	Студио или администратор је отказао ваш термин
events.a1.title	Нова онлајн резервација
events.a1.desc	Клијент је резервисао преко сајта или виџета
events.a2.title	Отказивање у последњем тренутку
events.a2.desc	Мање од 1 сата пре термина
events.a3.title	Нови клијент у систему
events.a3.desc	Регистрација новог корисника
events.a4.title	Уплата примљена
events.a4.desc	Свака успешна наплата
events.a6.title	Пакети при крају
events.a6.desc	Група клијената са ≤1 преосталим термином
events.a7.title	Сукоб у распореду
events.a7.desc	Преклапајући термини у дневнику
events.a8.title	Дневни извештај
events.a8.desc	Сажетак на крају дана
events.a9.title	Покушај пријаве
events.a9.desc	Пријава с новог уређаја
events.a10.title	Повраћај новца
events.a10.desc	Администратор је издао повраћај
events.o1.title	Дневни сажетак
