== el
nav.sectionLabel	Ρυθμίσεις συστήματος
nav.general	Γενικά
nav.appearance	Εμφάνιση
nav.notifications	Ειδοποιήσεις
nav.billing	Χρεώσεις
nav.security	Ασφάλεια
nav.integrations	Ενσωματώσεις
nav.data	Δεδομένα
nav.logout	Αλλαγή CRM
toast.saved	Αποθηκεύτηκε
toast.error	Κάτι πήγε στραβά
workspace.title	Τα συστήματα CRM σας
workspace.subtitle	Επιλέξτε χώρο εργασίας ή δημιουργήστε έναν νέο
workspace.current	Τρέχων
workspace.membersCount_one	{{count}} μέλος
workspace.membersCount_other	{{count}} μέλη
workspace.clientsCount_one	{{count}} πελάτης
workspace.clientsCount_other	{{count}} πελάτες
workspace.createNew	Δημιουργία νέου στούντιο
workspace.loadError	Δεν ήταν δυνατή η φόρτωση των στούντιό σας
workspace.selectError	Δεν ήταν δυνατή η μετάβαση σε αυτό το στούντιο
general.company.title	Στοιχεία εταιρείας
general.company.subtitle	Δημόσιες πληροφορίες για την επιχείρησή σας
general.company.name	Επωνυμία εταιρείας
general.company.namePh	π.χ. Το στούντιό μου
general.company.desc	Περιγραφή
general.company.descPh	Τι κάνει το στούντιό σας…
general.company.phone	Τηλέφωνο
general.company.email	Email
general.company.site	Ιστότοπος
general.company.sitePh	https://studio.com
general.company.address	Διεύθυνση
general.company.addressPh	Οδός Παραδείγματος 123, πόλη
general.reset	Επαναφορά
general.resetToast	Οι ρυθμίσεις επαναφέρθηκαν
general.locale.title	Γλώσσα και περιοχή
general.locale.subtitle	Ρυθμίσεις τοπικοποίησης διεπαφής
general.locale.timezone	Ζώνη ώρας
general.locale.timezoneSearch	Πόλη ή διαφορά ώρας
general.locale.timezoneNotFound	Δεν βρέθηκε ζώνη ώρας
general.locale.currency	Νόμισμα
general.locale.currencySearch	Αναζήτηση νομίσματος
general.locale.currencyNotFound	Δεν βρέθηκε νόμισμα
general.locale.language	Γλώσσα διεπαφής
general.locale.languageSearch	Αναζήτηση γλώσσας
general.locale.languageNotFound	Δεν βρέθηκε γλώσσα
general.locale.dateFormat	Μορφή ημερομηνίας
general.locale.firstDay	Πρώτη ημέρα της εβδομάδας
general.locale.firstDayLabels.0	Δευτέρα
general.locale.firstDayLabels.1	Κυριακή
general.booking.title	Μοντέλο κρατήσεων
general.booking.subtitle	Πώς κάνουν κράτηση οι πελάτες σας
general.booking.mode	Μοντέλο κρατήσεων
general.booking.modeHint	Εκδηλώσεις — οι πελάτες εγγράφονται σε προγραμματισμένο μάθημα. Ατομικό — ο πελάτης επιλέγει ειδικό και ώρα. Μικτό — και τα δύο μαζί.
general.booking.profile	Ορολογία κλάδου
general.booking.profileHint	Επιλέγει τις λέξεις για το προσωπικό και τις υπηρεσίες. Αλλάζει μόνο τη διατύπωση — ποτέ τους ρόλους, τις τιμές ή το μοντέλο κρατήσεων.
general.booking.strict	Αυστηρό πρόγραμμα
general.booking.strictHint	Απαγορεύει διπλές κρατήσεις ειδικού ή αποκλειστικού χώρου. Απαιτείται πριν ενεργοποιηθούν οι ατομικές κρατήσεις.
general.booking.spaceAxis	Χρήση {{spacePlural}} στο πρόγραμμα
general.booking.spaceAxisHint	Ανενεργό — ο πελάτης κλείνει ένα άτομο και ο χώρος δεν έχει στήλη στο ημερολόγιο. Ενεργό — ένα μάθημα συνδέεται με χώρο.
general.booking.spaceAxisDefaultOn	Προεπιλογή για τον κλάδο σας: ενεργό
general.booking.spaceAxisDefaultOff	Προεπιλογή για τον κλάδο σας: ανενεργό
general.booking.modes.event	Εκδηλώσεις
general.booking.modes.resource	Ατομικό
general.booking.modes.hybrid	Μικτό
general.booking.profiles.studio	Ομαδικές πρακτικές και στούντιο
general.booking.profiles.sport	Αθλητισμός και γυμναστήρια
general.booking.profiles.beauty	Ομορφιά και περιποίηση
general.booking.profiles.recovery	Σώμα και αποκατάσταση
general.booking.profiles.relax	Spa και χαλάρωση
general.booking.profiles.other	Άλλο
general.booking.preview.event	Εκδήλωση
general.booking.preview.resource	Ατομικό
general.booking.errors.AUDIT_BLOCKED	Το πρόγραμμα περιέχει κρατήσεις που δεν είναι συμβατές με αυστηρό πρόγραμμα.
general.booking.errors.STRICT_SCHEDULE_REQUIRED	Ενεργοποιήστε πρώτα το αυστηρό πρόγραμμα.
general.booking.errors.RESOURCE_HISTORY_EXISTS	Το αυστηρό πρόγραμμα δεν μπορεί να απενεργοποιηθεί: το στούντιο έχει ατομικές κρατήσεις.
general.booking.findings.overlap	Επικαλυπτόμενες κρατήσεις
general.booking.findings.unknown_timezone	Άγνωστη ζώνη ώρας
general.booking.findings.undefined_branch	Δεν έχει οριστεί υποκατάστημα
general.booking.findings.invalid_duration	Μη έγκυρη διάρκεια
general.booking.findings.invalid_resource_row	Ελλιπής ατομική κράτηση
general.booking.findings.missing_branch_assignment	Ο ειδικός δεν έχει ανατεθεί σε υποκατάστημα
general.booking.findings.missing_working_hours	Ο ειδικός δεν έχει ωράριο εργασίας
general.booking.findings.inactive_specialist	Ο ειδικός είναι ανενεργός
general.booking.findings.other	Χρειάζεται έλεγχο
appearance.theme.title	Θέμα
appearance.theme.subtitle	Επιλέξτε το οπτικό στυλ της διεπαφής
appearance.theme.light	Φωτεινό
appearance.theme.dark	Σκούρο
appearance.theme.auto	Σύστημα
