== it
nav.sectionLabel	Impostazioni di sistema
nav.general	Generali
nav.appearance	Aspetto
nav.notifications	Notifiche
nav.billing	Fatturazione
nav.security	Sicurezza
nav.integrations	Integrazioni
nav.data	Dati
nav.logout	Cambia CRM
toast.saved	Salvato
toast.error	Qualcosa è andato storto
workspace.title	I tuoi sistemi CRM
workspace.subtitle	Scegli uno spazio di lavoro o creane uno nuovo
workspace.current	Corrente
workspace.membersCount_one	{{count}} membro
workspace.membersCount_other	{{count}} membri
workspace.clientsCount_one	{{count}} cliente
workspace.clientsCount_other	{{count}} clienti
workspace.createNew	Crea un nuovo studio
workspace.loadError	Impossibile caricare i tuoi studi
workspace.selectError	Impossibile passare a questo studio
general.company.title	Dati aziendali
general.company.subtitle	Informazioni pubbliche sulla tua attività
general.company.name	Nome dell’azienda
general.company.namePh	es. Il mio studio
general.company.desc	Descrizione
general.company.descPh	Di cosa si occupa il tuo studio…
general.company.phone	Telefono
general.company.email	Email
general.company.site	Sito web
general.company.sitePh	https://studio.com
general.company.address	Indirizzo
general.company.addressPh	Via Esempio 123, città
general.reset	Ripristina
general.resetToast	Impostazioni ripristinate
general.locale.title	Lingua e regione
general.locale.subtitle	Impostazioni di localizzazione dell’interfaccia
general.locale.timezone	Fuso orario
general.locale.timezoneSearch	Città o scostamento
general.locale.timezoneNotFound	Nessun fuso orario trovato
general.locale.currency	Valuta
general.locale.currencySearch	Cerca valuta o codice
general.locale.currencyNotFound	Nessuna valuta trovata
general.locale.language	Lingua dell’interfaccia
general.locale.languageSearch	Cerca lingua
general.locale.languageNotFound	Nessuna lingua trovata
general.locale.dateFormat	Formato data
general.locale.firstDay	Primo giorno della settimana
general.locale.firstDayLabels.0	Lunedì
general.locale.firstDayLabels.1	Domenica
general.booking.title	Modello di prenotazione
general.booking.subtitle	Come i clienti prenotano da te
general.booking.mode	Modello di prenotazione
general.booking.modeHint	Eventi — i clienti si iscrivono a una lezione programmata. Individuale — il cliente sceglie uno specialista e un orario. Misto — entrambi insieme.
general.booking.profile	Terminologia del settore
general.booking.profileHint	Sceglie le parole per il personale e le offerte. Modifica solo la formulazione — mai ruoli, prezzi o modello di prenotazione.
general.booking.strict	Calendario rigoroso
general.booking.strictHint	Impedisce la doppia prenotazione di uno specialista o di uno spazio esclusivo. Obbligatorio prima di attivare le prenotazioni individuali.
general.booking.spaceAxis	Usa {{spacePlural}} nel calendario
general.booking.spaceAxisHint	Disattivo — il cliente prenota una persona e lo spazio non ha una colonna nel registro. Attivo — una lezione è collegata a uno spazio.
general.booking.spaceAxisDefaultOn	Predefinito per il tuo settore: attivo
general.booking.spaceAxisDefaultOff	Predefinito per il tuo settore: disattivo
general.booking.modes.event	Eventi
general.booking.modes.resource	Individuale
general.booking.modes.hybrid	Misto
general.booking.profiles.studio	Attività di gruppo e studi
general.booking.profiles.sport	Sport e palestre
general.booking.profiles.beauty	Bellezza e cura personale
general.booking.profiles.recovery	Corpo e recupero
general.booking.profiles.relax	Spa e relax
general.booking.profiles.other	Altro
general.booking.preview.event	Evento
general.booking.preview.resource	Individuale
general.booking.errors.AUDIT_BLOCKED	Il calendario contiene prenotazioni non compatibili con un calendario rigoroso.
general.booking.errors.STRICT_SCHEDULE_REQUIRED	Attiva prima il calendario rigoroso.
general.booking.errors.RESOURCE_HISTORY_EXISTS	Il calendario rigoroso non può essere disattivato: lo studio ha prenotazioni individuali.
general.booking.findings.overlap	Prenotazioni sovrapposte
general.booking.findings.unknown_timezone	Fuso orario sconosciuto
general.booking.findings.undefined_branch	Sede non impostata
general.booking.findings.invalid_duration	Durata non valida
general.booking.findings.invalid_resource_row	Prenotazione individuale incompleta
general.booking.findings.missing_branch_assignment	Lo specialista non è assegnato alla sede
general.booking.findings.missing_working_hours	Lo specialista non ha orari di lavoro
general.booking.findings.inactive_specialist	Lo specialista è inattivo
general.booking.findings.other	Da verificare
appearance.theme.title	Tema
appearance.theme.subtitle	Scegli lo stile visivo dell’interfaccia
appearance.theme.light	Chiaro
appearance.theme.dark	Scuro
appearance.theme.auto	Sistema
appearance.accent.title	Colore di accento
appearance.accent.subtitle	Personalizza il colore principale dell’interfaccia
appearance.accent.note	La tua scelta è stata salvata ma non è ancora applicata all’interfaccia — arriverà in un aggiornamento futuro.
appearance.accent.noteTitle	Prossimamente
appearance.accent.colors.peach	Pesca
appearance.accent.colors.pistachio	Pistacchio
appearance.accent.colors.lavender	Lavanda
appearance.accent.colors.pink	Rosa
appearance.accent.colors.gold	Oro
appearance.accent.colors.mint	Menta
appearance.language.title	Lingua dell’interfaccia
appearance.language.subtitle	La tua lingua personale — non influisce sulle impostazioni dello studio
appearance.language.search	Cerca lingua
appearance.language.empty	Nessuna lingua trovata
notifications.myPrefs.title	Le mie notifiche
notifications.myPrefs.subtitle	Preferenze personali — non influiscono sul resto dello studio
notifications.myPrefs.hint	Le notifiche obbligatorie non possono essere disattivate — ti assicurano di non perdere mai modifiche al calendario e pagamenti.
notifications.myPrefs.empty	Nessuna notifica facoltativa per il tuo ruolo
notifications.myPrefs.channels.email	Email
notifications.myPrefs.channels.telegram	Telegram
notifications.myPrefs.channels.whatsapp	WhatsApp
notifications.telegram.title	Telegram per le notifiche
notifications.telegram.subtitle	Dove inviarti personalmente gli eventi — prenotazioni, buste paga, report
notifications.telegram.chatId	Il tuo chat_id Telegram
notifications.telegram.chatIdPh	es. 123456789
