== no
nav.sectionLabel	Systeminnstillinger
nav.general	Generelt
nav.appearance	Utseende
nav.notifications	Varsler
nav.billing	Fakturering
nav.security	Sikkerhet
nav.integrations	Integrasjoner
nav.data	Data
nav.logout	Bytt CRM
toast.saved	Lagret
toast.error	Noe gikk galt
workspace.title	Dine CRM-systemer
workspace.subtitle	Velg et arbeidsområde, eller opprett et nytt
workspace.current	Gjeldende
workspace.membersCount_one	{{count}} medlem
workspace.membersCount_other	{{count}} medlemmer
workspace.clientsCount_one	{{count}} klient
workspace.clientsCount_other	{{count}} klienter
workspace.createNew	Opprett nytt studio
workspace.loadError	Kunne ikke laste inn studioene dine
workspace.selectError	Kunne ikke bytte til dette studioet
general.company.title	Bedriftsopplysninger
general.company.subtitle	Offentlig informasjon om virksomheten din
general.company.name	Bedriftsnavn
general.company.namePh	f.eks. Mitt studio
general.company.desc	Beskrivelse
general.company.descPh	Hva gjør studioet ditt…
general.company.phone	Telefon
general.company.email	E-post
general.company.site	Nettsted
general.company.sitePh	https://studio.com
general.company.address	Adresse
general.company.addressPh	Eksempelveien 123, by
general.reset	Tilbakestill
general.resetToast	Innstillinger tilbakestilt
general.locale.title	Språk og region
general.locale.subtitle	Innstillinger for lokalisering av grensesnittet
general.locale.timezone	Tidssone
general.locale.timezoneSearch	By eller tidsforskjell
general.locale.timezoneNotFound	Ingen tidssone funnet
general.locale.currency	Valuta
general.locale.currencySearch	Søk etter valuta eller kode
general.locale.currencyNotFound	Ingen valuta funnet
general.locale.language	Grensesnittspråk
general.locale.languageSearch	Søk etter språk
general.locale.languageNotFound	Ingen språk funnet
general.locale.dateFormat	Datoformat
general.locale.firstDay	Første dag i uken
general.locale.firstDayLabels.0	Mandag
general.locale.firstDayLabels.1	Søndag
general.booking.title	Bestillingsmodell
general.booking.subtitle	Slik bestiller klientene hos deg
general.booking.mode	Bestillingsmodell
general.booking.modeHint	Arrangementer — klienter melder seg på en planlagt time. Individuell — klienten velger en spesialist og et tidspunkt. Blandet — begge deler samtidig.
general.booking.profile	Bransjeordlyd
general.booking.profileHint	Velger ord for ansatte og tilbud. Det endrer bare formuleringer — aldri roller, priser eller bestillingsmodell.
general.booking.strict	Streng timeplan
general.booking.strictHint	Forbyr dobbeltbestilling av en spesialist eller et eksklusivt rom. Kreves før individuell bestilling kan slås på.
general.booking.spaceAxis	Bruk {{spacePlural}} i timeplanen
general.booking.spaceAxisHint	Av — klienten bestiller en person, og rommet har ingen kolonne i journalen. På — en time er knyttet til et rom.
general.booking.spaceAxisDefaultOn	Standard for din bransje: på
general.booking.spaceAxisDefaultOff	Standard for din bransje: av
general.booking.modes.event	Arrangementer
general.booking.modes.resource	Individuell
general.booking.modes.hybrid	Blandet
general.booking.profiles.studio	Gruppetrening og studioer
general.booking.profiles.sport	Sport og treningssentre
general.booking.profiles.beauty	Skjønnhet og pleie
general.booking.profiles.recovery	Kropp og restitusjon
general.booking.profiles.relax	Spa og avslapning
general.booking.profiles.other	Annet
general.booking.preview.event	Arrangement
general.booking.preview.resource	Individuell
general.booking.errors.AUDIT_BLOCKED	Timeplanen inneholder bestillinger som ikke er kompatible med en streng timeplan.
general.booking.errors.STRICT_SCHEDULE_REQUIRED	Slå først på streng timeplan.
general.booking.errors.RESOURCE_HISTORY_EXISTS	Streng timeplan kan ikke slås av: studioet har individuelle bestillinger.
general.booking.findings.overlap	Overlappende bestillinger
general.booking.findings.unknown_timezone	Ukjent tidssone
general.booking.findings.undefined_branch	Avdeling er ikke angitt
general.booking.findings.invalid_duration	Ugyldig varighet
general.booking.findings.invalid_resource_row	Ufullstendig individuell bestilling
general.booking.findings.missing_branch_assignment	Spesialisten er ikke tilordnet avdelingen
general.booking.findings.missing_working_hours	Spesialisten har ingen arbeidstid
general.booking.findings.inactive_specialist	Spesialisten er inaktiv
general.booking.findings.other	Må gjennomgås
appearance.theme.title	Tema
appearance.theme.subtitle	Velg grensesnittets visuelle stil
appearance.theme.light	Lyst
appearance.theme.dark	Mørkt
appearance.theme.auto	System
appearance.accent.title	Aksentfarge
appearance.accent.subtitle	Tilpass grensesnittets hovedfarge
appearance.accent.note	Valget ditt er lagret, men er ennå ikke brukt i grensesnittet — det kommer i en fremtidig oppdatering.
appearance.accent.noteTitle	Kommer snart
appearance.accent.colors.peach	Fersken
appearance.accent.colors.pistachio	Pistasj
appearance.accent.colors.lavender	Lavendel
appearance.accent.colors.pink	Rosa
appearance.accent.colors.gold	Gull
appearance.accent.colors.mint	Mynte
appearance.language.title	Grensesnittspråk
appearance.language.subtitle	Ditt personlige språk — påvirker ikke studioinnstillingene
appearance.language.search	Søk etter språk
appearance.language.empty	Ingen språk funnet
notifications.myPrefs.title	Mine varsler
notifications.myPrefs.subtitle	Personlige preferanser — påvirker ikke resten av studioet
notifications.myPrefs.hint	Obligatoriske varsler kan ikke slås av — de gjør at du aldri går glipp av endringer i timeplanen og betalinger.
notifications.myPrefs.empty	Ingen valgfrie varsler for rollen din
notifications.myPrefs.channels.email	E-post
notifications.myPrefs.channels.telegram	Telegram
notifications.myPrefs.channels.whatsapp	WhatsApp
notifications.telegram.title	Telegram for varsler
notifications.telegram.subtitle	Hvor personlige hendelser skal sendes til deg — bestillinger, lønn og rapporter
notifications.telegram.chatId	Din Telegram chat_id
notifications.telegram.chatIdPh	f.eks. 123456789
notifications.telegram.hintBefore	Du finner chat_id-en din hos boten 
notifications.telegram.hintAfter	 på Telegram — start en chat med den, så sender den ID-en din.
notifications.telegram.invalidChatId	Telegram chat_id må være et tall uten symboler
notifications.telegram.saved	Telegram er koblet til varsler
notifications.telegram.saveFailed	Kunne ikke lagre Telegram
notifications.email.title	E-post for varsler
notifications.email.subtitle	Hvor system-e-poster skal sendes
notifications.email.primary	Primær e-post
notifications.email.backup	Reserve-e-post
notifications.email.backupPh	backup@studio.com
notifications.email.saved	Varslingsinnstillinger lagret
billing.plans.start	Start
billing.plans.pro	Pro
billing.plans.business	Business
billing.plans.free_trial	Gratis prøveperiode
billing.status.active	Aktiv
billing.status.trial	Prøveperiode
billing.status.expired	Utløpt
billing.plan.title	Gjeldende abonnement
billing.plan.expiresAt	Aktiv til {{date}}
billing.plan.maxStaff	Opptil {{count}} ansatte
billing.plan.staffUnlimited	Ubegrenset antall ansatte
billing.plan.noSubscription	Ingen aktivt abonnement
billing.plan.noSubscriptionCta	Velg abonnement
billing.plan.trialCta	Velg abonnement
billing.upgrade	Oppgrader til {{plan}}
billing.renew	Forny
billing.autopay.title	Automatisk fornyelse
billing.autopay.subtitle	Belastes det lagrede kortet ditt
billing.autopay.autoRenew	Automatisk fornyelse
billing.autopay.notifyBefore	Vi minner deg på det {{count}} dager før belastning
billing.payment.title	Betalingsmåte
billing.payment.cardSummary	Kort •••• {{last4}}
billing.payment.notLinked	Ingen kort er koblet til
billing.payment.change	Endre
billing.history.title	Betalingshistorikk
billing.history.subtitle	Siste 12 betalinger
billing.history.exportCsv	Eksporter CSV
billing.history.empty	Ingen betalinger ennå
billing.history.showAll	Vis alle
billing.history.period	{{count}} mnd.
billing.history.noDate	—
billing.history.status.paid	Betalt
billing.history.status.pending	Venter
billing.history.status.failed	Ikke betalt
billing.history.status.refunded	Refundert
billing.toast.autopaySaved	Innstillinger for automatisk fornyelse er lagret
billing.toast.renewed	Fornyelse startet
billing.toast.csvExportError	Kunne ikke eksportere CSV
security.account.title	Kontosikkerhet
security.account.subtitle	Beskytt tilgangen til arbeidsområdet ditt
security.twoFa.title	Tofaktorautentisering
security.twoFa.sub	E-postkode ved hver innlogging
security.twoFa.active	Aktiv
security.twoFa.disabled	Deaktivert
security.twoFa.enableTitle	Aktiver 2FA
security.twoFa.disableTitle	Deaktiver 2FA
security.twoFa.enableWarning	Når det er aktivert, vil hver innlogging kreve en kode sendt til {{email}}. Sørg for at du har tilgang til den — ellers risikerer du å miste tilgangen til kontoen din.
security.twoFa.disableWarning	Når det er deaktivert, er bare passordet nok for å logge inn uten e-postkode.
security.twoFa.enabledToast	Tofaktorautentisering er aktivert
security.twoFa.disabledToast	Tofaktorautentisering er deaktivert
security.password.title	Kontopassord
security.password.sub	Endringen bekreftes med en e-postkode
security.password.change	Bytt passord
security.password.changed	Passordet er endret
security.password.current	Nåværende passord
security.password.currentPh	Skriv inn nåværende passord
security.password.new	Nytt passord
security.password.newPh	Minst 8 tegn
security.password.repeat	Gjenta passordet
security.password.repeatPh	Skriv inn det nye passordet igjen
security.password.mismatch	Passordene samsvarer ikke
security.password.forgot	Har du glemt passordet?
security.password.resetTitle	Gjenopprett passord
security.password.step1Sub	La oss bekrefte at det er deg
security.password.step2Sub	Koden er sendt til {{email}}
security.password.step3Sub	Velg et nytt passord
security.password.resetIntro	Vi sender en sekssifret kode til e-postadressen tilknyttet kontoen din. Du trenger ikke kjenne det nåværende passordet — koden beviser at innboksen er din.
security.password.sendCode	Send kode
security.password.back	Tilbake
security.password.save	Lagre passord
security.password.resetDone	Passordet er oppdatert
security.password.resetLogoutHint	Andre enheter blir logget ut — du forblir innlogget på denne.
security.password.rules.len	8+ tegn
security.password.rules.letter	Har en bokstav
security.password.rules.digit	Har et siffer
security.password.rules.simple	Ingen 111 eller qwerty
security.sessions.title	Aktive økter
security.sessions.sub	Hvor kontoen din for øyeblikket er logget inn
security.sessions.count	{{count}} enheter
security.sessions.manage	Administrer
security.sessions.hide	Skjul
security.sessions.current	Gjeldende
security.sessions.terminate	Avslutt
security.sessions.terminateAll	Avslutt alle andre økter
security.sessions.terminatedToast	Økten ble avsluttet
security.sessions.terminatedAllToast	Andre økter er avsluttet
security.sessions.justNow	Aktiv nå
security.sessions.minutesAgo	for {{count}} min siden
security.sessions.hoursAgo	for {{count}} t siden
security.sessions.daysAgo	for {{count}} d siden
security.sessions.unknownLocation	Ukjent
