== pl
nav.sectionLabel	Ustawienia systemowe
nav.general	Ogólne
nav.appearance	Wygląd
nav.notifications	Powiadomienia
nav.billing	Rozliczenia
nav.security	Bezpieczeństwo
nav.integrations	Integracje
nav.data	Dane
nav.logout	Zmień CRM
toast.saved	Zapisano
toast.error	Coś poszło nie tak
workspace.title	Twoje systemy CRM
workspace.subtitle	Wybierz przestrzeń roboczą lub utwórz nową
workspace.current	Bieżąca
workspace.membersCount_one	{{count}} członek
workspace.membersCount_few	{{count}} członków
workspace.membersCount_many	{{count}} członków
workspace.clientsCount_one	{{count}} klient
workspace.clientsCount_few	{{count}} klientów
workspace.clientsCount_many	{{count}} klientów
workspace.createNew	Utwórz nowe studio
workspace.loadError	Nie udało się wczytać Twoich studiów
workspace.selectError	Nie udało się przełączyć na to studio
general.company.title	Dane firmy
general.company.subtitle	Publiczne informacje o Twojej firmie
general.company.name	Nazwa firmy
general.company.namePh	np. Moje studio
general.company.desc	Opis
general.company.descPh	Czym zajmuje się Twoje studio…
general.company.phone	Telefon
general.company.email	E-mail
general.company.site	Strona internetowa
general.company.sitePh	https://studio.com
general.company.address	Adres
general.company.addressPh	ul. Przykładowa 123, miasto
general.reset	Przywróć
general.resetToast	Ustawienia przywrócono
general.locale.title	Język i region
general.locale.subtitle	Ustawienia lokalizacji interfejsu
general.locale.timezone	Strefa czasowa
general.locale.timezoneSearch	Miasto lub przesunięcie
general.locale.timezoneNotFound	Nie znaleziono strefy czasowej
general.locale.currency	Waluta
general.locale.currencySearch	Wyszukaj walutę lub kod
general.locale.currencyNotFound	Nie znaleziono waluty
general.locale.language	Język interfejsu
general.locale.languageSearch	Wyszukaj język
general.locale.languageNotFound	Nie znaleziono języka
general.locale.dateFormat	Format daty
general.locale.firstDay	Pierwszy dzień tygodnia
general.locale.firstDayLabels.0	Poniedziałek
general.locale.firstDayLabels.1	Niedziela
general.booking.title	Model rezerwacji
general.booking.subtitle	Jak klienci rezerwują u Ciebie
general.booking.mode	Model rezerwacji
general.booking.modeHint	Wydarzenia — klienci zapisują się na zaplanowane zajęcia. Indywidualny — klient wybiera specjalistę i godzinę. Mieszany — oba naraz.
general.booking.profile	Nazewnictwo branżowe
general.booking.profileHint	Wybiera słowa dla personelu i oferty. Zmienia tylko nazewnictwo — nigdy role, ceny ani model rezerwacji.
general.booking.strict	Ścisły harmonogram
general.booking.strictHint	Zabrania podwójnej rezerwacji specjalisty lub wyłącznej przestrzeni. Wymagany przed włączeniem rezerwacji indywidualnych.
