== ro
nav.sectionLabel	Setări de sistem
nav.general	General
nav.appearance	Aspect
nav.notifications	Notificări
nav.billing	Facturare
nav.security	Securitate
nav.integrations	Integrări
nav.data	Date
nav.logout	Schimbă CRM-ul
toast.saved	Salvat
toast.error	Ceva nu a mers bine
workspace.title	Sistemele tale CRM
workspace.subtitle	Alege un spațiu de lucru sau creează unul nou
workspace.current	Curent
workspace.membersCount_one	{{count}} membru
workspace.membersCount_few	{{count}} membri
workspace.membersCount_other	{{count}} de membri
workspace.clientsCount_one	{{count}} client
workspace.clientsCount_few	{{count}} clienți
workspace.clientsCount_other	{{count}} de clienți
workspace.createNew	Creează un studio nou
workspace.loadError	Nu s-au putut încărca studiourile tale
workspace.selectError	Nu s-a putut trece la acest studio
general.company.title	Detalii companie
general.company.subtitle	Informații publice despre afacerea ta
general.company.name	Numele companiei
general.company.namePh	ex. Studioul meu
general.company.desc	Descriere
general.company.descPh	Cu ce se ocupă studioul tău…
general.company.phone	Telefon
general.company.email	E-mail
general.company.site	Site web
general.company.sitePh	https://studio.com
general.company.address	Adresă
general.company.addressPh	Str. Exemplu 123, oraș
general.reset	Resetează
general.resetToast	Setări resetate
general.locale.title	Limbă și regiune
general.locale.subtitle	Setări de localizare a interfeței
general.locale.timezone	Fus orar
general.locale.timezoneSearch	Oraș sau diferență
general.locale.timezoneNotFound	Nu a fost găsit niciun fus orar
general.locale.currency	Monedă
general.locale.currencySearch	Caută monedă sau cod
general.locale.currencyNotFound	Nu a fost găsită nicio monedă
general.locale.language	Limba interfeței
general.locale.languageSearch	Caută limbă
general.locale.languageNotFound	Nu a fost găsită nicio limbă
general.locale.dateFormat	Format dată
general.locale.firstDay	Prima zi a săptămânii
general.locale.firstDayLabels.0	Luni
general.locale.firstDayLabels.1	Duminică
general.booking.title	Model de rezervare
general.booking.subtitle	Cum rezervă clienții la tine
general.booking.mode	Model de rezervare
general.booking.modeHint	Evenimente — clienții se înscriu la o clasă programată. Individual — clientul alege un specialist și o oră. Mixt — ambele în același timp.
general.booking.profile	Terminologie de industrie
general.booking.profileHint	Alege cuvintele pentru personal și oferte. Modifică doar formularea — niciodată rolurile, prețurile sau modelul de rezervare.
general.booking.strict	Program strict
general.booking.strictHint	Interzice dubla rezervare a unui specialist sau a unui spațiu exclusiv. Este necesar înainte de activarea rezervărilor individuale.
general.booking.spaceAxis	Folosește {{spacePlural}} în program
general.booking.spaceAxisHint	Dezactivat — clientul rezervă o persoană, iar spațiul nu are coloană în jurnal. Activat — o clasă este legată de un spațiu.
general.booking.spaceAxisDefaultOn	Implicit pentru industria ta: activat
general.booking.spaceAxisDefaultOff	Implicit pentru industria ta: dezactivat
general.booking.modes.event	Evenimente
general.booking.modes.resource	Individual
general.booking.modes.hybrid	Mixt
general.booking.profiles.studio	Activități de grup și studiouri
general.booking.profiles.sport	Sport și săli de fitness
general.booking.profiles.beauty	Frumusețe și îngrijire
general.booking.profiles.recovery	Corp și recuperare
general.booking.profiles.relax	Spa și relaxare
general.booking.profiles.other	Altele
general.booking.preview.event	Eveniment
general.booking.preview.resource	Individual
general.booking.errors.AUDIT_BLOCKED	Programul conține rezervări incompatibile cu un program strict.
general.booking.errors.STRICT_SCHEDULE_REQUIRED	Activează mai întâi programul strict.
general.booking.errors.RESOURCE_HISTORY_EXISTS	Programul strict nu poate fi dezactivat: studioul are rezervări individuale.
general.booking.findings.overlap	Rezervări suprapuse
general.booking.findings.unknown_timezone	Fus orar necunoscut
general.booking.findings.undefined_branch	Sucursala nu este setată
general.booking.findings.invalid_duration	Durată nevalidă
general.booking.findings.invalid_resource_row	Rezervare individuală incompletă
general.booking.findings.missing_branch_assignment	Specialistul nu este alocat sucursalei
general.booking.findings.missing_working_hours	Specialistul nu are program de lucru
general.booking.findings.inactive_specialist	Specialistul este inactiv
general.booking.findings.other	Necesită verificare
appearance.theme.title	Temă
appearance.theme.subtitle	Alege stilul vizual al interfeței
appearance.theme.light	Deschisă
appearance.theme.dark	Închisă
appearance.theme.auto	Sistem
appearance.accent.title	Culoare de accent
appearance.accent.subtitle	Personalizează culoarea principală a interfeței
appearance.accent.note	Alegerea ta este salvată, dar încă nu se aplică în interfață — va fi disponibilă într-o actualizare viitoare.
appearance.accent.noteTitle	În curând
appearance.accent.colors.peach	Piersică
appearance.accent.colors.pistachio	Fistic
appearance.accent.colors.lavender	Lavandă
appearance.accent.colors.pink	Roz
appearance.accent.colors.gold	Auriu
